股票名稱,日期,開盤價,最高價,最低價,收盤價,成交量
佳明,2018/1/2,48.989688,49.170402,48.620046,48.907547,885400
佳明,2018/1/3,49.006106,49.531817,48.923965,49.507175,655100
佳明,2018/1/4,49.482533,49.581103,49.112892,49.507175,1096000
佳明,2018/1/5,49.605746,49.696103,48.97325,49.071823,843000
佳明,2018/1/8,48.956823,49.597535,48.603611,49.564678,1263400
佳明,2018/1/9,49.720738,49.770024,49.071816,49.16217,975000
佳明,2018/1/10,49.153965,49.868602,49.014321,49.671463,759000
佳明,2018/1/11,49.66325,50.59146,49.630393,50.451816,915800
佳明,2018/1/12,50.492897,50.911822,50.410753,50.895393,1483300
佳明,2018/1/16,51.05146,51.453955,50.402535,50.476463,1612800
佳明,2018/1/17,50.78861,51.831815,50.763965,51.782531,1099900
佳明,2018/1/18,51.700382,52.028952,51.642882,51.946811,820000
佳明,2018/1/19,52.160383,52.497167,51.790742,52.464309,1216000
佳明,2018/1/22,52.094662,52.612162,51.864664,52.603946,1038200
佳明,2018/1/23,52.645013,53.088583,52.447874,52.998226,861300
佳明,2018/1/24,53.261089,53.359662,52.382169,52.743595,1385400
佳明,2018/1/25,52.932522,53.006447,52.185023,52.365737,1248000
佳明,2018/1/26,52.677867,53.063937,52.554656,53.047512,912300
佳明,2018/1/29,52.521801,52.998225,52.168589,52.332874,1092900
佳明,2018/1/30,52.111092,52.201449,51.601811,51.807167,1185900
佳明,2018/1/31,51.881104,52.193245,51.338964,51.700389,3278100
佳明,2018/2/1,51.577165,51.905733,50.911811,51.486808,1298500
佳明,2018/2/2,51.429319,52.028957,51.166463,51.265033,975200
佳明,2018/2/5,51.026817,51.577172,49.92611,49.934326,1510100
佳明,2018/2/6,49.285395,51.380024,48.603612,51.182884,1589800
佳明,2018/2/7,52.078239,52.447877,50.188963,51.815383,1630100
佳明,2018/2/8,51.831797,52.061798,50.188951,50.213596,1293300
佳明,2018/2/9,50.722886,51.051456,48.96504,50.287532,1387400
佳明,2018/2/12,50.566822,51.256818,50.550394,50.903606,1169800
佳明,2018/2/13,50.944676,51.404674,50.320392,51.281459,1126700
佳明,2018/2/14,51.084309,52.735369,50.673598,52.571086,1091700
佳明,2018/2/15,52.907866,53.425361,52.513581,53.28572,1340600
佳明,2018/2/16,53.22001,53.811435,53.080369,53.565006,1156300
