營業行車次數(班次),,,,,,,,,,,,,,,,,,,,,,,
,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
日期,,,,,,,,,,,,,,,,,,,,,,,
108年01月,2722040,689236,1021101,195168,287642,85931,271980,25212,5779,1240,4639,722,3678,3761,9670,2250,2246,5523,72057,17634,2449,11718,2404
108年02月,2300690,560674,840159,170897,245680,78549,247364,24824,5818,1120,4193,1666,3392,3531,8953,2100,2128,5088,63753,15136,2185,11350,2130
108年03月,2699369,670898,1010960,196108,284020,88432,275276,25847,6606,1240,5168,2416,3876,3610,10145,2325,2772,6143,68952,17937,2365,11811,2462
108年04月,2612742,654795,968463,190942,275259,85104,268062,24878,6370,1200,4977,2448,3996,3342,9834,2382,2669,6596,68398,17430,2485,10724,2388
108年05月,2737916,691375,1012918,198366,291178,87853,277829,24956,7228,1240,5110,2542,4077,3322,10124,2483,3128,6039,73941,18123,2872,10724,2488
108年06月,2587827,641524,952221,193095,282832,85380,266464,25177,6740,1200,4550,2168,4092,3225,9709,2386,3014,5636,66289,17196,2816,9735,2378
108年07月,2703463,687015,1003772,193037,294864,87162,267688,26520,7234,1240,4693,1150,4163,2702,9483,2412,2743,4583,68031,16924,3162,12591,2294
108年08月,2652502,672154,981231,189343,295829,83520,264005,25724,7008,1240,4290,1334,4181,2789,8662,2396,2873,4503,67580,16527,3150,11935,2228
108年09月,2573214,642312,947440,178406,287071,85583,265758,23972,6681,1200,4533,2460,4086,2732,10046,2394,3104,5768,65949,16999,2820,11520,2380
108年10月,2723167,693501,1004403,186071,299851,89192,274634,25180,7138,1240,4886,2536,4219,2752,10229,2471,3235,6035,70195,18064,2898,11935,2502
108年11月,2636269,670145,976664,179632,288866,85780,263171,24458,6900,1200,4794,2454,4048,2721,9925,2467,3312,5813,67181,18442,2812,13074,2410
108年12月,2783551,752300,1005121,185290,303306,89750,272750,25164,7154,1240,4983,2448,4170,2799,10189,2475,3421,6086,68905,18680,2898,11904,2518
109年,31816921,7969684,11789576,2203477,3530485,1060360,3262789,294640,84352,15372,58588,25458,55229,33267,114712,30626,41929,67338,751650,215571,45278,137730,28810
109年01月,2582065,633382,951273,179643,292225,90359,266743,26140,6380,1302,4310,1766,4631,2872,9708,2459,3278,5425,65804,17119,3006,11904,2336
109年02月,2502458,621627,940652,171464,277198,84523,248267,23008,6646,1218,3926,1111,4308,2615,8663,2245,2955,4705,64497,16588,2922,11136,2184
109年03月,2711707,653905,1023895,184258,301204,89359,283127,25218,7154,1302,4798,2278,4677,2810,9728,2477,3398,5909,71016,18662,2898,11136,2498
109年04月,2609303,631261,980833,177390,291544,86668,273681,25010,6781,1260,4832,2072,4554,2720,8867,2390,3236,5508,65798,17996,2820,11670,2412
109年05月,2673251,651636,1003228,181181,299336,89302,280258,24294,7032,1302,5062,2158,4699,2821,9169,2433,3328,5878,64631,18429,2910,11670,2494
109年06月,2619277,654250,977510,176265,289227,85774,270710,23385,6858,1260,4814,2340,4540,2475,8958,2330,3238,5881,63720,17579,4231,11520,2412
109年07月,2730323,709618,1016281,181256,298268,88915,275955,23891,7188,1302,4847,1102,4667,2464,9049,2390,3190,5569,58390,17511,4572,11520,2378
109年08月,2683682,686768,988173,188819,297187,89301,271282,24626,7031,1302,4855,1092,4683,2491,8792,2349,3170,5080,61218,16977,4638,11520,2328
109年09月,2662686,685476,985413,187586,292430,86347,265180,24314,7032,1260,5250,2422,4510,2387,8925,2334,3094,5862,57004,17728,4224,11520,2388
109年10月,2667873,680255,976978,192945,297488,89769,270761,25335,6864,1302,5368,2360,4769,2533,9486,2393,4208,5784,52892,17964,4435,11520,2464
