年,月,縣市,營業行車次數(班次)
2017,09,澎湖縣,7038
2017,09,臺中市,274115
2017,09,臺北市,1050339
2017,09,臺南市,80247
2017,09,臺東縣,2460
2017,09,花蓮縣,1998
2017,09,苗栗縣,1200
2017,09,連江縣,2420
2017,09,金門縣,10648
2017,09,雲林縣,3548
2017,09,高雄市,252922
2017,10,南投縣,886
2017,10,嘉義市,1612
2017,10,嘉義縣,4557
2017,10,基隆市,62947
2017,10,宜蘭縣,18375
2017,10,屏東縣,8240
2017,10,彰化縣,4880
2017,10,新北市,680707
2017,10,新竹市,18024
2017,10,新竹縣,7362
2017,10,桃園市,172525
2017,10,澎湖縣,7011
2017,10,臺中市,279712
2017,10,臺北市,1045595
2017,10,臺南市,83639
2017,10,臺東縣,2542
2017,10,花蓮縣,1916
2017,10,苗栗縣,1240
2017,10,連江縣,2462
2017,10,金門縣,10671
2017,10,雲林縣,3684
2017,10,高雄市,270317
2017,11,南投縣,800
2017,11,嘉義市,1560
2017,11,嘉義縣,4346
2017,11,基隆市,61393
2017,11,宜蘭縣,17065
2017,11,屏東縣,8299
2017,11,彰化縣,4883
2017,11,新北市,682365
2017,11,新竹市,17586
2017,11,新竹縣,7336
2017,11,桃園市,167838
2017,11,澎湖縣,6190
2017,11,臺中市,273638
2017,11,臺北市,1040211
2017,11,臺南市,81141
2017,11,臺東縣,2460
2017,11,花蓮縣,1903
2017,11,苗栗縣,1200
2017,11,連江縣,2396
2017,11,金門縣,10332
2017,11,雲林縣,3540
2017,11,高雄市,251775
2017,12,南投縣,896
2017,12,嘉義市,1612
2017,12,嘉義縣,3925
2017,12,基隆市,61604
2017,12,宜蘭縣,17656
2017,12,屏東縣,7713
2017,12,彰化縣,4993
2017,12,新北市,690661
2017,12,新竹市,18313
2017,12,新竹縣,7474
2017,12,桃園市,172578
2017,12,澎湖縣,6093
2017,12,臺中市,280739
2017,12,臺北市,1057857
2017,12,臺南市,84156
2017,12,臺東縣,2542
2017,12,花蓮縣,2007
2017,12,苗栗縣,1200
2017,12,連江縣,2462
2017,12,金門縣,10753
2017,12,雲林縣,3662
2017,12,高雄市,259423
2018,01,南投縣,892
2018,01,嘉義市,1612
2018,01,嘉義縣,4462
2018,01,基隆市,64546
2018,01,宜蘭縣,17337
2018,01,屏東縣,7269
2018,01,彰化縣,4546
2018,01,新北市,694174
2018,01,新竹市,18355
2018,01,新竹縣,7488
2018,01,桃園市,174191
2018,01,澎湖縣,5791
2018,01,臺中市,281545
2018,01,臺北市,1062650
2018,01,臺南市,84206
2018,01,臺東縣,2542
2018,01,花蓮縣,1938
2018,01,苗栗縣,1271
2018,01,連江縣,2522
2018,01,金門縣,11838
2018,01,雲林縣,3676
2018,01,高雄市,254777
2018,02,南投縣,928
2018,02,嘉義市,1456
2018,02,嘉義縣,4103
2018,02,基隆市,55448
2018,02,宜蘭縣,16400
2018,02,屏東縣,8431
2018,02,彰化縣,3899
2018,02,新北市,567277
2018,02,新竹市,15141
2018,02,新竹縣,6463
2018,02,桃園市,152284
2018,02,澎湖縣,4484
2018,02,臺中市,242418
2018,02,臺北市,883971
2018,02,臺南市,77171
2018,02,臺東縣,2296
2018,02,花蓮縣,1736
2018,02,苗栗縣,1120
2018,02,連江縣,2052
2018,02,金門縣,9662
2018,02,雲林縣,3341
