年,月,行業別,營業額_千元,年月
2019,1,百貨公司業,27765234,201901
2019,1,超級市場業,16086420,201901
2019,1,便利商店業,28307520,201901
2019,1,零售式量販業,20890281,201901
2019,1,其他綜合商品零售業,14034844,201901
2019,1,食品、飲料及菸草製品零售業,27973444,201901
2019,1,文教育樂用品零售業,7277465,201901
2019,1,燃料及相關產品零售業,21600400,201901
2019,1,資通訊及家電設備零售業,23266079,201901
2019,1,汽機車及其零配件、用品零售業,66510812,201901
2019,1,電子購物及郵購業,23039172,201901
2019,1,餐飲業,68296842,201901
2019,2,百貨公司業,28401199,201902
2019,2,超級市場業,15312662,201902
2019,2,便利商店業,25710829,201902
2019,2,零售式量販業,16388909,201902
2019,2,其他綜合商品零售業,14405847,201902
2019,2,食品、飲料及菸草製品零售業,21059668,201902
2019,2,文教育樂用品零售業,6416481,201902
2019,2,燃料及相關產品零售業,19315045,201902
2019,2,資通訊及家電設備零售業,18316346,201902
2019,2,汽機車及其零配件、用品零售業,31368290,201902
2019,2,電子購物及郵購業,17932705,201902
2019,2,餐飲業,68054323,201902
2019,3,百貨公司業,24722761,201903
2019,3,超級市場業,15698595,201903
2019,3,便利商店業,26322232,201903
2019,3,零售式量販業,15675090,201903
2019,3,其他綜合商品零售業,13879321,201903
2019,3,食品、飲料及菸草製品零售業,22535632,201903
2019,3,文教育樂用品零售業,6257994,201903
2019,3,燃料及相關產品零售業,21976619,201903
2019,3,資通訊及家電設備零售業,19247677,201903
2019,3,汽機車及其零配件、用品零售業,51814140,201903
2019,3,電子購物及郵購業,19364845,201903
2019,3,餐飲業,63717611,201903
2019,4,百貨公司業,30124882,201904
2019,4,超級市場業,15782987,201904
2019,4,便利商店業,26398777,201904
2019,4,零售式量販業,14992878,201904
2019,4,其他綜合商品零售業,14818099,201904
2019,4,食品、飲料及菸草製品零售業,22184788,201904
2019,4,文教育樂用品零售業,6157866,201904
2019,4,燃料及相關產品零售業,22346398,201904
2019,4,資通訊及家電設備零售業,20169052,201904
2019,4,汽機車及其零配件、用品零售業,54803817,201904
2019,4,電子購物及郵購業,18972600,201904
2019,4,餐飲業,60303338,201904
2019,5,百貨公司業,29263010,201905
2019,5,超級市場業,16460538,201905
2019,5,便利商店業,27581786,201905
2019,5,零售式量販業,15893290,201905
2019,5,其他綜合商品零售業,15401532,201905
2019,5,食品、飲料及菸草製品零售業,23623306,201905
2019,5,文教育樂用品零售業,6284251,201905
2019,5,燃料及相關產品零售業,23453171,201905
2019,5,資通訊及家電設備零售業,20291009,201905
2019,5,汽機車及其零配件、用品零售業,57176987,201905
2019,5,電子購物及郵購業,20568248,201905
2019,5,餐飲業,65693788,201905
2019,6,百貨公司業,25701701,201906
2019,6,超級市場業,16223119,201906
2019,6,便利商店業,28016613,201906
2019,6,零售式量販業,16518215,201906
2019,6,其他綜合商品零售業,14265676,201906
2019,6,食品、飲料及菸草製品零售業,21711817,201906
2019,6,文教育樂用品零售業,6077841,201906
2019,6,燃料及相關產品零售業,23200791,201906
2019,6,資通訊及家電設備零售業,19460191,201906
2019,6,汽機車及其零配件、用品零售業,58308749,201906
2019,6,電子購物及郵購業,19925447,201906
2019,6,餐飲業,66496157,201906
2019,7,百貨公司業,25974139,201907
2019,7,超級市場業,17405420,201907
2019,7,便利商店業,29040900,201907
2019,7,零售式量販業,17506009,201907
2019,7,其他綜合商品零售業,14255932,201907
2019,7,食品、飲料及菸草製品零售業,22497177,201907
2019,7,文教育樂用品零售業,6536651,201907
2019,7,燃料及相關產品零售業,23109333,201907
2019,7,資通訊及家電設備零售業,21926887,201907
2019,7,汽機車及其零配件、用品零售業,69307703,201907
2019,7,電子購物及郵購業,20157698,201907
2019,7,餐飲業,67303879,201907
2019,8,百貨公司業,26394920,201908
2019,8,超級市場業,19904855,201908
2019,8,便利商店業,28658054,201908
2019,8,零售式量販業,20600130,201908
2019,8,其他綜合商品零售業,14459136,201908
2019,8,食品、飲料及菸草製品零售業,25321000,201908
2019,8,文教育樂用品零售業,6553328,201908
2019,8,燃料及相關產品零售業,22649735,201908
2019,8,資通訊及家電設備零售業,20247287,201908
2019,8,汽機車及其零配件、用品零售業,42325614,201908
2019,8,電子購物及郵購業,21049254,201908
2019,8,餐飲業,70008935,201908
2019,9,百貨公司業,26145196,201909
2019,9,超級市場業,17173527,201909
2019,9,便利商店業,27501357,201909
2019,9,零售式量販業,17575829,201909
2019,9,其他綜合商品零售業,12819816,201909
2019,9,食品、飲料及菸草製品零售業,25263547,201909
2019,9,文教育樂用品零售業,5974653,201909
2019,9,燃料及相關產品零售業,21723134,201909
2019,9,資通訊及家電設備零售業,20074031,201909
2019,9,汽機車及其零配件、用品零售業,55546716,201909
2019,9,電子購物及郵購業,19954665,201909
2019,9,餐飲業,62615899,201909
2019,0,百貨公司業,40735723,201900
2019,0,超級市場業,17462625,201900
2019,0,便利商店業,28141572,201900
2019,0,零售式量販業,15629490,201900
2019,0,其他綜合商品零售業,13971282,201900
2019,0,食品、飲料及菸草製品零售業,24102362,201900
2019,0,文教育樂用品零售業,6500604,201900
2019,0,燃料及相關產品零售業,22015184,201900
2019,0,資通訊及家電設備零售業,20535036,201900
2019,0,汽機車及其零配件、用品零售業,60953362,201900
2019,0,電子購物及郵購業,20781030,201900
2019,0,餐飲業,62765102,201900
2019,1,百貨公司業,39667129,201901
2019,1,超級市場業,16462176,201901
2019,1,便利商店業,26864042,201901
