年,名稱,人口數,占總人口比率
2017,桃園市,2188017,9.28
2017,台中市,2787070,11.82
2017,台南市,1886522,8
2017,高雄市,2776912,11.78
2017,宜蘭縣,456607,1.94
2017,新竹縣,552169,2.34
2017,苗栗縣,553807,2.35
2017,彰化縣,1282458,5.44
2017,南投縣,501051,2.13
2017,雲林縣,690373,2.93
2017,嘉義縣,511182,2.17
2017,屏東縣,829939,3.52
2017,台東縣,219540,0.93
2017,花蓮縣,329237,1.4
2017,澎湖縣,104073,0.44
2017,基隆市,371458,1.58
2017,新竹市,441132,1.87
2017,嘉義市,269398,1.14
2017,金門縣,137456,0.58
2017,連江縣,12880,0.05
