年月,年,月,行業別,用電量
2018年6月,2018,6,紡織成衣及服飾品製造業,528474.4
2018年6月,2018,6,紙漿、紙及紙製品製造業,307930.2
2018年6月,2018,6,化學材料及肥料製造業,2654389.7
2018年6月,2018,6,塑膠製品製造業,466885.1
2018年6月,2018,6,非金屬礦物製品製造業,476186.3
2018年6月,2018,6,基本金屬製造業,1627284.4
2018年6月,2018,6,金屬製品製造業,601146
2018年6月,2018,6,電子產品及電力設備製造業,4351302
2018年6月,2018,6,住宅用電,3883662.2
2018年6月,2018,6,服務業用電,4280540.6
2018年6月,2018,6,運輸及倉儲業,259882.2
2018年6月,2018,6,住宿及餐飲業,650794.4
2018年6月,2018,6,出版影音及資通訊業,288517.6
2018年6月,2018,6,金融及保險業,172102.2
2018年6月,2018,6,不動產業,136138.6
2018年6月,2018,6,醫療保健及社會工作服務業,307707.9
2018年6月,2018,6,藝術、娛樂及休閒服務業,116172.5
2018年6月,2018,6,運輸用電,128227.8
2018年6月,2018,6,公路,3924.9
2018年6月,2018,6,鐵路,121224.6
2018年6月,2018,6,管線運輸,3078.2
2018年6月,2018,6,能源部門自用,1677729.8
2018年6月,2018,6,農業部門,277121.2
2018年7月,2018,7,全國用電量,24636526
2018年7月,2018,7,工業用電,13117855.7
2018年7月,2018,7,紡織成衣及服飾品製造業,551367.7
2018年7月,2018,7,紙漿、紙及紙製品製造業,319194.7
2018年7月,2018,7,化學材料及肥料製造業,2672333
2018年7月,2018,7,塑膠製品製造業,480712.2
2018年7月,2018,7,非金屬礦物製品製造業,496106.5
2018年7月,2018,7,基本金屬製造業,1671098.9
2018年7月,2018,7,金屬製品製造業,608218.5
2018年7月,2018,7,電子產品及電力設備製造業,4605928.1
2018年7月,2018,7,住宅用電,4727219.7
2018年7月,2018,7,服務業用電,4571666.7
2018年7月,2018,7,運輸及倉儲業,280115.5
2018年7月,2018,7,住宿及餐飲業,721933.9
2018年7月,2018,7,出版影音及資通訊業,312272
2018年7月,2018,7,金融及保險業,193906.8
2018年7月,2018,7,不動產業,151780.6
2018年7月,2018,7,醫療保健及社會工作服務業,327958.5
2018年7月,2018,7,藝術、娛樂及休閒服務業,128426.3
2018年7月,2018,7,運輸用電,132746.3
2018年7月,2018,7,公路,4069.4
2018年7月,2018,7,鐵路,125506.8
2018年7月,2018,7,管線運輸,3170
2018年7月,2018,7,能源部門自用,1811981.9
2018年7月,2018,7,農業部門,275055.6
2018年8月,2018,8,全國用電量,24914489.6
2018年8月,2018,8,工業用電,13237600.7
2018年8月,2018,8,紡織成衣及服飾品製造業,556747.7
2018年8月,2018,8,紙漿、紙及紙製品製造業,316405.3
2018年8月,2018,8,化學材料及肥料製造業,2777750.3
2018年8月,2018,8,塑膠製品製造業,487919.9
2018年8月,2018,8,非金屬礦物製品製造業,488952.2
2018年8月,2018,8,基本金屬製造業,1680616
2018年8月,2018,8,金屬製品製造業,631512.5
2018年8月,2018,8,電子產品及電力設備製造業,4584118.9
