年,月,餐飲細分行業,營業額_千元,年月
2022,9,飲料店,9996280,202209
2022,10,餐館,60094298,202210
2022,10,外燴及團膳承包業,4008530,202210
2022,10,飲料店,9888000,202210
2022,11,餐館,58078583,202211
2022,11,外燴及團膳承包業,4340121,202211
2022,11,飲料店,10138277,202211
2022,12,餐館,67872315,202212
2022,12,外燴及團膳承包業,4779536,202212
2022,12,飲料店,11720838,202212
2023,1,餐館,81377077,202301
2023,1,外燴及團膳承包業,4311770,202301
2023,1,飲料店,11828394,202301
2023,2,餐館,62444638,202302
2023,2,外燴及團膳承包業,3795785,202302
2023,2,飲料店,9325595,202302
2023,3,餐館,60302733,202303
2023,3,外燴及團膳承包業,4604682,202303
2023,3,飲料店,10380248,202303
2023,4,餐館,64930173,202304
2023,4,外燴及團膳承包業,4666953,202304
2023,4,飲料店,9836927,202304
2023,5,餐館,66237895,202305
2023,5,外燴及團膳承包業,4871458,202305
2023,5,飲料店,10425460,202305
2023,6,餐館,65722862,202306
2023,6,外燴及團膳承包業,5150638,202306
2023,6,飲料店,10552347,202306
2023,7,餐館,71877031,202307
2023,7,外燴及團膳承包業,4576435,202307
2023,7,飲料店,11082484,202307
2023,8,餐館,71708485,202308
2023,8,外燴及團膳承包業,4414190,202308
2023,8,飲料店,11286463,202308
2023,9,餐館,65403862,202309
2023,9,外燴及團膳承包業,4821258,202309
2023,9,飲料店,10987030,202309
2023,10,餐館,67524017,202310
2023,10,外燴及團膳承包業,5394236,202310
2023,10,飲料店,10502008,202310
2023,11,餐館,63449102,202311
2023,11,外燴及團膳承包業,5613024,202311
2023,11,飲料店,10608309,202311
2023,12,餐館,74203589,202312
2023,12,外燴及團膳承包業,5942216,202312
2023,12,飲料店,11761303,202312
2024,1,餐館,72521662,202401
2024,1,外燴及團膳承包業,5637787,202401
2024,1,飲料店,11618789,202401
2024,2,餐館,76552225,202402
2024,2,外燴及團膳承包業,4260029,202402
2024,2,飲料店,10383421,202402
2024,3,餐館,67186637,202403
2024,3,外燴及團膳承包業,5138358,202403
2024,3,飲料店,10834029,202403
2024,4,餐館,63507650,202404
2024,4,外燴及團膳承包業,5660980,202404
