年,縣市,行政區,店面數,土地面積,超商密度,月
2018,屏東縣,內埔鄉,16,81.8554,0.195467,1
2018,屏東縣,車城鄉,4,49.8517,0.080238,1
2018,屏東縣,里港鄉,2,68.9208,0.029019,1
2018,屏東縣,佳冬鄉,3,30.9842,0.096824,1
2018,屏東縣,枋山鄉,2,17.2697,0.115810,1
2018,屏東縣,枋寮鄉,5,57.7347,0.086603,1
2018,屏東縣,東港鎮,8,29.4635,0.271522,1
2018,屏東縣,林邊鄉,2,15.6233,0.128014,1
2018,屏東縣,長治鄉,7,39.8861,0.175500,1
2018,屏東縣,南州鄉,2,18.9700,0.105430,1
2018,屏東縣,屏東市,35,65.0670,0.537907,1
2018,屏東縣,恆春鎮,9,136.7630,0.065807,1
2018,屏東縣,崁頂鄉,2,31.2659,0.063967,1
2018,屏東縣,琉球鄉,1,6.8018,0.147020,1
2018,屏東縣,高樹鄉,2,90.1522,0.022185,1
2018,屏東縣,新埤鄉,2,59.0102,0.033892,1
2018,屏東縣,新園鄉,5,38.3109,0.130511,1
2018,屏東縣,萬丹鄉,9,57.4679,0.156609,1
2018,屏東縣,萬巒鄉,3,60.7315,0.049398,1
2018,屏東縣,潮州鎮,11,42.4331,0.259232,1
2018,屏東縣,麟洛鄉,1,16.2600,0.061501,1
2018,屏東縣,鹽埔鄉,4,64.3493,0.062161,1
2018,苗栗縣,三義鄉,3,69.3424,0.043264,1
2018,苗栗縣,三灣鄉,2,52.2964,0.038244,1
2018,苗栗縣,大湖鄉,4,90.8396,0.044034,1
2018,苗栗縣,公館鄉,6,71.4523,0.083972,1
2018,苗栗縣,竹南鎮,25,37.5592,0.665616,1
2018,苗栗縣,卓蘭鎮,4,76.3153,0.052414,1
2018,苗栗縣,南庄鄉,2,165.4938,0.012085,1
2018,苗栗縣,後龍鎮,8,75.8079,0.105530,1
2018,苗栗縣,苗栗市,26,37.8878,0.686237,1
2018,苗栗縣,苑裡鎮,8,68.2473,0.117221,1
2018,苗栗縣,泰安鄉,2,614.5127,0.003255,1
2018,苗栗縣,通霄鎮,1,107.8486,0.009272,1
2018,苗栗縣,造橋鄉,1,47.9978,0.020834,1
2018,苗栗縣,銅鑼鄉,2,78.3805,0.025517,1
2018,苗栗縣,頭份市,32,53.3205,0.600144,1
2018,苗栗縣,頭屋鄉,2,52.5046,0.038092,1
2018,桃園市,八德區,56,33.7111,1.661174,1
2018,桃園市,大園區,25,87.3925,0.286066,1
2018,桃園市,大溪區,18,105.1206,0.171232,1
2018,桃園市,中壢區,119,76.5200,1.555149,1
2018,桃園市,平鎮區,52,47.7532,1.088932,1
2018,桃園市,桃園區,107,34.8046,3.074306,1
2018,桃園市,新屋區,12,85.0166,0.141149,1
2018,桃園市,楊梅區,41,89.1229,0.460039,1
2018,桃園市,龍潭區,37,75.2341,0.491798,1
2018,桃園市,龜山區,55,72.0177,0.763701,1
2018,桃園市,蘆竹區,58,75.5025,0.768186,1
2018,桃園市,觀音區,14,87.9807,0.159126,1
2018,高雄市,三民區,58,19.7866,2.931277,1
2018,高雄市,大社區,5,26.5848,0.188077,1
2018,高雄市,大寮區,24,71.0400,0.337838,1
2018,高雄市,大樹區,7,66.9811,0.104507,1
2018,高雄市,小港區,19,45.4426,0.418110,1
2018,高雄市,仁武區,25,36.0808,0.692889,1
2018,高雄市,內門區,2,95.6224,0.020916,1
2018,高雄市,六龜區,1,194.1584,0.005150,1
2018,高雄市,左營區,36,19.3823,1.857365,1
2018,高雄市,永安區,1,22.6141,0.044220,1
2018,高雄市,甲仙區,1,124.0340,0.008062,1
2018,高雄市,杉林區,2,104.0036,0.019230,1
2018,高雄市,岡山區,23,47.9421,0.479745,1
2018,高雄市,林園區,12,32.2860,0.371678,1
2018,高雄市,阿蓮區,1,34.6164,0.028888,1
2018,高雄市,前金區,13,1.8573,6.999408,1
2018,高雄市,前鎮區,27,19.1207,1.412082,1
2018,高雄市,美濃區,5,120.0316,0.041656,1
2018,高雄市,茄萣區,5,15.7624,0.317211,1
2018,高雄市,苓雅區,39,8.1522,4.783985,1
2018,高雄市,梓官區,4,11.5967,0.344926,1
2018,高雄市,鳥松區,13,24.5927,0.528612,1
2018,高雄市,湖內區,2,20.1615,0.099199,1
2018,高雄市,新興區,14,1.9764,7.083586,1
2018,高雄市,楠梓區,34,25.8276,1.316421,1
2018,高雄市,路竹區,11,48.4348,0.227109,1
2018,高雄市,鼓山區,36,14.7523,2.440297,1
2018,高雄市,旗山區,3,94.6122,0.031708,1
2018,高雄市,旗津區,2,1.7341,1.153336,1
2018,高雄市,鳳山區,69,26.7590,2.578572,1
2018,高雄市,橋頭區,5,25.9379,0.192768,1
2018,高雄市,燕巢區,4,65.3950,0.061167,1
2018,高雄市,彌陀區,1,14.7772,0.067672,1
2018,高雄市,鹽埕區,8,1.4161,5.649318,1
2018,基隆市,七堵區,19,56.2659,0.337682,1
2018,基隆市,中山區,12,10.5238,1.140273,1
2018,基隆市,中正區,19,10.2118,1.860593,1
2018,基隆市,仁愛區,21,4.2335,4.960435,1
2018,基隆市,安樂區,22,18.0250,1.220527,1
2018,基隆市,信義區,11,10.6706,1.030870,1
2018,基隆市,暖暖區,11,22.8283,0.481858,1
2018,連江縣,北竿鄉,1,9.9000,0.101010,1
2018,連江縣,東引鄉,1,3.8000,0.263158,1
2018,連江縣,南竿鄉,2,10.4000,0.192308,1
2018,雲林縣,二崙鄉,3,59.5625,0.050367,1
2018,雲林縣,口湖鄉,2,80.4612,0.024857,1
2018,雲林縣,土庫鎮,3,49.0212,0.061198,1
2018,雲林縣,大埤鄉,3,44.9973,0.066671,1
2018,雲林縣,斗六市,28,93.7151,0.298778,1
2018,雲林縣,斗南鎮,7,48.1505,0.145378,1
2018,雲林縣,北港鎮,5,41.4999,0.120482,1
2018,雲林縣,古坑鄉,2,166.6059,0.012004,1
2018,雲林縣,四湖鄉,1,77.1189,0.012967,1
2018,雲林縣,西螺鎮,10,49.7985,0.200809,1
2018,雲林縣,東勢鄉,1,48.3562,0.020680,1
2018,雲林縣,林內鄉,1,37.6035,0.026593,1
2018,雲林縣,虎尾鎮,21,68.7420,0.305490,1
2018,雲林縣,崙背鄉,3,58.4840,0.051296,1
2018,雲林縣,麥寮鄉,8,80.1668,0.099792,1
