Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-02 00:00:00-05:00,48.9896880786543,49.170402218316745,48.62004694456356,48.90754699707031,885400,0.0,0.0
2018-01-03 00:00:00-05:00,49.006106804289004,49.53181713824824,48.92396573966316,49.50717544555664,655100,0.0,0.0
2018-01-04 00:00:00-05:00,49.48253375286504,49.58110365711221,49.11289269508721,49.50717544555664,1096000,0.0,0.0
2018-01-05 00:00:00-05:00,49.60574631756302,49.696103370502684,48.973250080466194,49.07182312011719,843000,0.0,0.0
2018-01-08 00:00:00-05:00,48.9568236186866,49.59753587361845,48.603611376481375,49.56467819213867,1263400,0.0,0.0
2018-01-09 00:00:00-05:00,49.72073835893348,49.770024872112785,49.07181650288145,49.16217041015625,975000,0.0,0.0
2018-01-10 00:00:00-05:00,49.15396550779811,49.86860283033555,49.014321931278786,49.67146301269531,759000,0.0,0.0
2018-01-11 00:00:00-05:00,49.663250958864374,50.59146014641635,49.63039327549519,50.45181655883789,915800,0.0,0.0
2018-01-12 00:00:00-05:00,50.492897658278594,50.91182221568363,50.410753437770616,50.89539337158203,1483300,0.0,0.0
2018-01-16 00:00:00-05:00,51.051460264889926,51.45395593436622,50.40253509420465,50.476463317871094,1612800,0.0,0.0
2018-01-17 00:00:00-05:00,50.78861017919124,51.831815136710496,50.76396534649503,51.78253173828125,1099900,0.0,0.0
2018-01-18 00:00:00-05:00,51.7003821754202,52.028952753906275,51.642882794207324,51.94681167602539,820000,0.0,0.0
2018-01-19 00:00:00-05:00,52.160383923275546,52.497167379173185,51.790742780587536,52.46430969238281,1216000,0.0,0.0
2018-01-22 00:00:00-05:00,52.09466200496682,52.61216267319716,51.86466449329208,52.603946685791016,1038200,0.0,0.0
2018-01-23 00:00:00-05:00,52.645013912039815,53.08858322604903,52.447874083689776,52.998226165771484,861300,0.0,0.0
2018-01-24 00:00:00-05:00,53.26108960291791,53.35966266583104,52.3821699597209,52.743595123291016,1385400,0.0,0.0
2018-01-25 00:00:00-05:00,52.932522024959326,53.006447117403155,52.1850237775594,52.36573791503906,1248000,0.0,0.0
2018-01-26 00:00:00-05:00,52.67786785221512,53.06393776107138,52.554656251619896,53.04751205444336,912300,0.0,0.0
2018-01-29 00:00:00-05:00,52.52180126882936,52.998225122531395,52.168589022050476,52.3328742980957,1092900,0.0,0.0
2018-01-30 00:00:00-05:00,52.111092795515646,52.20144985947656,51.601811229122845,51.807167053222656,1185900,0.0,0.0
2018-01-31 00:00:00-05:00,51.88110402044399,52.19324580306583,51.33896467877539,51.70038986206055,3278100,0.0,0.0
2018-02-01 00:00:00-05:00,51.57716583433686,51.90573324924621,50.91181188391288,51.48680877685547,1298500,0.0,0.0
2018-02-02 00:00:00-05:00,51.429319026868065,52.02895772645518,51.166463792349916,51.26503372192383,975200,0.0,0.0
2018-02-05 00:00:00-05:00,51.026817597381374,51.57717287099786,49.926110183629795,49.934326171875,1510100,0.0,0.0
2018-02-06 00:00:00-05:00,49.28539536663978,51.38002404302576,48.603612559997025,51.182884216308594,1589800,0.0,0.0
2018-02-07 00:00:00-05:00,52.078239119716514,52.44787710251899,50.188962999484424,51.81538391113281,1630100,0.0,0.0
2018-02-08 00:00:00-05:00,51.83179776417193,52.06179836918462,50.188951519558174,50.21359634399414,1293300,0.0,0.0
2018-02-09 00:00:00-05:00,50.72288612998035,51.05145668623905,48.965040861002784,50.287532806396484,1387400,0.0,0.0
2018-02-12 00:00:00-05:00,50.5668229639045,51.25681870883627,50.55039412075357,50.90360641479492,1169800,0.0,0.0
2018-02-13 00:00:00-05:00,50.94467636138957,51.404674563802885,50.32039286286568,51.28145980834961,1126700,0.0,0.0
2018-02-14 00:00:00-05:00,51.08430970456652,52.73536902327123,50.67359808828883,52.57108688354492,1091700,0.0,0.0
