年月,年,月,行業代號,行業名稱,家數
202201,2022,01,561,　　餐食業,130469
202201,2022,01,562,　　外燴及團膳承包業,2255
202201,2022,01,563,　　飲料業,27414
202202,2022,02,561,　　餐食業,130451
202202,2022,02,562,　　外燴及團膳承包業,2250
202202,2022,02,563,　　飲料業,27366
202203,2022,03,561,　　餐食業,130473
202203,2022,03,562,　　外燴及團膳承包業,2241
202203,2022,03,563,　　飲料業,27388
202204,2022,04,561,　　餐食業,130842
202204,2022,04,562,　　外燴及團膳承包業,2238
202204,2022,04,563,　　飲料業,27539
202205,2022,05,561,　　餐食業,131049
202205,2022,05,562,　　外燴及團膳承包業,2237
202205,2022,05,563,　　飲料業,27749
202206,2022,06,561,　　餐食業,131008
202206,2022,06,562,　　外燴及團膳承包業,2231
202206,2022,06,563,　　飲料業,27809
202207,2022,07,561,　　餐食業,131165
202207,2022,07,562,　　外燴及團膳承包業,2215
202207,2022,07,563,　　飲料業,28001
202208,2022,08,561,　　餐食業,131309
202208,2022,08,562,　　外燴及團膳承包業,2212
202208,2022,08,563,　　飲料業,28148
202209,2022,09,561,　　餐食業,131688
202209,2022,09,562,　　外燴及團膳承包業,2210
202209,2022,09,563,　　飲料業,28229
202210,2022,10,561,　　餐食業,132033
202210,2022,10,562,　　外燴及團膳承包業,2207
202210,2022,10,563,　　飲料業,28268
202211,2022,11,561,　　餐食業,132475
202211,2022,11,562,　　外燴及團膳承包業,2202
202211,2022,11,563,　　飲料業,28223
202212,2022,12,561,　　餐食業,132954
202212,2022,12,562,　　外燴及團膳承包業,2204
202212,2022,12,563,　　飲料業,28158
202301,2023,01,561,　　餐食業,133301
202301,2023,01,562,　　外燴及團膳承包業,2202
202301,2023,01,563,　　飲料業,28140
202302,2023,02,561,　　餐食業,133371
202302,2023,02,562,　　外燴及團膳承包業,2198
202302,2023,02,563,　　飲料業,27563
202303,2023,03,561,　　餐食業,133579
202303,2023,03,562,　　外燴及團膳承包業,2197
202303,2023,03,563,　　飲料業,27634
202304,2023,04,561,　　餐食業,134095
202304,2023,04,562,　　外燴及團膳承包業,2200
202304,2023,04,563,　　飲料業,27775
202305,2023,05,561,　　餐食業,134448
202305,2023,05,562,　　外燴及團膳承包業,2205
202305,2023,05,563,　　飲料業,27968
202306,2023,06,561,　　餐食業,134890
202306,2023,06,562,　　外燴及團膳承包業,2206
202306,2023,06,563,　　飲料業,28096
202307,2023,07,561,　　餐食業,135328
202307,2023,07,562,　　外燴及團膳承包業,2199
202307,2023,07,563,　　飲料業,28249
202308,2023,08,561,　　餐食業,135643
202308,2023,08,562,　　外燴及團膳承包業,2196
202308,2023,08,563,　　飲料業,28360
202309,2023,09,561,　　餐食業,136204
202309,2023,09,562,　　外燴及團膳承包業,2192
202309,2023,09,563,　　飲料業,28471
202310,2023,10,561,　　餐食業,136871
202310,2023,10,562,　　外燴及團膳承包業,2204
202310,2023,10,563,　　飲料業,28527
202311,2023,11,561,　　餐食業,137468
202311,2023,11,562,　　外燴及團膳承包業,2206
202311,2023,11,563,　　飲料業,28542
202312,2023,12,561,　　餐食業,138143
202312,2023,12,562,　　外燴及團膳承包業,2211
202312,2023,12,563,　　飲料業,28526
202401,2024,01,561,　　餐食業,138729
202401,2024,01,562,　　外燴及團膳承包業,2222
202401,2024,01,563,　　飲料業,28574
202402,2024,02,561,　　餐食業,138275
202402,2024,02,562,　　外燴及團膳承包業,2207
202402,2024,02,563,　　飲料業,28476
202403,2024,03,561,　　餐食業,138265
202403,2024,03,562,　　外燴及團膳承包業,2202
202403,2024,03,563,　　飲料業,28494
202404,2024,04,561,　　餐食業,138660
202404,2024,04,562,　　外燴及團膳承包業,2202
202404,2024,04,563,　　飲料業,28528
202405,2024,05,561,　　餐食業,138979
202405,2024,05,562,　　外燴及團膳承包業,2198
202405,2024,05,563,　　飲料業,28671
202406,2024,06,561,　　餐食業,139354
202406,2024,06,562,　　外燴及團膳承包業,2195
202406,2024,06,563,　　飲料業,28947
202407,2024,07,561,　　餐食業,139717
202407,2024,07,562,　　外燴及團膳承包業,2192
202407,2024,07,563,　　飲料業,29008
202408,2024,08,561,　　餐食業,140017
202408,2024,08,562,　　外燴及團膳承包業,2180
202408,2024,08,563,　　飲料業,29077
202409,2024,09,561,　　餐食業,140561
202409,2024,09,562,　　外燴及團膳承包業,2176
202409,2024,09,563,　　飲料業,29182
202410,2024,10,561,　　餐食業,140980
202410,2024,10,562,　　外燴及團膳承包業,2176
202410,2024,10,563,　　飲料業,29189
202411,2024,11,561,　　餐食業,141383
202411,2024,11,562,　　外燴及團膳承包業,2184
202411,2024,11,563,　　飲料業,29201
202412,2024,12,561,　　餐食業,141696
202412,2024,12,562,　　外燴及團膳承包業,2198
202412,2024,12,563,　　飲料業,29117
202501,2025,01,561,　　餐食業,142057
202501,2025,01,562,　　外燴及團膳承包業,2200
202501,2025,01,563,　　飲料業,29089
202502,2025,02,561,　　餐食業,142099
202502,2025,02,562,　　外燴及團膳承包業,2199
202502,2025,02,563,　　飲料業,29012
202503,2025,03,561,　　餐食業,142154
202503,2025,03,562,　　外燴及團膳承包業,2204
202503,2025,03,563,　　飲料業,28991
202504,2025,04,561,　　餐食業,142468
202504,2025,04,562,　　外燴及團膳承包業,2198
202504,2025,04,563,　　飲料業,29004
202505,2025,05,561,　　餐食業,142741
202505,2025,05,562,　　外燴及團膳承包業,2199
202505,2025,05,563,　　飲料業,29096
202506,2025,06,561,　　餐食業,143263
202506,2025,06,562,　　外燴及團膳承包業,2193
202506,2025,06,563,　　飲料業,29196
202507,2025,07,561,　　餐食業,143685
202507,2025,07,562,　　外燴及團膳承包業,2195
202507,2025,07,563,　　飲料業,29311
202508,2025,08,561,　　餐食業,144093
202508,2025,08,562,　　外燴及團膳承包業,2193
202508,2025,08,563,　　飲料業,29431
202509,2025,09,561,　　餐食業,144865
202509,2025,09,562,　　外燴及團膳承包業,2200
202509,2025,09,563,　　飲料業,29524
202510,2025,10,561,　　餐食業,145496
202510,2025,10,562,　　外燴及團膳承包業,2205
202510,2025,10,563,　　飲料業,29582
202511,2025,11,561,　　餐食業,146140
202511,2025,11,562,　　外燴及團膳承包業,2206
202511,2025,11,563,　　飲料業,29513
202512,2025,12,561,　　餐食業,146732
202512,2025,12,562,　　外燴及團膳承包業,2206
202512,2025,12,563,　　飲料業,29485
