月,年,月2,修改,行業別,營業額_千元,日期格式
2018年8月,2018,8月,8,超級市場業,18796934.0,2018-08-01
2018年8月,2018,8月,8,便利商店業,27819381.0,2018-08-01
2018年8月,2018,8月,8,零售式量販業,19449513.0,2018-08-01
2018年8月,2018,8月,8,其他綜合商品零售業,13573247.0,2018-08-01
2018年8月,2018,8月,8,食品、飲料及菸草製品零售業,23901354.0,2018-08-01
2018年8月,2018,8月,8,文教育樂用品零售業,6296670.0,2018-08-01
2018年8月,2018,8月,8,燃料及相關產品零售業,23966482.0,2018-08-01
2018年8月,2018,8月,8,資通訊及家電設備零售業,19524691.0,2018-08-01
2018年8月,2018,8月,8,汽機車及其零配件、用品零售業,40492262.0,2018-08-01
2018年8月,2018,8月,8,電子購物及郵購業,17483556.0,2018-08-01
2018年8月,2018,8月,8,餐飲業,67089246.0,2018-08-01
2018年9月,2018,9月,9,百貨公司業,25514492.0,2018-09-01
2018年9月,2018,9月,9,超級市場業,16783417.0,2018-09-01
2018年9月,2018,9月,9,便利商店業,26752016.0,2018-09-01
2018年9月,2018,9月,9,零售式量販業,17268291.0,2018-09-01
2018年9月,2018,9月,9,其他綜合商品零售業,13062403.0,2018-09-01
2018年9月,2018,9月,9,食品、飲料及菸草製品零售業,26990748.0,2018-09-01
2018年9月,2018,9月,9,文教育樂用品零售業,5756801.0,2018-09-01
2018年9月,2018,9月,9,燃料及相關產品零售業,24348649.0,2018-09-01
2018年9月,2018,9月,9,資通訊及家電設備零售業,19906469.0,2018-09-01
2018年9月,2018,9月,9,汽機車及其零配件、用品零售業,44751712.0,2018-09-01
2018年9月,2018,9月,9,電子購物及郵購業,16671567.0,2018-09-01
2018年9月,2018,9月,9,餐飲業,62887827.0,2018-09-01
2018年10月,2018,10月,10,百貨公司業,39677586.0,2018-10-01
2018年10月,2018,10月,10,超級市場業,16227763.0,2018-10-01
2018年10月,2018,10月,10,便利商店業,26460073.0,2018-10-01
2018年10月,2018,10月,10,零售式量販業,14541342.0,2018-10-01
2018年10月,2018,10月,10,其他綜合商品零售業,14399946.0,2018-10-01
2018年10月,2018,10月,10,食品、飲料及菸草製品零售業,23824254.0,2018-10-01
2018年10月,2018,10月,10,文教育樂用品零售業,6157063.0,2018-10-01
2018年10月,2018,10月,10,燃料及相關產品零售業,23990267.0,2018-10-01
2018年10月,2018,10月,10,資通訊及家電設備零售業,20155206.0,2018-10-01
2018年10月,2018,10月,10,汽機車及其零配件、用品零售業,51401468.0,2018-10-01
2018年10月,2018,10月,10,電子購物及郵購業,17992701.0,2018-10-01
2018年10月,2018,10月,10,餐飲業,60967542.0,2018-10-01
2018年11月,2018,11月,11,百貨公司業,36976534.0,2018-11-01
2018年11月,2018,11月,11,超級市場業,15838576.0,2018-11-01
2018年11月,2018,11月,11,便利商店業,25983485.0,2018-11-01
2018年11月,2018,11月,11,零售式量販業,14904578.0,2018-11-01
2018年11月,2018,11月,11,其他綜合商品零售業,13365160.0,2018-11-01
2018年11月,2018,11月,11,食品、飲料及菸草製品零售業,22397766.0,2018-11-01
2018年11月,2018,11月,11,文教育樂用品零售業,6500235.0,2018-11-01
2018年11月,2018,11月,11,燃料及相關產品零售業,22479494.0,2018-11-01
2018年11月,2018,11月,11,資通訊及家電設備零售業,20862614.0,2018-11-01
2018年11月,2018,11月,11,汽機車及其零配件、用品零售業,53761054.0,2018-11-01
2018年11月,2018,11月,11,電子購物及郵購業,23709989.0,2018-11-01
2018年11月,2018,11月,11,餐飲業,59298991.0,2018-11-01
2018年12月,2018,12月,12,百貨公司業,32625935.0,2018-12-01
2018年12月,2018,12月,12,超級市場業,17161073.0,2018-12-01
2018年12月,2018,12月,12,便利商店業,26410554.0,2018-12-01
2018年12月,2018,12月,12,零售式量販業,16863382.0,2018-12-01
2018年12月,2018,12月,12,其他綜合商品零售業,14795950.0,2018-12-01
2018年12月,2018,12月,12,食品、飲料及菸草製品零售業,24533062.0,2018-12-01
2018年12月,2018,12月,12,文教育樂用品零售業,7505486.0,2018-12-01
2018年12月,2018,12月,12,燃料及相關產品零售業,22309445.0,2018-12-01
2018年12月,2018,12月,12,資通訊及家電設備零售業,20122788.0,2018-12-01
2018年12月,2018,12月,12,汽機車及其零配件、用品零售業,60707808.0,2018-12-01
2018年12月,2018,12月,12,電子購物及郵購業,21528659.0,2018-12-01
2018年12月,2018,12月,12,餐飲業,69641669.0,2018-12-01
2019年1月,2019,1月,1,百貨公司業,27765234.0,2019-01-01
