月,年,月2,修改,行業別,營業額_千元,日期格式
2020年8月,2020,8月,8,零售式量販業,22045874.0,2020-08-01
2020年8月,2020,8月,8,其他綜合商品零售業,11343008.0,2020-08-01
2020年8月,2020,8月,8,食品、飲料及菸草製品零售業,23493091.0,2020-08-01
2020年8月,2020,8月,8,文教育樂用品零售業,8289374.0,2020-08-01
2020年8月,2020,8月,8,燃料及相關產品零售業,19312936.0,2020-08-01
2020年8月,2020,8月,8,資通訊及家電設備零售業,22259531.0,2020-08-01
2020年8月,2020,8月,8,汽機車及其零配件、用品零售業,57056545.0,2020-08-01
2020年8月,2020,8月,8,電子購物及郵購業,26171283.0,2020-08-01
2020年8月,2020,8月,8,餐飲業,70726646.0,2020-08-01
2020年9月,2020,9月,9,百貨公司業,28708746.0,2020-09-01
2020年9月,2020,9月,9,超級市場業,18254490.0,2020-09-01
2020年9月,2020,9月,9,便利商店業,28909368.0,2020-09-01
2020年9月,2020,9月,9,零售式量販業,17568974.0,2020-09-01
2020年9月,2020,9月,9,其他綜合商品零售業,9736728.0,2020-09-01
2020年9月,2020,9月,9,食品、飲料及菸草製品零售業,27094446.0,2020-09-01
2020年9月,2020,9月,9,文教育樂用品零售業,6788623.0,2020-09-01
2020年9月,2020,9月,9,燃料及相關產品零售業,18619350.0,2020-09-01
2020年9月,2020,9月,9,資通訊及家電設備零售業,19462330.0,2020-09-01
2020年9月,2020,9月,9,汽機車及其零配件、用品零售業,58271052.0,2020-09-01
2020年9月,2020,9月,9,電子購物及郵購業,23699015.0,2020-09-01
2020年9月,2020,9月,9,餐飲業,62274227.0,2020-09-01
2020年10月,2020,10月,10,百貨公司業,46915401.0,2020-10-01
2020年10月,2020,10月,10,超級市場業,18702288.0,2020-10-01
2020年10月,2020,10月,10,便利商店業,29264242.0,2020-10-01
2020年10月,2020,10月,10,零售式量販業,17285812.0,2020-10-01
2020年10月,2020,10月,10,其他綜合商品零售業,9908944.0,2020-10-01
2020年10月,2020,10月,10,食品、飲料及菸草製品零售業,23763879.0,2020-10-01
2020年10月,2020,10月,10,文教育樂用品零售業,6950810.0,2020-10-01
2020年10月,2020,10月,10,燃料及相關產品零售業,18098069.0,2020-10-01
2020年10月,2020,10月,10,資通訊及家電設備零售業,19533554.0,2020-10-01
2020年10月,2020,10月,10,汽機車及其零配件、用品零售業,61429522.0,2020-10-01
2020年10月,2020,10月,10,電子購物及郵購業,24408108.0,2020-10-01
2020年10月,2020,10月,10,餐飲業,64199770.0,2020-10-01
2020年11月,2020,11月,11,百貨公司業,39560254.0,2020-11-01
2020年11月,2020,11月,11,超級市場業,17219552.0,2020-11-01
2020年11月,2020,11月,11,便利商店業,29039224.0,2020-11-01
2020年11月,2020,11月,11,零售式量販業,17552133.0,2020-11-01
2020年11月,2020,11月,11,其他綜合商品零售業,8611342.0,2020-11-01
2020年11月,2020,11月,11,食品、飲料及菸草製品零售業,21655859.0,2020-11-01
2020年11月,2020,11月,11,文教育樂用品零售業,7441112.0,2020-11-01
2020年11月,2020,11月,11,燃料及相關產品零售業,17693788.0,2020-11-01
2020年11月,2020,11月,11,資通訊及家電設備零售業,21486065.0,2020-11-01
2020年11月,2020,11月,11,汽機車及其零配件、用品零售業,68842556.0,2020-11-01
2020年11月,2020,11月,11,電子購物及郵購業,36775041.0,2020-11-01
2020年11月,2020,11月,11,餐飲業,62363155.0,2020-11-01
2020年12月,2020,12月,12,百貨公司業,33287034.0,2020-12-01
2020年12月,2020,12月,12,超級市場業,18297599.0,2020-12-01
2020年12月,2020,12月,12,便利商店業,29078085.0,2020-12-01
2020年12月,2020,12月,12,零售式量販業,19018805.0,2020-12-01
2020年12月,2020,12月,12,其他綜合商品零售業,9439479.0,2020-12-01
2020年12月,2020,12月,12,食品、飲料及菸草製品零售業,23344399.0,2020-12-01
2020年12月,2020,12月,12,文教育樂用品零售業,7847383.0,2020-12-01
2020年12月,2020,12月,12,燃料及相關產品零售業,19375624.0,2020-12-01
2020年12月,2020,12月,12,資通訊及家電設備零售業,21763234.0,2020-12-01
2020年12月,2020,12月,12,汽機車及其零配件、用品零售業,64906304.0,2020-12-01
2020年12月,2020,12月,12,電子購物及郵購業,31517569.0,2020-12-01
2020年12月,2020,12月,12,餐飲業,69406494.0,2020-12-01
2021年1月,2021,1月,1,百貨公司業,31342189.0,2021-01-01
2021年1月,2021,1月,1,超級市場業,18372017.0,2021-01-01
2021年1月,2021,1月,1,便利商店業,29874334.0,2021-01-01
2021年1月,2021,1月,1,零售式量販業,23015806.0,2021-01-01
2021年1月,2021,1月,1,其他綜合商品零售業,9674522.0,2021-01-01
2021年1月,2021,1月,1,食品、飲料及菸草製品零售業,24825822.0,2021-01-01
2021年1月,2021,1月,1,文教育樂用品零售業,7474698.0,2021-01-01
2021年1月,2021,1月,1,燃料及相關產品零售業,20379085.0,2021-01-01
2021年1月,2021,1月,1,資通訊及家電設備零售業,23746813.0,2021-01-01
2021年1月,2021,1月,1,汽機車及其零配件、用品零售業,77233476.0,2021-01-01
2021年1月,2021,1月,1,電子購物及郵購業,33816137.0,2021-01-01
2021年1月,2021,1月,1,餐飲業,67262489.0,2021-01-01
2021年2月,2021,2月,2,百貨公司業,31865603.0,2021-02-01
2021年2月,2021,2月,2,超級市場業,17069442.0,2021-02-01
2021年2月,2021,2月,2,便利商店業,28070800.0,2021-02-01
2021年2月,2021,2月,2,零售式量販業,19258278.0,2021-02-01
2021年2月,2021,2月,2,其他綜合商品零售業,8781507.0,2021-02-01
2021年2月,2021,2月,2,食品、飲料及菸草製品零售業,22664446.0,2021-02-01
2021年2月,2021,2月,2,文教育樂用品零售業,7652777.0,2021-02-01
2021年2月,2021,2月,2,燃料及相關產品零售業,18460283.0,2021-02-01
2021年2月,2021,2月,2,資通訊及家電設備零售業,20303525.0,2021-02-01
2021年2月,2021,2月,2,汽機車及其零配件、用品零售業,44987207.0,2021-02-01
2021年2月,2021,2月,2,電子購物及郵購業,27619771.0,2021-02-01
2021年2月,2021,2月,2,餐飲業,68355101.0,2021-02-01
2021年3月,2021,3月,3,百貨公司業,26429860.0,2021-03-01
2021年3月,2021,3月,3,超級市場業,16360574.0,2021-03-01
2021年3月,2021,3月,3,便利商店業,28641880.0,2021-03-01
2021年3月,2021,3月,3,零售式量販業,17173927.0,2021-03-01
2021年3月,2021,3月,3,其他綜合商品零售業,10525099.0,2021-03-01
2021年3月,2021,3月,3,食品、飲料及菸草製品零售業,20317331.0,2021-03-01
2021年3月,2021,3月,3,文教育樂用品零售業,7144210.0,2021-03-01
2021年3月,2021,3月,3,燃料及相關產品零售業,21258816.0,2021-03-01
2021年3月,2021,3月,3,資通訊及家電設備零售業,19904655.0,2021-03-01
2021年3月,2021,3月,3,汽機車及其零配件、用品零售業,68940673.0,2021-03-01
2021年3月,2021,3月,3,電子購物及郵購業,30436788.0,2021-03-01
2021年3月,2021,3月,3,餐飲業,62633958.0,2021-03-01
2021年4月,2021,4月,4,百貨公司業,35183430.0,2021-04-01
2021年4月,2021,4月,4,超級市場業,16313128.0,2021-04-01
2021年4月,2021,4月,4,便利商店業,28230533.0,2021-04-01
2021年4月,2021,4月,4,零售式量販業,16650191.0,2021-04-01
2021年4月,2021,4月,4,其他綜合商品零售業,11013338.0,2021-04-01
2021年4月,2021,4月,4,食品、飲料及菸草製品零售業,20099935.0,2021-04-01
2021年4月,2021,4月,4,文教育樂用品零售業,7319887.0,2021-04-01
2021年4月,2021,4月,4,燃料及相關產品零售業,20899299.0,2021-04-01
2021年4月,2021,4月,4,資通訊及家電設備零售業,21797041.0,2021-04-01
2021年4月,2021,4月,4,汽機車及其零配件、用品零售業,59985636.0,2021-04-01
2021年4月,2021,4月,4,電子購物及郵購業,28869857.0,2021-04-01
2021年4月,2021,4月,4,餐飲業,63227411.0,2021-04-01
2021年5月,2021,5月,5,百貨公司業,19711209.0,2021-05-01
2021年5月,2021,5月,5,超級市場業,23845867.0,2021-05-01
2021年5月,2021,5月,5,便利商店業,29631052.0,2021-05-01
2021年5月,2021,5月,5,零售式量販業,18573275.0,2021-05-01
2021年5月,2021,5月,5,其他綜合商品零售業,9180349.0,2021-05-01
2021年5月,2021,5月,5,食品、飲料及菸草製品零售業,20129491.0,2021-05-01
2021年5月,2021,5月,5,文教育樂用品零售業,5505372.0,2021-05-01
2021年5月,2021,5月,5,燃料及相關產品零售業,19319556.0,2021-05-01
2021年5月,2021,5月,5,資通訊及家電設備零售業,25008821.0,2021-05-01
2021年5月,2021,5月,5,汽機車及其零配件、用品零售業,58242980.0,2021-05-01
2021年5月,2021,5月,5,電子購物及郵購業,34821065.0,2021-05-01
2021年5月,2021,5月,5,餐飲業,48217427.0,2021-05-01
2021年6月,2021,6月,6,百貨公司業,8916613.0,2021-06-01
2021年6月,2021,6月,6,超級市場業,22606695.0,2021-06-01
2021年6月,2021,6月,6,便利商店業,27023519.0,2021-06-01
2021年6月,2021,6月,6,零售式量販業,18090389.0,2021-06-01
2021年6月,2021,6月,6,其他綜合商品零售業,5983535.0,2021-06-01
2021年6月,2021,6月,6,食品、飲料及菸草製品零售業,19600309.0,2021-06-01
2021年6月,2021,6月,6,文教育樂用品零售業,4168471.0,2021-06-01
2021年6月,2021,6月,6,燃料及相關產品零售業,16914056.0,2021-06-01
2021年6月,2021,6月,6,資通訊及家電設備零售業,23285645.0,2021-06-01
2021年6月,2021,6月,6,汽機車及其零配件、用品零售業,48383758.0,2021-06-01
2021年6月,2021,6月,6,電子購物及郵購業,36017906.0,2021-06-01
2021年6月,2021,6月,6,餐飲業,36917524.0,2021-06-01
2021年7月,2021,7月,7,百貨公司業,15358197.0,2021-07-01
2021年7月,2021,7月,7,超級市場業,21776495.0,2021-07-01
2021年7月,2021,7月,7,便利商店業,28715924.0,2021-07-01
2021年7月,2021,7月,7,零售式量販業,20396160.0,2021-07-01
2021年7月,2021,7月,7,其他綜合商品零售業,7128785.0,2021-07-01
2021年7月,2021,7月,7,食品、飲料及菸草製品零售業,20315238.0,2021-07-01
2021年7月,2021,7月,7,文教育樂用品零售業,4915610.0,2021-07-01
2021年7月,2021,7月,7,燃料及相關產品零售業,20299614.0,2021-07-01
2021年7月,2021,7月,7,資通訊及家電設備零售業,24231665.0,2021-07-01
2021年7月,2021,7月,7,汽機車及其零配件、用品零售業,62278033.0,2021-07-01
2021年7月,2021,7月,7,電子購物及郵購業,33180190.0,2021-07-01
2021年7月,2021,7月,7,餐飲業,40866510.0,2021-07-01
2021年8月,2021,8月,8,百貨公司業,23485119.0,2021-08-01
2021年8月,2021,8月,8,超級市場業,22454663.0,2021-08-01
2021年8月,2021,8月,8,便利商店業,27596003.0,2021-08-01
2021年8月,2021,8月,8,零售式量販業,22801342.0,2021-08-01
2021年8月,2021,8月,8,其他綜合商品零售業,8648642.0,2021-08-01
2021年8月,2021,8月,8,食品、飲料及菸草製品零售業,22573639.0,2021-08-01
2021年8月,2021,8月,8,文教育樂用品零售業,5834152.0,2021-08-01
2021年8月,2021,8月,8,燃料及相關產品零售業,21816202.0,2021-08-01
2021年8月,2021,8月,8,資通訊及家電設備零售業,22036900.0,2021-08-01
2021年8月,2021,8月,8,汽機車及其零配件、用品零售業,54935443.0,2021-08-01
2021年8月,2021,8月,8,電子購物及郵購業,32938254.0,2021-08-01
2021年8月,2021,8月,8,餐飲業,52498181.0,2021-08-01
2021年9月,2021,9月,9,百貨公司業,25202995.0,2021-09-01
2021年9月,2021,9月,9,超級市場業,19041519.0,2021-09-01
2021年9月,2021,9月,9,便利商店業,28265162.0,2021-09-01
2021年9月,2021,9月,9,零售式量販業,19842948.0,2021-09-01
2021年9月,2021,9月,9,其他綜合商品零售業,8773473.0,2021-09-01
2021年9月,2021,9月,9,食品、飲料及菸草製品零售業,24621212.0,2021-09-01
2021年9月,2021,9月,9,文教育樂用品零售業,5764759.0,2021-09-01
2021年9月,2021,9月,9,燃料及相關產品零售業,22024490.0,2021-09-01
2021年9月,2021,9月,9,資通訊及家電設備零售業,22398430.0,2021-09-01
2021年9月,2021,9月,9,汽機車及其零配件、用品零售業,62769806.0,2021-09-01
2021年9月,2021,9月,9,電子購物及郵購業,29794338.0,2021-09-01
2021年9月,2021,9月,9,餐飲業,55597291.0,2021-09-01
2021年10月,2021,10月,10,百貨公司業,47290351.0,2021-10-01
2021年10月,2021,10月,10,超級市場業,19898605.0,2021-10-01
2021年10月,2021,10月,10,便利商店業,30639436.0,2021-10-01
2021年10月,2021,10月,10,零售式量販業,20664524.0,2021-10-01
2021年10月,2021,10月,10,其他綜合商品零售業,9414572.0,2021-10-01
2021年10月,2021,10月,10,食品、飲料及菸草製品零售業,23730067.0,2021-10-01
2021年10月,2021,10月,10,文教育樂用品零售業,7222487.0,2021-10-01
2021年10月,2021,10月,10,燃料及相關產品零售業,23931038.0,2021-10-01
2021年10月,2021,10月,10,資通訊及家電設備零售業,27568966.0,2021-10-01
2021年10月,2021,10月,10,汽機車及其零配件、用品零售業,57017913.0,2021-10-01
2021年10月,2021,10月,10,電子購物及郵購業,32267274.0,2021-10-01
2021年10月,2021,10月,10,餐飲業,64810794.0,2021-10-01
2021年11月,2021,11月,11,百貨公司業,42830755.0,2021-11-01
2021年11月,2021,11月,11,超級市場業,18139051.0,2021-11-01
2021年11月,2021,11月,11,便利商店業,29550425.0,2021-11-01
2021年11月,2021,11月,11,零售式量販業,19776449.0,2021-11-01
2021年11月,2021,11月,11,其他綜合商品零售業,8973294.0,2021-11-01
2021年11月,2021,11月,11,食品、飲料及菸草製品零售業,23292351.0,2021-11-01
2021年11月,2021,11月,11,文教育樂用品零售業,6849674.0,2021-11-01
2021年11月,2021,11月,11,燃料及相關產品零售業,23181890.0,2021-11-01
2021年11月,2021,11月,11,資通訊及家電設備零售業,25943967.0,2021-11-01
2021年11月,2021,11月,11,汽機車及其零配件、用品零售業,61739477.0,2021-11-01
2021年11月,2021,11月,11,電子購物及郵購業,46811429.0,2021-11-01
2021年11月,2021,11月,11,餐飲業,64513108.0,2021-11-01
2021年12月,2021,12月,12,百貨公司業,37526834.0,2021-12-01
2021年12月,2021,12月,12,超級市場業,19040166.0,2021-12-01
2021年12月,2021,12月,12,便利商店業,29018517.0,2021-12-01
2021年12月,2021,12月,12,零售式量販業,19914884.0,2021-12-01
2021年12月,2021,12月,12,其他綜合商品零售業,9635357.0,2021-12-01
2021年12月,2021,12月,12,食品、飲料及菸草製品零售業,24919508.0,2021-12-01
2021年12月,2021,12月,12,文教育樂用品零售業,7032243.0,2021-12-01
2021年12月,2021,12月,12,燃料及相關產品零售業,23642761.0,2021-12-01
2021年12月,2021,12月,12,資通訊及家電設備零售業,22969217.0,2021-12-01
2021年12月,2021,12月,12,汽機車及其零配件、用品零售業,60300878.0,2021-12-01
2021年12月,2021,12月,12,電子購物及郵購業,36047379.0,2021-12-01
2021年12月,2021,12月,12,餐飲業,73939181.0,2021-12-01
2022年1月,2022,1月,1,百貨公司業,33485182.0,2022-01-01
2022年1月,2022,1月,1,超級市場業,21600066.0,2022-01-01
2022年1月,2022,1月,1,便利商店業,32361982.0,2022-01-01
2022年1月,2022,1月,1,零售式量販業,26100924.0,2022-01-01
2022年1月,2022,1月,1,其他綜合商品零售業,9377264.0,2022-01-01
2022年1月,2022,1月,1,食品、飲料及菸草製品零售業,30121288.0,2022-01-01
2022年1月,2022,1月,1,文教育樂用品零售業,7272685.0,2022-01-01
2022年1月,2022,1月,1,燃料及相關產品零售業,23426938.0,2022-01-01
2022年1月,2022,1月,1,資通訊及家電設備零售業,26823895.0,2022-01-01
2022年1月,2022,1月,1,汽機車及其零配件、用品零售業,71386056.0,2022-01-01
2022年1月,2022,1月,1,電子購物及郵購業,37770709.0,2022-01-01
2022年1月,2022,1月,1,餐飲業,72875456.0,2022-01-01
2022年2月,2022,2月,2,百貨公司業,31610133.0,2022-02-01
2022年2月,2022,2月,2,超級市場業,17810548.0,2022-02-01
2022年2月,2022,2月,2,便利商店業,26706566.0,2022-02-01
2022年2月,2022,2月,2,零售式量販業,17282006.0,2022-02-01
2022年2月,2022,2月,2,其他綜合商品零售業,8298878.0,2022-02-01
2022年2月,2022,2月,2,食品、飲料及菸草製品零售業,20954220.0,2022-02-01
2022年2月,2022,2月,2,文教育樂用品零售業,7061834.0,2022-02-01
2022年2月,2022,2月,2,燃料及相關產品零售業,20674747.0,2022-02-01
2022年2月,2022,2月,2,資通訊及家電設備零售業,21525652.0,2022-02-01
2022年2月,2022,2月,2,汽機車及其零配件、用品零售業,48479555.0,2022-02-01
2022年2月,2022,2月,2,電子購物及郵購業,31928755.0,2022-02-01
2022年2月,2022,2月,2,餐飲業,68733144.0,2022-02-01
2022年3月,2022,3月,3,百貨公司業,29623471.0,2022-03-01
2022年3月,2022,3月,3,超級市場業,18036771.0,2022-03-01
2022年3月,2022,3月,3,便利商店業,29790314.0,2022-03-01
2022年3月,2022,3月,3,零售式量販業,18190841.0,2022-03-01
2022年3月,2022,3月,3,其他綜合商品零售業,9041498.0,2022-03-01
2022年3月,2022,3月,3,食品、飲料及菸草製品零售業,22434499.0,2022-03-01
2022年3月,2022,3月,3,文教育樂用品零售業,6819777.0,2022-03-01
2022年3月,2022,3月,3,燃料及相關產品零售業,24789822.0,2022-03-01
2022年3月,2022,3月,3,資通訊及家電設備零售業,24550874.0,2022-03-01
2022年3月,2022,3月,3,汽機車及其零配件、用品零售業,64550129.0,2022-03-01
2022年3月,2022,3月,3,電子購物及郵購業,35025307.0,2022-03-01
2022年3月,2022,3月,3,餐飲業,67123423.0,2022-03-01
2022年4月,2022,4月,4,百貨公司業,30671287.0,2022-04-01
2022年4月,2022,4月,4,超級市場業,20093608.0,2022-04-01
2022年4月,2022,4月,4,便利商店業,30016712.0,2022-04-01
2022年4月,2022,4月,4,零售式量販業,18886617.0,2022-04-01
2022年4月,2022,4月,4,其他綜合商品零售業,9479917.0,2022-04-01
2022年4月,2022,4月,4,食品、飲料及菸草製品零售業,22661681.0,2022-04-01
2022年4月,2022,4月,4,文教育樂用品零售業,6688988.0,2022-04-01
2022年4月,2022,4月,4,燃料及相關產品零售業,23076735.0,2022-04-01
2022年4月,2022,4月,4,資通訊及家電設備零售業,24723455.0,2022-04-01
2022年4月,2022,4月,4,汽機車及其零配件、用品零售業,64157514.0,2022-04-01
2022年4月,2022,4月,4,電子購物及郵購業,33986972.0,2022-04-01
2022年4月,2022,4月,4,餐飲業,59796647.0,2022-04-01
2022年5月,2022,5月,5,百貨公司業,22865553.0,2022-05-01
2022年5月,2022,5月,5,超級市場業,21644158.0,2022-05-01
2022年5月,2022,5月,5,便利商店業,30163986.0,2022-05-01
2022年5月,2022,5月,5,零售式量販業,19181859.0,2022-05-01
2022年5月,2022,5月,5,其他綜合商品零售業,8830462.0,2022-05-01
2022年5月,2022,5月,5,食品、飲料及菸草製品零售業,21481546.0,2022-05-01
2022年5月,2022,5月,5,文教育樂用品零售業,5777442.0,2022-05-01
2022年5月,2022,5月,5,燃料及相關產品零售業,21425387.0,2022-05-01
2022年5月,2022,5月,5,資通訊及家電設備零售業,25222415.0,2022-05-01
2022年5月,2022,5月,5,汽機車及其零配件、用品零售業,56716312.0,2022-05-01
2022年5月,2022,5月,5,電子購物及郵購業,36561212.0,2022-05-01
2022年5月,2022,5月,5,餐飲業,55473842.0,2022-05-01
2022年6月,2022,6月,6,百貨公司業,24487920.0,2022-06-01
2022年6月,2022,6月,6,超級市場業,20159588.0,2022-06-01
2022年6月,2022,6月,6,便利商店業,30776906.0,2022-06-01
2022年6月,2022,6月,6,零售式量販業,19342405.0,2022-06-01
2022年6月,2022,6月,6,其他綜合商品零售業,9136342.0,2022-06-01
2022年6月,2022,6月,6,食品、飲料及菸草製品零售業,20776972.0,2022-06-01
2022年6月,2022,6月,6,文教育樂用品零售業,6447886.0,2022-06-01
2022年6月,2022,6月,6,燃料及相關產品零售業,22312298.0,2022-06-01
2022年6月,2022,6月,6,資通訊及家電設備零售業,23729009.0,2022-06-01
2022年6月,2022,6月,6,汽機車及其零配件、用品零售業,56224917.0,2022-06-01
2022年6月,2022,6月,6,電子購物及郵購業,37256253.0,2022-06-01
2022年6月,2022,6月,6,餐飲業,59684695.0,2022-06-01
2022年7月,2022,7月,7,百貨公司業,31577647.0,2022-07-01
2022年7月,2022,7月,7,超級市場業,20930580.0,2022-07-01
2022年7月,2022,7月,7,便利商店業,33420947.0,2022-07-01
2022年7月,2022,7月,7,零售式量販業,21289539.0,2022-07-01
2022年7月,2022,7月,7,其他綜合商品零售業,10037937.0,2022-07-01
2022年7月,2022,7月,7,食品、飲料及菸草製品零售業,22667444.0,2022-07-01
2022年7月,2022,7月,7,文教育樂用品零售業,7448014.0,2022-07-01
2022年7月,2022,7月,7,燃料及相關產品零售業,24674333.0,2022-07-01
2022年7月,2022,7月,7,資通訊及家電設備零售業,24660266.0,2022-07-01
2022年7月,2022,7月,7,汽機車及其零配件、用品零售業,65647987.0,2022-07-01
2022年7月,2022,7月,7,電子購物及郵購業,33969789.0,2022-07-01
2022年7月,2022,7月,7,餐飲業,72659185.0,2022-07-01
2022年8月,2022,8月,8,百貨公司業,30680281.0,2022-08-01
2022年8月,2022,8月,8,超級市場業,22254728.0,2022-08-01
2022年8月,2022,8月,8,便利商店業,33016691.0,2022-08-01
2022年8月,2022,8月,8,零售式量販業,21467091.0,2022-08-01
2022年8月,2022,8月,8,其他綜合商品零售業,10840518.0,2022-08-01
2022年8月,2022,8月,8,食品、飲料及菸草製品零售業,25939580.0,2022-08-01
2022年8月,2022,8月,8,文教育樂用品零售業,7258425.0,2022-08-01
2022年8月,2022,8月,8,燃料及相關產品零售業,24350656.0,2022-08-01
2022年8月,2022,8月,8,資通訊及家電設備零售業,23548586.0,2022-08-01
2022年8月,2022,8月,8,汽機車及其零配件、用品零售業,62589851.0,2022-08-01
2022年8月,2022,8月,8,電子購物及郵購業,34920139.0,2022-08-01
2022年8月,2022,8月,8,餐飲業,75484410.0,2022-08-01
2022年9月,2022,9月,9,百貨公司業,32266355.0,2022-09-01
2022年9月,2022,9月,9,超級市場業,19589708.0,2022-09-01
2022年9月,2022,9月,9,便利商店業,31320047.0,2022-09-01
2022年9月,2022,9月,9,零售式量販業,20345186.0,2022-09-01
2022年9月,2022,9月,9,其他綜合商品零售業,10278043.0,2022-09-01
2022年9月,2022,9月,9,食品、飲料及菸草製品零售業,23069569.0,2022-09-01
2022年9月,2022,9月,9,文教育樂用品零售業,6585750.0,2022-09-01
2022年9月,2022,9月,9,燃料及相關產品零售業,22832690.0,2022-09-01
2022年9月,2022,9月,9,資通訊及家電設備零售業,24351785.0,2022-09-01
2022年9月,2022,9月,9,汽機車及其零配件、用品零售業,65146911.0,2022-09-01
2022年9月,2022,9月,9,電子購物及郵購業,33853002.0,2022-09-01
2022年9月,2022,9月,9,餐飲業,69450875.0,2022-09-01
2022年10月,2022,10月,10,百貨公司業,47480415.0,2022-10-01
2022年10月,2022,10月,10,超級市場業,20534959.0,2022-10-01
2022年10月,2022,10月,10,便利商店業,31770915.0,2022-10-01
2022年10月,2022,10月,10,零售式量販業,19863888.0,2022-10-01
2022年10月,2022,10月,10,其他綜合商品零售業,10730768.0,2022-10-01
2022年10月,2022,10月,10,食品、飲料及菸草製品零售業,24158460.0,2022-10-01
2022年10月,2022,10月,10,文教育樂用品零售業,6761671.0,2022-10-01
2022年10月,2022,10月,10,燃料及相關產品零售業,23194828.0,2022-10-01
2022年10月,2022,10月,10,資通訊及家電設備零售業,26385978.0,2022-10-01
2022年10月,2022,10月,10,汽機車及其零配件、用品零售業,64140622.0,2022-10-01
2022年10月,2022,10月,10,電子購物及郵購業,35602800.0,2022-10-01
2022年10月,2022,10月,10,餐飲業,73990828.0,2022-10-01
2022年11月,2022,11月,11,百貨公司業,42584365.0,2022-11-01
2022年11月,2022,11月,11,超級市場業,18867498.0,2022-11-01
2022年11月,2022,11月,11,便利商店業,32083425.0,2022-11-01
2022年11月,2022,11月,11,零售式量販業,19325514.0,2022-11-01
2022年11月,2022,11月,11,其他綜合商品零售業,10417109.0,2022-11-01
2022年11月,2022,11月,11,食品、飲料及菸草製品零售業,23960940.0,2022-11-01
2022年11月,2022,11月,11,文教育樂用品零售業,7012351.0,2022-11-01
2022年11月,2022,11月,11,燃料及相關產品零售業,22672414.0,2022-11-01
2022年11月,2022,11月,11,資通訊及家電設備零售業,24055861.0,2022-11-01
2022年11月,2022,11月,11,汽機車及其零配件、用品零售業,66246581.0,2022-11-01
2022年11月,2022,11月,11,電子購物及郵購業,52608660.0,2022-11-01
2022年11月,2022,11月,11,餐飲業,72556981.0,2022-11-01
2022年12月,2022,12月,12,百貨公司業,41429121.0,2022-12-01
2022年12月,2022,12月,12,超級市場業,20492234.0,2022-12-01
2022年12月,2022,12月,12,便利商店業,31743791.0,2022-12-01
2022年12月,2022,12月,12,零售式量販業,21872652.0,2022-12-01
2022年12月,2022,12月,12,其他綜合商品零售業,11805635.0,2022-12-01
2022年12月,2022,12月,12,食品、飲料及菸草製品零售業,27209176.0,2022-12-01
2022年12月,2022,12月,12,文教育樂用品零售業,7672536.0,2022-12-01
2022年12月,2022,12月,12,燃料及相關產品零售業,24073493.0,2022-12-01
2022年12月,2022,12月,12,資通訊及家電設備零售業,24089953.0,2022-12-01
2022年12月,2022,12月,12,汽機車及其零配件、用品零售業,71281428.0,2022-12-01
2022年12月,2022,12月,12,電子購物及郵購業,43113315.0,2022-12-01
2022年12月,2022,12月,12,餐飲業,84372689.0,2022-12-01
2023年1月,2023,1月,1,百貨公司業,44087068.0,2023-01-01
2023年1月,2023,1月,1,超級市場業,22149652.0,2023-01-01
2023年1月,2023,1月,1,便利商店業,33630712.0,2023-01-01
2023年1月,2023,1月,1,零售式量販業,26647637.0,2023-01-01
2023年1月,2023,1月,1,其他綜合商品零售業,12425445.0,2023-01-01
2023年1月,2023,1月,1,食品、飲料及菸草製品零售業,27998098.0,2023-01-01
2023年1月,2023,1月,1,文教育樂用品零售業,7929522.0,2023-01-01
2023年1月,2023,1月,1,燃料及相關產品零售業,23029858.0,2023-01-01
2023年1月,2023,1月,1,資通訊及家電設備零售業,24286304.0,2023-01-01
2023年1月,2023,1月,1,汽機車及其零配件、用品零售業,63150390.0,2023-01-01
2023年1月,2023,1月,1,電子購物及郵購業,36315670.0,2023-01-01
2023年1月,2023,1月,1,餐飲業,97517241.0,2023-01-01
2023年2月,2023,2月,2,百貨公司業,30111794.0,2023-02-01
2023年2月,2023,2月,2,超級市場業,17200949.0,2023-02-01
2023年2月,2023,2月,2,便利商店業,28798001.0,2023-02-01
2023年2月,2023,2月,2,零售式量販業,16829360.0,2023-02-01
2023年2月,2023,2月,2,其他綜合商品零售業,10452544.0,2023-02-01
2023年2月,2023,2月,2,食品、飲料及菸草製品零售業,21145975.0,2023-02-01
2023年2月,2023,2月,2,文教育樂用品零售業,6668477.0,2023-02-01
2023年2月,2023,2月,2,燃料及相關產品零售業,20892620.0,2023-02-01
2023年2月,2023,2月,2,資通訊及家電設備零售業,20296556.0,2023-02-01
2023年2月,2023,2月,2,汽機車及其零配件、用品零售業,62587140.0,2023-02-01
2023年2月,2023,2月,2,電子購物及郵購業,33762003.0,2023-02-01
2023年2月,2023,2月,2,餐飲業,75566018.0,2023-02-01
2023年3月,2023,3月,3,百貨公司業,29894370.0,2023-03-01
2023年3月,2023,3月,3,超級市場業,18631699.0,2023-03-01
2023年3月,2023,3月,3,便利商店業,32500751.0,2023-03-01
2023年3月,2023,3月,3,零售式量販業,18242236.0,2023-03-01
2023年3月,2023,3月,3,其他綜合商品零售業,11855963.0,2023-03-01
2023年3月,2023,3月,3,食品、飲料及菸草製品零售業,23529294.0,2023-03-01
2023年3月,2023,3月,3,文教育樂用品零售業,6491308.0,2023-03-01
