年月,年,月,行業代號,行業名稱,家數
2020-02-21,2021,02,563,　　飲料業,25711.0
2020-03-21,2021,03,561,　　餐食業,126470.0
2020-03-21,2021,03,562,　　外燴及團膳承包業,2280.0
2020-03-21,2021,03,563,　　飲料業,25757.0
2020-04-21,2021,04,561,　　餐食業,126881.0
2020-04-21,2021,04,562,　　外燴及團膳承包業,2276.0
2020-04-21,2021,04,563,　　飲料業,25951.0
2020-05-21,2021,05,561,　　餐食業,127554.0
2020-05-21,2021,05,562,　　外燴及團膳承包業,2283.0
2020-05-21,2021,05,563,　　飲料業,26249.0
2020-06-21,2021,06,561,　　餐食業,127760.0
2020-06-21,2021,06,562,　　外燴及團膳承包業,2281.0
2020-06-21,2021,06,563,　　飲料業,26478.0
2020-07-21,2021,07,561,　　餐食業,127868.0
2020-07-21,2021,07,562,　　外燴及團膳承包業,2275.0
2020-07-21,2021,07,563,　　飲料業,26625.0
2020-08-21,2021,08,561,　　餐食業,127918.0
2020-08-21,2021,08,562,　　外燴及團膳承包業,2274.0
2020-08-21,2021,08,563,　　飲料業,26747.0
2020-09-21,2021,09,561,　　餐食業,128163.0
2020-09-21,2021,09,562,　　外燴及團膳承包業,2261.0
2020-09-21,2021,09,563,　　飲料業,26881.0
2020-10-21,2021,10,561,　　餐食業,128537.0
2020-10-21,2021,10,562,　　外燴及團膳承包業,2254.0
2020-10-21,2021,10,563,　　飲料業,26971.0
2020-11-21,2021,11,561,　　餐食業,129224.0
2020-11-21,2021,11,562,　　外燴及團膳承包業,2252.0
2020-11-21,2021,11,563,　　飲料業,27135.0
2020-12-21,2021,12,561,　　餐食業,129789.0
2020-12-21,2021,12,562,　　外燴及團膳承包業,2257.0
2020-12-21,2021,12,563,　　飲料業,27238.0
2020-01-22,2022,01,561,　　餐食業,130469.0
2020-01-22,2022,01,562,　　外燴及團膳承包業,2255.0
2020-01-22,2022,01,563,　　飲料業,27414.0
2020-02-22,2022,02,561,　　餐食業,130451.0
2020-02-22,2022,02,562,　　外燴及團膳承包業,2250.0
2020-02-22,2022,02,563,　　飲料業,27366.0
2020-03-22,2022,03,561,　　餐食業,130473.0
2020-03-22,2022,03,562,　　外燴及團膳承包業,2241.0
2020-03-22,2022,03,563,　　飲料業,27388.0
2020-04-22,2022,04,561,　　餐食業,130842.0
2020-04-22,2022,04,562,　　外燴及團膳承包業,2238.0
2020-04-22,2022,04,563,　　飲料業,27539.0
2020-05-22,2022,05,561,　　餐食業,131049.0
2020-05-22,2022,05,562,　　外燴及團膳承包業,2237.0
2020-05-22,2022,05,563,　　飲料業,27749.0
2020-06-22,2022,06,561,　　餐食業,131008.0
2020-06-22,2022,06,562,　　外燴及團膳承包業,2231.0
2020-06-22,2022,06,563,　　飲料業,27809.0
2020-07-22,2022,07,561,　　餐食業,131165.0
2020-07-22,2022,07,562,　　外燴及團膳承包業,2215.0
2020-07-22,2022,07,563,　　飲料業,28001.0
2020-08-22,2022,08,561,　　餐食業,131309.0
