年月,年,月,家用產品,銷售額_千元,年月KEY
2025-01-01,2025,1,其他家用電器及零組件,1038912.0,202501
2025-02-01,2025,2,家用電扇,370292.0,202502
2025-02-01,2025,2,電冰箱,275346.0,202502
2025-02-01,2025,2,排油煙機,249665.0,202502
2025-02-01,2025,2,熱水器,311632.0,202502
2025-02-01,2025,2,瓦斯爐,228572.0,202502
2025-02-01,2025,2,其他家用電器及零組件,984224.0,202502
2025-03-01,2025,3,家用電扇,565172.0,202503
2025-03-01,2025,3,電冰箱,292496.0,202503
2025-03-01,2025,3,排油煙機,282976.0,202503
2025-03-01,2025,3,熱水器,341252.0,202503
2025-03-01,2025,3,瓦斯爐,239776.0,202503
2025-03-01,2025,3,其他家用電器及零組件,1059808.0,202503
2025-04-01,2025,4,家用電扇,560291.0,202504
2025-04-01,2025,4,電冰箱,430507.0,202504
2025-04-01,2025,4,排油煙機,253361.0,202504
2025-04-01,2025,4,熱水器,317059.0,202504
2025-04-01,2025,4,瓦斯爐,226564.0,202504
2025-04-01,2025,4,其他家用電器及零組件,1051306.0,202504
2025-05-01,2025,5,家用電扇,488398.0,202505
2025-05-01,2025,5,電冰箱,433200.0,202505
2025-05-01,2025,5,排油煙機,295835.0,202505
2025-05-01,2025,5,熱水器,320989.0,202505
2025-05-01,2025,5,瓦斯爐,222174.0,202505
2025-05-01,2025,5,其他家用電器及零組件,1044610.0,202505
2025-06-01,2025,6,家用電扇,445699.0,202506
2025-06-01,2025,6,電冰箱,549803.0,202506
2025-06-01,2025,6,排油煙機,286213.0,202506
2025-06-01,2025,6,熱水器,273607.0,202506
2025-06-01,2025,6,瓦斯爐,234046.0,202506
2025-06-01,2025,6,其他家用電器及零組件,1046019.0,202506
2025-07-01,2025,7,家用電扇,395075.0,202507
2025-07-01,2025,7,電冰箱,547788.0,202507
2025-07-01,2025,7,排油煙機,219287.0,202507
2025-07-01,2025,7,熱水器,319592.0,202507
2025-07-01,2025,7,瓦斯爐,212241.0,202507
2025-07-01,2025,7,其他家用電器及零組件,953272.0,202507
2025-08-01,2025,8,家用電扇,387090.0,202508
2025-08-01,2025,8,電冰箱,452565.0,202508
2025-08-01,2025,8,排油煙機,252070.0,202508
2025-08-01,2025,8,熱水器,360298.0,202508
2025-08-01,2025,8,瓦斯爐,229048.0,202508
2025-08-01,2025,8,其他家用電器及零組件,961424.0,202508
2025-09-01,2025,9,家用電扇,315735.0,202509
2025-09-01,2025,9,電冰箱,353921.0,202509
2025-09-01,2025,9,排油煙機,253847.0,202509
2025-09-01,2025,9,熱水器,416816.0,202509
2025-09-01,2025,9,瓦斯爐,199197.0,202509
2025-09-01,2025,9,其他家用電器及零組件,941975.0,202509
2025-10-01,2025,10,家用電扇,319594.0,202510
2025-10-01,2025,10,電冰箱,537037.0,202510
2025-10-01,2025,10,排油煙機,270483.0,202510
2025-10-01,2025,10,熱水器,296408.0,202510
2025-10-01,2025,10,瓦斯爐,233113.0,202510
2025-10-01,2025,10,其他家用電器及零組件,858522.0,202510
2025-11-01,2025,11,家用電扇,296834.0,202511
2025-11-01,2025,11,電冰箱,482286.0,202511
2025-11-01,2025,11,排油煙機,244370.0,202511
2025-11-01,2025,11,熱水器,331791.0,202511
2025-11-01,2025,11,瓦斯爐,217026.0,202511
2025-11-01,2025,11,其他家用電器及零組件,984579.0,202511
2025-12-01,2025,12,家用電扇,384038.0,202512
2025-12-01,2025,12,電冰箱,560432.0,202512
2025-12-01,2025,12,排油煙機,294248.0,202512
2025-12-01,2025,12,熱水器,373834.0,202512
2025-12-01,2025,12,瓦斯爐,269538.0,202512
2025-12-01,2025,12,其他家用電器及零組件,1079913.0,202512
2026-01-01,2026,1,家用電扇,324584.0,202601
2026-01-01,2026,1,電冰箱,496269.0,202601
2026-01-01,2026,1,排油煙機,326589.0,202601
2026-01-01,2026,1,熱水器,441542.0,202601
2026-01-01,2026,1,瓦斯爐,302104.0,202601
2026-01-01,2026,1,其他家用電器及零組件,1071887.0,202601
