年月,年,月,家用產品,銷售額_千元,年月KEY
2019-08-01,2019,8,熱水器,274836.0,201908
2019-08-01,2019,8,瓦斯爐,225706.0,201908
2019-08-01,2019,8,其他家用電器及零組件,1201381.0,201908
2019-09-01,2019,9,家用電扇,349057.0,201909
2019-09-01,2019,9,電冰箱,394149.0,201909
2019-09-01,2019,9,排油煙機,202225.0,201909
2019-09-01,2019,9,熱水器,272232.0,201909
2019-09-01,2019,9,瓦斯爐,181832.0,201909
2019-09-01,2019,9,其他家用電器及零組件,1054166.0,201909
2019-10-01,2019,10,家用電扇,315513.0,201910
2019-10-01,2019,10,電冰箱,460532.0,201910
2019-10-01,2019,10,排油煙機,213806.0,201910
2019-10-01,2019,10,熱水器,342435.0,201910
2019-10-01,2019,10,瓦斯爐,207078.0,201910
2019-10-01,2019,10,其他家用電器及零組件,1150325.0,201910
2019-11-01,2019,11,家用電扇,311533.0,201911
2019-11-01,2019,11,電冰箱,486721.0,201911
2019-11-01,2019,11,排油煙機,209584.0,201911
2019-11-01,2019,11,熱水器,375093.0,201911
2019-11-01,2019,11,瓦斯爐,219895.0,201911
2019-11-01,2019,11,其他家用電器及零組件,1120799.0,201911
2019-12-01,2019,12,家用電扇,312830.0,201912
2019-12-01,2019,12,電冰箱,493032.0,201912
2019-12-01,2019,12,排油煙機,263271.0,201912
2019-12-01,2019,12,熱水器,461348.0,201912
2019-12-01,2019,12,瓦斯爐,249838.0,201912
2019-12-01,2019,12,其他家用電器及零組件,1218209.0,201912
2020-01-01,2020,1,家用電扇,286485.0,202001
2020-01-01,2020,1,電冰箱,545017.0,202001
2020-01-01,2020,1,排油煙機,261808.0,202001
2020-01-01,2020,1,熱水器,366923.0,202001
2020-01-01,2020,1,瓦斯爐,226311.0,202001
2020-01-01,2020,1,其他家用電器及零組件,1129108.0,202001
2020-02-01,2020,2,家用電扇,313337.0,202002
2020-02-01,2020,2,電冰箱,254778.0,202002
2020-02-01,2020,2,排油煙機,178453.0,202002
2020-02-01,2020,2,熱水器,382250.0,202002
2020-02-01,2020,2,瓦斯爐,192945.0,202002
2020-02-01,2020,2,其他家用電器及零組件,1036552.0,202002
2020-03-01,2020,3,家用電扇,402612.0,202003
2020-03-01,2020,3,電冰箱,280163.0,202003
2020-03-01,2020,3,排油煙機,207554.0,202003
2020-03-01,2020,3,熱水器,389545.0,202003
2020-03-01,2020,3,瓦斯爐,206192.0,202003
