年,月,年月,縣市,營業行車次數_班次,年月KEY
2016,6,2016-06-01,臺北市,1038239.0,201606
2016,6,2016-06-01,臺南市,78977.0,201606
2016,6,2016-06-01,臺東縣,2430.0,201606
2016,6,2016-06-01,花蓮縣,1498.0,201606
2016,6,2016-06-01,苗栗縣,1200.0,201606
2016,6,2016-06-01,連江縣,2386.0,201606
2016,6,2016-06-01,金門縣,11946.0,201606
2016,6,2016-06-01,雲林縣,2942.0,201606
2016,6,2016-06-01,高雄市,246202.0,201606
2016,7,2016-07-01,南投縣,,201607
2016,7,2016-07-01,嘉義市,1560.0,201607
2016,7,2016-07-01,嘉義縣,1686.0,201607
2016,7,2016-07-01,基隆市,61703.0,201607
2016,7,2016-07-01,宜蘭縣,13022.0,201607
2016,7,2016-07-01,屏東縣,6356.0,201607
2016,7,2016-07-01,彰化縣,3428.0,201607
2016,7,2016-07-01,新北市,670119.0,201607
2016,7,2016-07-01,新竹市,18846.0,201607
2016,7,2016-07-01,新竹縣,7374.0,201607
2016,7,2016-07-01,桃園市,113245.0,201607
2016,7,2016-07-01,澎湖縣,5784.0,201607
2016,7,2016-07-01,臺中市,268105.0,201607
2016,7,2016-07-01,臺北市,1057541.0,201607
2016,7,2016-07-01,臺南市,79892.0,201607
2016,7,2016-07-01,臺東縣,2511.0,201607
2016,7,2016-07-01,花蓮縣,1305.0,201607
2016,7,2016-07-01,苗栗縣,1200.0,201607
2016,7,2016-07-01,連江縣,2406.0,201607
2016,7,2016-07-01,金門縣,12334.0,201607
2016,7,2016-07-01,雲林縣,2919.0,201607
2016,7,2016-07-01,高雄市,240982.0,201607
2016,8,2016-08-01,南投縣,,201608
2016,8,2016-08-01,嘉義市,1612.0,201608
2016,8,2016-08-01,嘉義縣,1845.0,201608
2016,8,2016-08-01,基隆市,64357.0,201608
2016,8,2016-08-01,宜蘭縣,12520.0,201608
2016,8,2016-08-01,屏東縣,6595.0,201608
2016,8,2016-08-01,彰化縣,3492.0,201608
2016,8,2016-08-01,新北市,691311.0,201608
2016,8,2016-08-01,新竹市,20052.0,201608
2016,8,2016-08-01,新竹縣,7596.0,201608
2016,8,2016-08-01,桃園市,114102.0,201608
2016,8,2016-08-01,澎湖縣,6264.0,201608
2016,8,2016-08-01,臺中市,268973.0,201608
2016,8,2016-08-01,臺北市,1089205.0,201608
2016,8,2016-08-01,臺南市,81633.0,201608
2016,8,2016-08-01,臺東縣,2511.0,201608
2016,8,2016-08-01,花蓮縣,1240.0,201608
2016,8,2016-08-01,苗栗縣,1240.0,201608
2016,8,2016-08-01,連江縣,2516.0,201608
2016,8,2016-08-01,金門縣,12348.0,201608
2016,8,2016-08-01,雲林縣,3036.0,201608
2016,8,2016-08-01,高雄市,253675.0,201608
2016,9,2016-09-01,南投縣,76.0,201609
2016,9,2016-09-01,嘉義市,1474.0,201609
2016,9,2016-09-01,嘉義縣,1716.0,201609
2016,9,2016-09-01,基隆市,60154.0,201609
2016,9,2016-09-01,宜蘭縣,10680.0,201609
2016,9,2016-09-01,屏東縣,6276.0,201609
2016,9,2016-09-01,彰化縣,3175.0,201609
2016,9,2016-09-01,新北市,634774.0,201609
2016,9,2016-09-01,新竹市,19040.0,201609
2016,9,2016-09-01,新竹縣,6758.0,201609
2016,9,2016-09-01,桃園市,109251.0,201609
