年,月,年月,居住地,年齡層,性別,旅客數,年月KEY
2020,1,2020-01-01,歐洲地區(Europe),1-12歲,男,644,202001
2020,1,2020-01-01,其他未列明(Unknow),1-12歲,男,323,202001
2020,2,2020-02-01,亞洲地區(Asia),1-12歲,男,22218,202002
2020,2,2020-02-01,非洲地區(Africa),1-12歲,男,0,202002
2020,2,2020-02-01,美洲地區(Americas),1-12歲,男,819,202002
2020,2,2020-02-01,大洋洲地區(Oceania),1-12歲,男,746,202002
2020,2,2020-02-01,歐洲地區(Europe),1-12歲,男,251,202002
2020,2,2020-02-01,其他未列明(Unknow),1-12歲,男,119,202002
2020,3,2020-03-01,亞洲地區(Asia),1-12歲,男,2578,202003
2020,3,2020-03-01,非洲地區(Africa),1-12歲,男,0,202003
2020,3,2020-03-01,美洲地區(Americas),1-12歲,男,158,202003
2020,3,2020-03-01,大洋洲地區(Oceania),1-12歲,男,86,202003
2020,3,2020-03-01,歐洲地區(Europe),1-12歲,男,31,202003
2020,3,2020-03-01,其他未列明(Unknow),1-12歲,男,0,202003
2020,4,2020-04-01,亞洲地區(Asia),1-12歲,男,569,202004
2020,4,2020-04-01,非洲地區(Africa),1-12歲,男,0,202004
2020,4,2020-04-01,美洲地區(Americas),1-12歲,男,16,202004
2020,4,2020-04-01,大洋洲地區(Oceania),1-12歲,男,4,202004
2020,4,2020-04-01,歐洲地區(Europe),1-12歲,男,1,202004
2020,4,2020-04-01,其他未列明(Unknow),1-12歲,男,0,202004
2020,5,2020-05-01,亞洲地區(Asia),1-12歲,男,877,202005
2020,5,2020-05-01,非洲地區(Africa),1-12歲,男,0,202005
2020,5,2020-05-01,美洲地區(Americas),1-12歲,男,30,202005
2020,5,2020-05-01,大洋洲地區(Oceania),1-12歲,男,5,202005
2020,5,2020-05-01,歐洲地區(Europe),1-12歲,男,17,202005
2020,5,2020-05-01,其他未列明(Unknow),1-12歲,男,0,202005
2020,6,2020-06-01,亞洲地區(Asia),1-12歲,男,571,202006
2020,6,2020-06-01,非洲地區(Africa),1-12歲,男,0,202006
2020,6,2020-06-01,美洲地區(Americas),1-12歲,男,64,202006
2020,6,2020-06-01,大洋洲地區(Oceania),1-12歲,男,22,202006
2020,6,2020-06-01,歐洲地區(Europe),1-12歲,男,25,202006
2020,6,2020-06-01,其他未列明(Unknow),1-12歲,男,0,202006
2020,7,2020-07-01,亞洲地區(Asia),1-12歲,男,1122,202007
2020,7,2020-07-01,非洲地區(Africa),1-12歲,男,0,202007
2020,7,2020-07-01,美洲地區(Americas),1-12歲,男,130,202007
2020,7,2020-07-01,大洋洲地區(Oceania),1-12歲,男,13,202007
2020,7,2020-07-01,歐洲地區(Europe),1-12歲,男,61,202007
2020,7,2020-07-01,其他未列明(Unknow),1-12歲,男,0,202007
2020,8,2020-08-01,亞洲地區(Asia),1-12歲,男,1297,202008
2020,8,2020-08-01,非洲地區(Africa),1-12歲,男,0,202008
2020,8,2020-08-01,美洲地區(Americas),1-12歲,男,237,202008
2020,8,2020-08-01,大洋洲地區(Oceania),1-12歲,男,10,202008
2020,8,2020-08-01,歐洲地區(Europe),1-12歲,男,112,202008
2020,8,2020-08-01,其他未列明(Unknow),1-12歲,男,0,202008
2020,9,2020-09-01,亞洲地區(Asia),1-12歲,男,583,202009
2020,9,2020-09-01,非洲地區(Africa),1-12歲,男,0,202009
2020,9,2020-09-01,美洲地區(Americas),1-12歲,男,136,202009
2020,9,2020-09-01,大洋洲地區(Oceania),1-12歲,男,6,202009
2020,9,2020-09-01,歐洲地區(Europe),1-12歲,男,47,202009
