年,季,日期標準,縣市,鄉鎮市區,住宅拍賣移轉筆數,年月,日期格式
2018,1,2018-01-01,高雄市,左營區,11,201801,2018-01-01
2018,1,2018-01-01,高雄市,楠梓區,8,201801,2018-01-01
2018,1,2018-01-01,高雄市,三民區,11,201801,2018-01-01
2018,1,2018-01-01,高雄市,前金區,4,201801,2018-01-01
2018,1,2018-01-01,高雄市,苓雅區,2,201801,2018-01-01
2018,1,2018-01-01,高雄市,前鎮區,7,201801,2018-01-01
2018,1,2018-01-01,高雄市,小港區,4,201801,2018-01-01
2018,1,2018-01-01,高雄市,鳳山區,12,201801,2018-01-01
2018,1,2018-01-01,高雄市,林園區,10,201801,2018-01-01
2018,1,2018-01-01,高雄市,大寮區,5,201801,2018-01-01
2018,1,2018-01-01,高雄市,大社區,1,201801,2018-01-01
2018,1,2018-01-01,高雄市,仁武區,1,201801,2018-01-01
2018,1,2018-01-01,高雄市,鳥松區,5,201801,2018-01-01
2018,1,2018-01-01,高雄市,岡山區,7,201801,2018-01-01
2018,1,2018-01-01,高雄市,橋頭區,1,201801,2018-01-01
2018,1,2018-01-01,高雄市,燕巢區,2,201801,2018-01-01
2018,1,2018-01-01,高雄市,阿蓮區,1,201801,2018-01-01
2018,1,2018-01-01,高雄市,湖內區,2,201801,2018-01-01
2018,1,2018-01-01,高雄市,茄萣區,1,201801,2018-01-01
2018,1,2018-01-01,高雄市,梓官區,4,201801,2018-01-01
2018,1,2018-01-01,高雄市,旗山區,2,201801,2018-01-01
2018,1,2018-01-01,高雄市,美濃區,2,201801,2018-01-01
2018,1,2018-01-01,高雄市,杉林區,2,201801,2018-01-01
2018,1,2018-01-01,宜蘭縣,宜蘭市,1,201801,2018-01-01
2018,1,2018-01-01,宜蘭縣,羅東鎮,2,201801,2018-01-01
2018,1,2018-01-01,宜蘭縣,頭城鎮,2,201801,2018-01-01
2018,1,2018-01-01,宜蘭縣,礁溪鄉,3,201801,2018-01-01
2018,1,2018-01-01,宜蘭縣,壯圍鄉,1,201801,2018-01-01
2018,1,2018-01-01,宜蘭縣,冬山鄉,1,201801,2018-01-01
2018,1,2018-01-01,宜蘭縣,五結鄉,1,201801,2018-01-01
2018,1,2018-01-01,新竹縣,竹北市,3,201801,2018-01-01
2018,1,2018-01-01,新竹縣,新埔鎮,1,201801,2018-01-01
2018,1,2018-01-01,新竹縣,竹東鎮,8,201801,2018-01-01
2018,1,2018-01-01,新竹縣,湖口鄉,4,201801,2018-01-01
2018,1,2018-01-01,新竹縣,新豐鄉,5,201801,2018-01-01
2018,1,2018-01-01,苗栗縣,苗栗市,11,201801,2018-01-01
2018,1,2018-01-01,苗栗縣,通霄鎮,2,201801,2018-01-01
2018,1,2018-01-01,苗栗縣,竹南鎮,1,201801,2018-01-01
2018,1,2018-01-01,苗栗縣,頭份鎮,3,201801,2018-01-01
2018,1,2018-01-01,苗栗縣,卓蘭鎮,2,201801,2018-01-01
2018,1,2018-01-01,苗栗縣,公館鄉,1,201801,2018-01-01
2018,1,2018-01-01,苗栗縣,銅鑼鄉,1,201801,2018-01-01
2018,1,2018-01-01,苗栗縣,三義鄉,1,201801,2018-01-01
2018,1,2018-01-01,彰化縣,彰化市,6,201801,2018-01-01
2018,1,2018-01-01,彰化縣,鹿港鎮,1,201801,2018-01-01
2018,1,2018-01-01,彰化縣,和美鎮,1,201801,2018-01-01
2018,1,2018-01-01,彰化縣,北斗鎮,1,201801,2018-01-01
2018,1,2018-01-01,彰化縣,員林鎮,3,201801,2018-01-01
2018,1,2018-01-01,彰化縣,溪湖鎮,1,201801,2018-01-01
2018,1,2018-01-01,彰化縣,田中鎮,1,201801,2018-01-01
2018,1,2018-01-01,彰化縣,二林鎮,1,201801,2018-01-01
2018,1,2018-01-01,彰化縣,線西鄉,1,201801,2018-01-01
2018,1,2018-01-01,彰化縣,伸港鄉,1,201801,2018-01-01
2018,1,2018-01-01,彰化縣,花壇鄉,2,201801,2018-01-01
2018,1,2018-01-01,彰化縣,埔鹽鄉,2,201801,2018-01-01
2018,1,2018-01-01,彰化縣,社頭鄉,1,201801,2018-01-01
2018,1,2018-01-01,彰化縣,埤頭鄉,2,201801,2018-01-01
2018,1,2018-01-01,彰化縣,芳苑鄉,1,201801,2018-01-01
2018,1,2018-01-01,彰化縣,大城鄉,3,201801,2018-01-01
2018,1,2018-01-01,彰化縣,溪州鄉,2,201801,2018-01-01
2018,1,2018-01-01,南投縣,南投市,4,201801,2018-01-01
2018,1,2018-01-01,南投縣,埔里鎮,2,201801,2018-01-01
2018,1,2018-01-01,南投縣,草屯鎮,1,201801,2018-01-01
2018,1,2018-01-01,南投縣,名間鄉,1,201801,2018-01-01
2018,1,2018-01-01,南投縣,鹿谷鄉,1,201801,2018-01-01
2018,1,2018-01-01,南投縣,魚池鄉,1,201801,2018-01-01
