年,月,餐飲細分行業,營業額_千元,年月,日期格式
2021,03,餐館,49930296.0,202103,2021-03-01
2021,03,外燴及團膳承包業,2867018.0,202103,2021-03-01
2021,03,飲料店,9836644.0,202103,2021-03-01
2021,04,餐館,50434433.0,202104,2021-04-01
2021,04,外燴及團膳承包業,3288812.0,202104,2021-04-01
2021,04,飲料店,9504166.0,202104,2021-04-01
2021,05,餐館,38544858.0,202105,2021-05-01
2021,05,外燴及團膳承包業,2675471.0,202105,2021-05-01
2021,05,飲料店,6997098.0,202105,2021-05-01
2021,06,餐館,28942257.0,202106,2021-06-01
2021,06,外燴及團膳承包業,2111862.0,202106,2021-06-01
2021,06,飲料店,5863405.0,202106,2021-06-01
2021,07,餐館,32460984.0,202107,2021-07-01
2021,07,外燴及團膳承包業,2027254.0,202107,2021-07-01
2021,07,飲料店,6378272.0,202107,2021-07-01
2021,08,餐館,42030292.0,202108,2021-08-01
2021,08,外燴及團膳承包業,2043878.0,202108,2021-08-01
2021,08,飲料店,8424011.0,202108,2021-08-01
2021,09,餐館,43030248.0,202109,2021-09-01
2021,09,外燴及團膳承包業,2942664.0,202109,2021-09-01
2021,09,飲料店,9624379.0,202109,2021-09-01
2021,10,餐館,52142089.0,202110,2021-10-01
2021,10,外燴及團膳承包業,3246438.0,202110,2021-10-01
2021,10,飲料店,9422267.0,202110,2021-10-01
2021,11,餐館,51212403.0,202111,2021-11-01
2021,11,外燴及團膳承包業,3509794.0,202111,2021-11-01
2021,11,飲料店,9790911.0,202111,2021-11-01
2021,12,餐館,58896737.0,202112,2021-12-01
2021,12,外燴及團膳承包業,3708977.0,202112,2021-12-01
2021,12,飲料店,11333467.0,202112,2021-12-01
2022,01,餐館,59236816.0,202201,2022-01-01
2022,01,外燴及團膳承包業,3238024.0,202201,2022-01-01
2022,01,飲料店,10400616.0,202201,2022-01-01
2022,02,餐館,57281245.0,202202,2022-02-01
2022,02,外燴及團膳承包業,2276259.0,202202,2022-02-01
2022,02,飲料店,9175640.0,202202,2022-02-01
2022,03,餐館,54067401.0,202203,2022-03-01
2022,03,外燴及團膳承包業,3119998.0,202203,2022-03-01
2022,03,飲料店,9936024.0,202203,2022-03-01
