年,路線方向,路段,交流道,縣市,進出口,週類別,交通輛數,年月KEY,日期格式
2018,國1北向,非主線資料,中壢,桃園市,進口,週2-4,15692.0,201801,2018-01-01
2018,國1南向,非主線資料,中壢,桃園市,出口,週六,14650.0,201801,2018-01-01
2018,國1南向,非主線資料,中壢,桃園市,"進口1-民族路,中環",週六,12106.0,201801,2018-01-01
2018,國1南向,非主線資料,中壢,桃園市,進口2-新屋,週六,4670.0,201801,2018-01-01
2018,國1北向,非主線資料,中壢,桃園市,出口,週六,17302.0,201801,2018-01-01
2018,國1北向,非主線資料,中壢,桃園市,進口,週六,14562.0,201801,2018-01-01
2018,國1南向,非主線資料,中壢,桃園市,出口,週日,12836.0,201801,2018-01-01
2018,國1南向,非主線資料,中壢,桃園市,"進口1-民族路,中環",週日,11222.0,201801,2018-01-01
2018,國1南向,非主線資料,中壢,桃園市,進口2-新屋,週日,3726.0,201801,2018-01-01
2018,國1北向,非主線資料,中壢,桃園市,出口,週日,15912.0,201801,2018-01-01
2018,國1北向,非主線資料,中壢,桃園市,進口,週日,12667.0,201801,2018-01-01
2018,國1高架南向,非主線資料,中壢轉接道,桃園市,出口,週2-4,15264.0,201801,2018-01-01
2018,國1高架南向,非主線資料,中壢轉接道,桃園市,進口,週2-4,12450.0,201801,2018-01-01
2018,國1高架北向,非主線資料,中壢轉接道,桃園市,出口,週2-4,16214.0,201801,2018-01-01
2018,國1高架北向,非主線資料,中壢轉接道,桃園市,進口,週2-4,19884.0,201801,2018-01-01
2018,國1高架南向,非主線資料,中壢轉接道,桃園市,出口,週六,19726.0,201801,2018-01-01
2018,國1高架南向,非主線資料,中壢轉接道,桃園市,進口,週六,17193.0,201801,2018-01-01
2018,國1高架北向,非主線資料,中壢轉接道,桃園市,出口,週六,15987.0,201801,2018-01-01
2018,國1高架北向,非主線資料,中壢轉接道,桃園市,進口,週六,20367.0,201801,2018-01-01
2018,國1高架南向,非主線資料,中壢轉接道,桃園市,出口,週日,15262.0,201801,2018-01-01
2018,國1高架南向,非主線資料,中壢轉接道,桃園市,進口,週日,12448.0,201801,2018-01-01
2018,國1高架北向,非主線資料,中壢轉接道,桃園市,出口,週日,22158.0,201801,2018-01-01
2018,國1高架北向,非主線資料,中壢轉接道,桃園市,進口,週日,25390.0,201801,2018-01-01
2018,國3南向,非主線資料,中投,臺中市,出口,週2-4,9307.0,201801,2018-01-01
2018,國3南向,非主線資料,中投,臺中市,進口,週2-4,10105.0,201801,2018-01-01
2018,國3北向,非主線資料,中投,臺中市,出口,週2-4,12283.0,201801,2018-01-01
2018,國3北向,非主線資料,中投,臺中市,進口,週2-4,8985.0,201801,2018-01-01
2018,國3南向,非主線資料,中投,臺中市,出口,週六,8768.0,201801,2018-01-01
2018,國3南向,非主線資料,中投,臺中市,進口,週六,12180.0,201801,2018-01-01
2018,國3北向,非主線資料,中投,臺中市,出口,週六,13313.0,201801,2018-01-01
2018,國3北向,非主線資料,中投,臺中市,進口,週六,8393.0,201801,2018-01-01
2018,國3南向,非主線資料,中投,臺中市,出口,週日,7418.0,201801,2018-01-01
2018,國3南向,非主線資料,中投,臺中市,進口,週日,10536.0,201801,2018-01-01
2018,國3北向,非主線資料,中投,臺中市,出口,週日,13069.0,201801,2018-01-01
2018,國3北向,非主線資料,中投,臺中市,進口,週日,7959.0,201801,2018-01-01
2018,國3南向,非主線資料,中港系統,臺中市,出口,週2-4,14705.0,201801,2018-01-01
2018,國3南向,非主線資料,中港系統,臺中市,進口,週2-4,5430.0,201801,2018-01-01
2018,國3北向,非主線資料,中港系統,臺中市,出口,週2-4,6309.0,201801,2018-01-01
2018,國3北向,非主線資料,中港系統,臺中市,進口,週2-4,14428.0,201801,2018-01-01
2018,國4東向,非主線資料,中港系統,臺中市,出口1-國3南,週2-4,2311.0,201801,2018-01-01
2018,國4東向,非主線資料,中港系統,臺中市,出口2-國3北,週2-4,3815.0,201801,2018-01-01
2018,國4東向,非主線資料,中港系統,臺中市,進口,週2-4,10715.0,201801,2018-01-01
2018,國4西向,非主線資料,中港系統,臺中市,出口1-國3北,週2-4,10797.0,201801,2018-01-01
2018,國4西向,非主線資料,中港系統,臺中市,出口2-國3南,週2-4,4234.0,201801,2018-01-01
2018,國4西向,非主線資料,中港系統,臺中市,進口1-國3南,週2-4,4296.0,201801,2018-01-01
2018,國4西向,非主線資料,中港系統,臺中市,進口2-國3北,週2-4,1876.0,201801,2018-01-01
2018,國3南向,非主線資料,中港系統,臺中市,出口,週六,16295.0,201801,2018-01-01
2018,國3南向,非主線資料,中港系統,臺中市,進口,週六,5928.0,201801,2018-01-01
2018,國3北向,非主線資料,中港系統,臺中市,出口,週六,6509.0,201801,2018-01-01
2018,國3北向,非主線資料,中港系統,臺中市,進口,週六,15132.0,201801,2018-01-01
2018,國4東向,非主線資料,中港系統,臺中市,出口1-國3南,週六,2580.0,201801,2018-01-01
2018,國4東向,非主線資料,中港系統,臺中市,出口2-國3北,週六,3768.0,201801,2018-01-01
2018,國4東向,非主線資料,中港系統,臺中市,進口,週六,11988.0,201801,2018-01-01
2018,國4西向,非主線資料,中港系統,臺中市,出口1-國3北,週六,11547.0,201801,2018-01-01
2018,國4西向,非主線資料,中港系統,臺中市,出口2-國3南,週六,4454.0,201801,2018-01-01
2018,國4西向,非主線資料,中港系統,臺中市,進口1-國3南,週六,4524.0,201801,2018-01-01
2018,國4西向,非主線資料,中港系統,臺中市,進口2-國3北,週六,2024.0,201801,2018-01-01
2018,國3南向,非主線資料,中港系統,臺中市,出口,週日,15125.0,201801,2018-01-01
2018,國3南向,非主線資料,中港系統,臺中市,進口,週日,5477.0,201801,2018-01-01
2018,國3北向,非主線資料,中港系統,臺中市,出口,週日,6249.0,201801,2018-01-01
2018,國3北向,非主線資料,中港系統,臺中市,進口,週日,16052.0,201801,2018-01-01
2018,國4東向,非主線資料,中港系統,臺中市,出口1-國3南,週日,2539.0,201801,2018-01-01
2018,國4東向,非主線資料,中港系統,臺中市,出口2-國3北,週日,3840.0,201801,2018-01-01
2018,國4東向,非主線資料,中港系統,臺中市,進口,週日,11663.0,201801,2018-01-01
2018,國4西向,非主線資料,中港系統,臺中市,出口1-國3北,週日,12229.0,201801,2018-01-01
2018,國4西向,非主線資料,中港系統,臺中市,出口2-國3南,週日,4221.0,201801,2018-01-01
2018,國4西向,非主線資料,中港系統,臺中市,進口1-國3南,週日,4450.0,201801,2018-01-01
2018,國4西向,非主線資料,中港系統,臺中市,進口2-國3北,週日,2078.0,201801,2018-01-01
2018,國3南向,非主線資料,中興,南投縣,出口,週2-4,10796.0,201801,2018-01-01
2018,國3南向,非主線資料,中興,南投縣,進口,週2-4,5399.0,201801,2018-01-01
2018,國3北向,非主線資料,中興,南投縣,出口,週2-4,5503.0,201801,2018-01-01
2018,國3北向,非主線資料,中興,南投縣,進口,週2-4,12169.0,201801,2018-01-01
2018,國3南向,非主線資料,中興,南投縣,出口,週六,9934.0,201801,2018-01-01
2018,國3南向,非主線資料,中興,南投縣,進口,週六,6158.0,201801,2018-01-01
2018,國3北向,非主線資料,中興,南投縣,出口,週六,5956.0,201801,2018-01-01
2018,國3北向,非主線資料,中興,南投縣,進口,週六,10932.0,201801,2018-01-01
2018,國3南向,非主線資料,中興,南投縣,出口,週日,9106.0,201801,2018-01-01
2018,國3南向,非主線資料,中興,南投縣,進口,週日,5451.0,201801,2018-01-01
2018,國3北向,非主線資料,中興,南投縣,出口,週日,6149.0,201801,2018-01-01
2018,國3北向,非主線資料,中興,南投縣,進口,週日,10554.0,201801,2018-01-01
2018,國3南向,非主線資料,中興系統,南投縣,出口,週2-4,9779.0,201801,2018-01-01
2018,國3南向,非主線資料,中興系統,南投縣,進口,週2-4,4629.0,201801,2018-01-01
2018,國3北向,非主線資料,中興系統,南投縣,出口,週2-4,5027.0,201801,2018-01-01
2018,國3北向,非主線資料,中興系統,南投縣,進口,週2-4,9830.0,201801,2018-01-01
2018,國3南向,非主線資料,中興系統,南投縣,出口,週六,12453.0,201801,2018-01-01
2018,國3南向,非主線資料,中興系統,南投縣,進口,週六,6003.0,201801,2018-01-01
2018,國3北向,非主線資料,中興系統,南投縣,出口,週六,5842.0,201801,2018-01-01
2018,國3北向,非主線資料,中興系統,南投縣,進口,週六,11691.0,201801,2018-01-01
2018,國3南向,非主線資料,中興系統,南投縣,出口,週日,11995.0,201801,2018-01-01
2018,國3南向,非主線資料,中興系統,南投縣,進口,週日,6060.0,201801,2018-01-01
2018,國3北向,非主線資料,中興系統,南投縣,出口,週日,6731.0,201801,2018-01-01
2018,國3北向,非主線資料,中興系統,南投縣,進口,週日,13599.0,201801,2018-01-01
2018,國3南向,非主線資料,九如,屏東縣,出口,週2-4,9741.0,201801,2018-01-01
2018,國3南向,非主線資料,九如,屏東縣,進口,週2-4,2322.0,201801,2018-01-01
2018,國3北向,非主線資料,九如,屏東縣,出口,週2-4,2452.0,201801,2018-01-01
2018,國3北向,非主線資料,九如,屏東縣,進口,週2-4,9575.0,201801,2018-01-01
2018,國3南向,非主線資料,九如,屏東縣,出口,週六,11214.0,201801,2018-01-01
2018,國3南向,非主線資料,九如,屏東縣,進口,週六,2644.0,201801,2018-01-01
2018,國3北向,非主線資料,九如,屏東縣,出口,週六,2774.0,201801,2018-01-01
2018,國3北向,非主線資料,九如,屏東縣,進口,週六,10224.0,201801,2018-01-01
2018,國3南向,非主線資料,九如,屏東縣,出口,週日,10760.0,201801,2018-01-01
2018,國3南向,非主線資料,九如,屏東縣,進口,週日,2507.0,201801,2018-01-01
2018,國3北向,非主線資料,九如,屏東縣,出口,週日,2870.0,201801,2018-01-01
2018,國3北向,非主線資料,九如,屏東縣,進口,週日,10985.0,201801,2018-01-01
2018,國1南向,非主線資料,五堵,新北市,出口,週2-4,7415.0,201801,2018-01-01
2018,國1南向,非主線資料,五堵,新北市,進口,週2-4,10482.0,201801,2018-01-01
2018,國1北向,非主線資料,五堵,新北市,出口,週2-4,10607.0,201801,2018-01-01
2018,國1北向,非主線資料,五堵,新北市,"進口1-中油油庫,6.8環道",週2-4,220.0,201801,2018-01-01
2018,國1北向,非主線資料,五堵,新北市,進口2-5甲,週2-4,7650.0,201801,2018-01-01
2018,國1南向,非主線資料,五堵,新北市,出口,週六,6424.0,201801,2018-01-01
2018,國1南向,非主線資料,五堵,新北市,進口,週六,9008.0,201801,2018-01-01
2018,國1北向,非主線資料,五堵,新北市,出口,週六,9396.0,201801,2018-01-01
2018,國1北向,非主線資料,五堵,新北市,"進口1-中油油庫,6.8環道",週六,175.0,201801,2018-01-01
2018,國1北向,非主線資料,五堵,新北市,進口2-5甲,週六,6826.0,201801,2018-01-01
2018,國1南向,非主線資料,五堵,新北市,出口,週日,6179.0,201801,2018-01-01
2018,國1南向,非主線資料,五堵,新北市,進口,週日,7768.0,201801,2018-01-01
2018,國1北向,非主線資料,五堵,新北市,出口,週日,8083.0,201801,2018-01-01
2018,國1北向,非主線資料,五堵,新北市,"進口1-中油油庫,6.8環道",週日,190.0,201801,2018-01-01
2018,國1北向,非主線資料,五堵,新北市,進口2-5甲,週日,5900.0,201801,2018-01-01
2018,國1南向,非主線資料,五甲,高雄市,出口-貨櫃車專用,週2-4,4703.0,201801,2018-01-01
2018,國1南向,非主線資料,五甲,高雄市,進口,週2-4,11183.0,201801,2018-01-01
2018,國1北向,非主線資料,五甲,高雄市,出口,週2-4,9687.0,201801,2018-01-01
2018,國1北向,非主線資料,五甲,高雄市,進口-貨櫃車專用,週2-4,2336.0,201801,2018-01-01
2018,國1南向,非主線資料,五甲,高雄市,出口-貨櫃車專用,週六,3072.0,201801,2018-01-01
2018,國1南向,非主線資料,五甲,高雄市,進口,週六,11191.0,201801,2018-01-01
2018,國1北向,非主線資料,五甲,高雄市,出口,週六,9532.0,201801,2018-01-01
2018,國1北向,非主線資料,五甲,高雄市,進口-貨櫃車專用,週六,2249.0,201801,2018-01-01
2018,國1南向,非主線資料,五甲,高雄市,出口-貨櫃車專用,週日,2070.0,201801,2018-01-01
2018,國1南向,非主線資料,五甲,高雄市,進口,週日,10172.0,201801,2018-01-01
2018,國1北向,非主線資料,五甲,高雄市,出口,週日,8421.0,201801,2018-01-01
2018,國1北向,非主線資料,五甲,高雄市,進口-貨櫃車專用,週日,2253.0,201801,2018-01-01
2018,國1南向,非主線資料,五甲系統,高雄市,出口,週2-4,36850.0,201801,2018-01-01
2018,國1南向,非主線資料,五甲系統,高雄市,出口,週六,38561.0,201801,2018-01-01
2018,國1南向,非主線資料,五甲系統,高雄市,出口,週日,35186.0,201801,2018-01-01
2018,國1北向,非主線資料,五甲系統暨南華路進口,高雄市,進口,週2-4,46868.0,201801,2018-01-01
2018,國1北向,非主線資料,五甲系統暨南華路進口,高雄市,進口,週六,50842.0,201801,2018-01-01
2018,國1北向,非主線資料,五甲系統暨南華路進口,高雄市,進口,週日,51090.0,201801,2018-01-01
2018,國1南向,非主線資料,五股及五股轉接道,新北市,出口,週2-4,39500.0,201801,2018-01-01
2018,國1南向,非主線資料,五股及五股轉接道,新北市,進口1-高架,週2-4,49825.0,201801,2018-01-01
2018,國1南向,非主線資料,五股及五股轉接道,新北市,進口2-新五路台64,週2-4,51101.0,201801,2018-01-01
2018,國1北向,非主線資料,五股及五股轉接道,新北市,出口1-台64新五路,週2-4,49733.0,201801,2018-01-01
2018,國1北向,非主線資料,五股及五股轉接道,新北市,出口2-高架,週2-4,27229.0,201801,2018-01-01
2018,國1北向,非主線資料,五股及五股轉接道,新北市,進口,週2-4,21068.0,201801,2018-01-01
2018,國1南向,非主線資料,五股及五股轉接道,新北市,出口,週六,39500.0,201801,2018-01-01
2018,國1南向,非主線資料,五股及五股轉接道,新北市,進口1-高架,週六,47053.0,201801,2018-01-01
2018,國1南向,非主線資料,五股及五股轉接道,新北市,進口2-新五路台64,週六,52189.0,201801,2018-01-01
2018,國1北向,非主線資料,五股及五股轉接道,新北市,出口1-台64新五路,週六,48891.0,201801,2018-01-01
2018,國1北向,非主線資料,五股及五股轉接道,新北市,出口2-高架,週六,26249.0,201801,2018-01-01
2018,國1北向,非主線資料,五股及五股轉接道,新北市,進口,週六,19721.0,201801,2018-01-01
2018,國1南向,非主線資料,五股及五股轉接道,新北市,出口,週日,39500.0,201801,2018-01-01
2018,國1南向,非主線資料,五股及五股轉接道,新北市,進口1-高架,週日,46185.0,201801,2018-01-01
2018,國1南向,非主線資料,五股及五股轉接道,新北市,進口2-新五路台64,週日,45951.0,201801,2018-01-01
2018,國1北向,非主線資料,五股及五股轉接道,新北市,出口1-台64新五路,週日,46693.0,201801,2018-01-01
2018,國1北向,非主線資料,五股及五股轉接道,新北市,出口2-高架,週日,22914.0,201801,2018-01-01
2018,國1北向,非主線資料,五股及五股轉接道,新北市,進口,週日,16670.0,201801,2018-01-01
2018,國1高架南向,非主線資料,五股轉接道,新北市,出口1-新五路台64,週2-4,20754.0,201801,2018-01-01
2018,國1高架南向,非主線資料,五股轉接道,新北市,出口2-國1平面,週2-4,29071.0,201801,2018-01-01
2018,國1高架北向,非主線資料,五股轉接道,新北市,進口1-新五路台64,週2-4,30669.0,201801,2018-01-01
2018,國1高架北向,非主線資料,五股轉接道,新北市,進口2-國1平面,週2-4,23887.0,201801,2018-01-01
2018,國1高架南向,非主線資料,五股轉接道,新北市,出口1-新五路台64,週六,25808.0,201801,2018-01-01
2018,國1高架南向,非主線資料,五股轉接道,新北市,出口2-國1平面,週六,21245.0,201801,2018-01-01
2018,國1高架北向,非主線資料,五股轉接道,新北市,進口1-新五路台64,週六,28897.0,201801,2018-01-01
2018,國1高架北向,非主線資料,五股轉接道,新北市,進口2-國1平面,週六,23812.0,201801,2018-01-01
2018,國1高架南向,非主線資料,五股轉接道,新北市,出口1-新五路台64,週日,21269.0,201801,2018-01-01
2018,國1高架南向,非主線資料,五股轉接道,新北市,出口2-國1平面,週日,24916.0,201801,2018-01-01
2018,國1高架北向,非主線資料,五股轉接道,新北市,進口1-新五路台64,週日,23893.0,201801,2018-01-01
2018,國1高架北向,非主線資料,五股轉接道,新北市,進口2-國1平面,週日,23538.0,201801,2018-01-01
2018,國1南向,非主線資料,仁德系統,臺南市,出口,週2-4,16007.0,201801,2018-01-01
2018,國1南向,非主線資料,仁德系統,臺南市,進口,週2-4,16360.0,201801,2018-01-01
2018,國1北向,非主線資料,仁德系統,臺南市,出口,週2-4,15646.0,201801,2018-01-01
2018,國1北向,非主線資料,仁德系統,臺南市,進口,週2-4,15980.0,201801,2018-01-01
2018,國1南向,非主線資料,仁德系統,臺南市,出口,週六,15061.0,201801,2018-01-01
2018,國1南向,非主線資料,仁德系統,臺南市,進口,週六,16018.0,201801,2018-01-01
2018,國1北向,非主線資料,仁德系統,臺南市,出口,週六,15921.0,201801,2018-01-01
2018,國1北向,非主線資料,仁德系統,臺南市,進口,週六,14337.0,201801,2018-01-01
2018,國1南向,非主線資料,仁德系統,臺南市,出口,週日,14166.0,201801,2018-01-01
2018,國1南向,非主線資料,仁德系統,臺南市,進口,週日,14685.0,201801,2018-01-01
2018,國1北向,非主線資料,仁德系統,臺南市,出口,週日,15167.0,201801,2018-01-01
2018,國1北向,非主線資料,仁德系統,臺南市,進口,週日,14592.0,201801,2018-01-01
2018,國10東向,非主線資料,仁武,高雄市,出口,週2-4,17815.0,201801,2018-01-01
2018,國10東向,非主線資料,仁武,高雄市,進口,週2-4,12379.0,201801,2018-01-01
2018,國10西向,非主線資料,仁武,高雄市,出口,週2-4,8268.0,201801,2018-01-01
2018,國10西向,非主線資料,仁武,高雄市,進口,週2-4,18603.0,201801,2018-01-01
2018,國10東向,非主線資料,仁武,高雄市,出口,週六,17572.0,201801,2018-01-01
2018,國10東向,非主線資料,仁武,高雄市,進口,週六,13429.0,201801,2018-01-01
2018,國10西向,非主線資料,仁武,高雄市,出口,週六,8157.0,201801,2018-01-01
2018,國10西向,非主線資料,仁武,高雄市,進口,週六,18097.0,201801,2018-01-01
2018,國10東向,非主線資料,仁武,高雄市,出口,週日,15328.0,201801,2018-01-01
2018,國10東向,非主線資料,仁武,高雄市,進口,週日,12506.0,201801,2018-01-01
2018,國10西向,非主線資料,仁武,高雄市,出口,週日,9069.0,201801,2018-01-01
2018,國10西向,非主線資料,仁武,高雄市,進口,週日,16043.0,201801,2018-01-01
2018,國1南向,非主線資料,內壢,桃園市,出口,週2-4,29693.0,201801,2018-01-01
2018,國1南向,非主線資料,內壢,桃園市,進口1-中壢,週2-4,14863.0,201801,2018-01-01
2018,國1南向,非主線資料,內壢,桃園市,進口2-大園,週2-4,5856.0,201801,2018-01-01
2018,國1北向,非主線資料,內壢,桃園市,出口1-大園,週2-4,4800.0,201801,2018-01-01
2018,國1北向,非主線資料,內壢,桃園市,出口2-中壢,週2-4,16745.0,201801,2018-01-01
2018,國1北向,非主線資料,內壢,桃園市,進口,週2-4,31803.0,201801,2018-01-01
2018,國1南向,非主線資料,內壢,桃園市,出口,週六,27488.0,201801,2018-01-01
2018,國1南向,非主線資料,內壢,桃園市,進口1-中壢,週六,12179.0,201801,2018-01-01
2018,國1南向,非主線資料,內壢,桃園市,進口2-大園,週六,6905.0,201801,2018-01-01
2018,國1北向,非主線資料,內壢,桃園市,出口1-大園,週六,4600.0,201801,2018-01-01
2018,國1北向,非主線資料,內壢,桃園市,出口2-中壢,週六,14590.0,201801,2018-01-01
2018,國1北向,非主線資料,內壢,桃園市,進口,週六,29909.0,201801,2018-01-01
2018,國1南向,非主線資料,內壢,桃園市,出口,週日,25331.0,201801,2018-01-01
2018,國1南向,非主線資料,內壢,桃園市,進口1-中壢,週日,10111.0,201801,2018-01-01
2018,國1南向,非主線資料,內壢,桃園市,進口2-大園,週日,6340.0,201801,2018-01-01
2018,國1北向,非主線資料,內壢,桃園市,出口1-大園,週日,4400.0,201801,2018-01-01
2018,國1北向,非主線資料,內壢,桃園市,出口2-中壢,週日,13465.0,201801,2018-01-01
2018,國1北向,非主線資料,內壢,桃園市,進口,週日,26508.0,201801,2018-01-01
2018,國1南向,非主線資料,內湖,臺北市,出口1-南京,週2-4,18795.0,201801,2018-01-01
2018,國1南向,非主線資料,內湖,臺北市,出口2-成功,週2-4,9187.0,201801,2018-01-01
