年月,年,月,行業別,用電量,年月KEY
2018-05-01,2018,5,塑膠製品製造業,478107.3125,201805
2018-05-01,2018,5,非金屬礦物製品製造業,503921.90625,201805
2018-05-01,2018,5,基本金屬製造業,1701429.25,201805
2018-05-01,2018,5,金屬製品製造業,606892.8125,201805
2018-05-01,2018,5,電子產品及電力設備製造業,4498935.5,201805
2018-05-01,2018,5,住宅用電,3424884.5,201805
2018-05-01,2018,5,服務業用電,4133524.5,201805
2018-05-01,2018,5,運輸及倉儲業,251428.703125,201805
2018-05-01,2018,5,住宿及餐飲業,597730.375,201805
2018-05-01,2018,5,出版影音及資通訊業,293807.59375,201805
2018-05-01,2018,5,金融及保險業,166320.5,201805
2018-05-01,2018,5,不動產業,131434.703125,201805
2018-05-01,2018,5,醫療保健及社會工作服務業,302371.0,201805
2018-05-01,2018,5,藝術、娛樂及休閒服務業,108163.3984375,201805
2018-05-01,2018,5,運輸用電,131200.09375,201805
2018-05-01,2018,5,公路,3791.0,201805
2018-05-01,2018,5,鐵路,124259.796875,201805
2018-05-01,2018,5,管線運輸,3149.199951171875,201805
2018-05-01,2018,5,能源部門自用,1717093.375,201805
2018-05-01,2018,5,農業部門,249664.703125,201805
2018-06-01,2018,6,全國用電量,22868182.0,201806
2018-06-01,2018,6,工業用電,12620900.0,201806
2018-06-01,2018,6,紡織成衣及服飾品製造業,528474.375,201806
2018-06-01,2018,6,紙漿、紙及紙製品製造業,307930.1875,201806
2018-06-01,2018,6,化學材料及肥料製造業,2654389.75,201806
2018-06-01,2018,6,塑膠製品製造業,466885.09375,201806
2018-06-01,2018,6,非金屬礦物製品製造業,476186.3125,201806
2018-06-01,2018,6,基本金屬製造業,1627284.375,201806
2018-06-01,2018,6,金屬製品製造業,601146.0,201806
2018-06-01,2018,6,電子產品及電力設備製造業,4351302.0,201806
2018-06-01,2018,6,住宅用電,3883662.25,201806
2018-06-01,2018,6,服務業用電,4280540.5,201806
2018-06-01,2018,6,運輸及倉儲業,259882.203125,201806
2018-06-01,2018,6,住宿及餐飲業,650794.375,201806
2018-06-01,2018,6,出版影音及資通訊業,288517.59375,201806
2018-06-01,2018,6,金融及保險業,172102.203125,201806
2018-06-01,2018,6,不動產業,136138.59375,201806
2018-06-01,2018,6,醫療保健及社會工作服務業,307707.90625,201806
2018-06-01,2018,6,藝術、娛樂及休閒服務業,116172.5,201806
2018-06-01,2018,6,運輸用電,128227.796875,201806
2018-06-01,2018,6,公路,3924.89990234375,201806
2018-06-01,2018,6,鐵路,121224.6015625,201806
2018-06-01,2018,6,管線運輸,3078.199951171875,201806
2018-06-01,2018,6,能源部門自用,1677729.75,201806
2018-06-01,2018,6,農業部門,277121.1875,201806
2018-07-01,2018,7,全國用電量,24636526.0,201807
2018-07-01,2018,7,工業用電,13117856.0,201807
2018-07-01,2018,7,紡織成衣及服飾品製造業,551367.6875,201807
2018-07-01,2018,7,紙漿、紙及紙製品製造業,319194.6875,201807
2018-07-01,2018,7,化學材料及肥料製造業,2672333.0,201807
2018-07-01,2018,7,塑膠製品製造業,480712.1875,201807
2018-07-01,2018,7,非金屬礦物製品製造業,496106.5,201807
2018-07-01,2018,7,基本金屬製造業,1671098.875,201807
2018-07-01,2018,7,金屬製品製造業,608218.5,201807
2018-07-01,2018,7,電子產品及電力設備製造業,4605928.0,201807
2018-07-01,2018,7,住宅用電,4727219.5,201807
2018-07-01,2018,7,服務業用電,4571666.5,201807
2018-07-01,2018,7,運輸及倉儲業,280115.5,201807
2018-07-01,2018,7,住宿及餐飲業,721933.875,201807
2018-07-01,2018,7,出版影音及資通訊業,312272.0,201807
2018-07-01,2018,7,金融及保險業,193906.796875,201807
2018-07-01,2018,7,不動產業,151780.59375,201807
2018-07-01,2018,7,醫療保健及社會工作服務業,327958.5,201807
2018-07-01,2018,7,藝術、娛樂及休閒服務業,128426.296875,201807
2018-07-01,2018,7,運輸用電,132746.296875,201807
2018-07-01,2018,7,公路,4069.39990234375,201807
2018-07-01,2018,7,鐵路,125506.796875,201807
2018-07-01,2018,7,管線運輸,3170.0,201807
2018-07-01,2018,7,能源部門自用,1811981.875,201807
2018-07-01,2018,7,農業部門,275055.59375,201807
2018-08-01,2018,8,全國用電量,24914490.0,201808
2018-08-01,2018,8,工業用電,13237601.0,201808
2018-08-01,2018,8,紡織成衣及服飾品製造業,556747.6875,201808
2018-08-01,2018,8,紙漿、紙及紙製品製造業,316405.3125,201808
2018-08-01,2018,8,化學材料及肥料製造業,2777750.25,201808
2018-08-01,2018,8,塑膠製品製造業,487919.90625,201808
2018-08-01,2018,8,非金屬礦物製品製造業,488952.1875,201808
2018-08-01,2018,8,基本金屬製造業,1680616.0,201808
2018-08-01,2018,8,金屬製品製造業,631512.5,201808
2018-08-01,2018,8,電子產品及電力設備製造業,4584119.0,201808
2018-08-01,2018,8,住宅用電,4953074.0,201808
2018-08-01,2018,8,服務業用電,4547503.0,201808
2018-08-01,2018,8,運輸及倉儲業,283621.09375,201808
2018-08-01,2018,8,住宿及餐飲業,727925.6875,201808
2018-08-01,2018,8,出版影音及資通訊業,307199.1875,201808
2018-08-01,2018,8,金融及保險業,190422.796875,201808
2018-08-01,2018,8,不動產業,150440.5,201808
2018-08-01,2018,8,醫療保健及社會工作服務業,330165.6875,201808
2018-08-01,2018,8,藝術、娛樂及休閒服務業,130293.8984375,201808
2018-08-01,2018,8,運輸用電,132572.40625,201808
2018-08-01,2018,8,公路,4179.5,201808
2018-08-01,2018,8,鐵路,125164.3984375,201808
2018-08-01,2018,8,管線運輸,3228.300048828125,201808
2018-08-01,2018,8,能源部門自用,1756871.5,201808
2018-08-01,2018,8,農業部門,286867.8125,201808
2018-09-01,2018,9,全國用電量,24444134.0,201809
2018-09-01,2018,9,工業用電,12687501.0,201809
2018-09-01,2018,9,紡織成衣及服飾品製造業,528506.625,201809
2018-09-01,2018,9,紙漿、紙及紙製品製造業,304691.6875,201809
2018-09-01,2018,9,化學材料及肥料製造業,2727279.5,201809
2018-09-01,2018,9,塑膠製品製造業,447922.09375,201809
2018-09-01,2018,9,非金屬礦物製品製造業,475399.09375,201809
2018-09-01,2018,9,基本金屬製造業,1605666.75,201809
2018-09-01,2018,9,金屬製品製造業,589883.1875,201809
2018-09-01,2018,9,電子產品及電力設備製造業,4382827.5,201809
2018-09-01,2018,9,住宅用電,5132590.5,201809
2018-09-01,2018,9,服務業用電,4570528.0,201809
2018-09-01,2018,9,運輸及倉儲業,272674.3125,201809
2018-09-01,2018,9,住宿及餐飲業,733448.5,201809
2018-09-01,2018,9,出版影音及資通訊業,307935.0,201809
2018-09-01,2018,9,金融及保險業,185538.40625,201809
2018-09-01,2018,9,不動產業,148794.703125,201809
2018-09-01,2018,9,醫療保健及社會工作服務業,309789.09375,201809
2018-09-01,2018,9,藝術、娛樂及休閒服務業,125610.203125,201809
2018-09-01,2018,9,運輸用電,127524.703125,201809
2018-09-01,2018,9,公路,4343.7998046875,201809
2018-09-01,2018,9,鐵路,120033.5,201809
2018-09-01,2018,9,管線運輸,3147.300048828125,201809
2018-09-01,2018,9,能源部門自用,1653337.5,201809
2018-09-01,2018,9,農業部門,272650.90625,201809
2018-10-01,2018,10,全國用電量,23385080.0,201810
2018-10-01,2018,10,工業用電,12735885.0,201810
2018-10-01,2018,10,紡織成衣及服飾品製造業,523653.09375,201810
2018-10-01,2018,10,紙漿、紙及紙製品製造業,317419.0,201810
2018-10-01,2018,10,化學材料及肥料製造業,2725695.75,201810
2018-10-01,2018,10,塑膠製品製造業,452761.90625,201810
2018-10-01,2018,10,非金屬礦物製品製造業,504216.0,201810
2018-10-01,2018,10,基本金屬製造業,1679798.25,201810
2018-10-01,2018,10,金屬製品製造業,599287.6875,201810
2018-10-01,2018,10,電子產品及電力設備製造業,4336802.0,201810
2018-10-01,2018,10,住宅用電,4476331.5,201810
2018-10-01,2018,10,服務業用電,4156956.25,201810
2018-10-01,2018,10,運輸及倉儲業,251834.296875,201810
2018-10-01,2018,10,住宿及餐飲業,654137.375,201810
2018-10-01,2018,10,出版影音及資通訊業,287280.59375,201810
2018-10-01,2018,10,金融及保險業,164982.59375,201810
2018-10-01,2018,10,不動產業,131793.59375,201810
