西元年,區域,屬性,耗水量,年月KEY,日期格式
2006,南部,公共給水耗水量,328.8,200601,2006-01-01
2006,東部,工業自備水源耗水量,55.99,200601,2006-01-01
2006,東部,公共給水耗水量,1.96,200601,2006-01-01
2007,北部,工業自備水源耗水量,191.88,200701,2007-01-01
2007,北部,公共給水耗水量,273.9,200701,2007-01-01
2007,中部,工業自備水源耗水量,440.54,200701,2007-01-01
2007,中部,公共給水耗水量,78.6,200701,2007-01-01
2007,南部,工業自備水源耗水量,248.42,200701,2007-01-01
2007,南部,公共給水耗水量,352.5,200701,2007-01-01
2007,東部,工業自備水源耗水量,56.09,200701,2007-01-01
2007,東部,公共給水耗水量,1.9,200701,2007-01-01
2008,北部,工業自備水源耗水量,202.19,200801,2008-01-01
2008,北部,公共給水耗水量,274.2,200801,2008-01-01
2008,中部,工業自備水源耗水量,433.59,200801,2008-01-01
2008,中部,公共給水耗水量,92.5,200801,2008-01-01
2008,南部,工業自備水源耗水量,251.2,200801,2008-01-01
2008,南部,公共給水耗水量,353.8,200801,2008-01-01
2008,東部,工業自備水源耗水量,55.89,200801,2008-01-01
2008,東部,公共給水耗水量,1.7,200801,2008-01-01
2008,其他,工業自備水源耗水量,2.51,200801,2008-01-01
2008,其他,公共給水耗水量,0.0,200801,2008-01-01
2008,北部,工業自備水源耗水量,202.19,200801,2008-01-01
2008,北部,公共給水耗水量,274.2,200801,2008-01-01
2008,中部,工業自備水源耗水量,433.59,200801,2008-01-01
2008,中部,公共給水耗水量,92.5,200801,2008-01-01
2008,南部,工業自備水源耗水量,251.2,200801,2008-01-01
2008,南部,公共給水耗水量,353.8,200801,2008-01-01
2008,東部,工業自備水源耗水量,55.89,200801,2008-01-01
2008,東部,公共給水耗水量,1.7,200801,2008-01-01
2008,其他,工業自備水源耗水量,2.51,200801,2008-01-01
2008,其他,公共給水耗水量,0.0,200801,2008-01-01
2009,北部,工業自備水源耗水量,208.43,200901,2009-01-01
2009,北部,公共給水耗水量,239.6,200901,2009-01-01
2009,中部,工業自備水源耗水量,446.91,200901,2009-01-01
2009,中部,公共給水耗水量,84.5,200901,2009-01-01
2009,南部,工業自備水源耗水量,198.62,200901,2009-01-01
2009,南部,公共給水耗水量,313.7,200901,2009-01-01
2009,東部,工業自備水源耗水量,55.69,200901,2009-01-01
2009,東部,公共給水耗水量,1.4,200901,2009-01-01
2009,其他,工業自備水源耗水量,2.47,200901,2009-01-01
2009,其他,公共給水耗水量,0.0,200901,2009-01-01
2010,北部,公共給水耗水量,0.0,201001,2010-01-01
2010,北部,工業自備水源耗水量,187.76,201001,2010-01-01
2010,北部,公共給水耗水量,276.8,201001,2010-01-01
2010,中部,工業自備水源耗水量,482.26,201001,2010-01-01
2010,中部,公共給水耗水量,114.8,201001,2010-01-01
2010,南部,工業自備水源耗水量,187.71,201001,2010-01-01
2010,南部,公共給水耗水量,347.6,201001,2010-01-01
2010,東部,工業自備水源耗水量,55.88,201001,2010-01-01
2010,東部,公共給水耗水量,1.6,201001,2010-01-01
2010,其他,工業自備水源耗水量,2.45,201001,2010-01-01
2010,其他,公共給水耗水量,0.0,201001,2010-01-01
2011,北部,工業自備水源耗水量,177.88,201101,2011-01-01
2011,北部,公共給水耗水量,286.6,201101,2011-01-01
2011,中部,工業自備水源耗水量,377.34,201101,2011-01-01
2011,中部,公共給水耗水量,120.8,201101,2011-01-01
2011,南部,工業自備水源耗水量,170.72,201101,2011-01-01
2011,南部,公共給水耗水量,359.2,201101,2011-01-01
2011,東部,工業自備水源耗水量,54.54,201101,2011-01-01
2011,東部,公共給水耗水量,1.6,201101,2011-01-01
2011,其他,工業自備水源耗水量,3.14,201101,2011-01-01
2011,其他,公共給水耗水量,0.0,201101,2011-01-01
