年度標籤,路線方向,路段,交流道,進出口,週六,週日,週2-4,平日
108年,國1南向,非主線資料,岡山,進口,17006,14879,19389,
108年,國1南向,非主線資料,岡山,出口,6738,6232,7210,
108年,國1南向,非主線資料,楠梓,進口,24553,20728,27091,
108年,國1南向,非主線資料,楠梓,出口,15306,14364,17066,
108年,國1南向,非主線資料,鼎金系統,進口,46225,43569,44288,
108年,國1南向,非主線資料,鼎金系統,出口,19575,15079,14687,
108年,國1南向,非主線資料,高雄,進口,29492,26072,28628,
108年,國1南向,非主線資料,高雄,出口1-九如建國,30309,29150,28782,
108年,國1南向,非主線資料,高雄,出口2-中正,27111,24903,24047,
108年,國1南向,非主線資料,瑞隆路,出口,15298,14666,12881,
108年,國1南向,非主線資料,五甲系統,出口,38913,34775,37110,
108年,國1南向,非主線資料,五甲,進口,10903,11457,11928,
108年,國1南向,非主線資料,五甲,出口-貨櫃車專用,3450,2401,5043,
108年,國1南向,非主線資料,高雄端,出口,37706,36512,41959,
108年,國1北向,非主線資料,基隆端,出口,32320,28260,29062,
108年,國1北向,非主線資料,基隆,進口,10461,8732,10361,
108年,國1北向,非主線資料,基隆,出口,8859,7987,8790,
108年,國1北向,非主線資料,八堵,出口,8070,7218,6868,
108年,國1北向,非主線資料,大華系統,出口,30255,29205,23204,
108年,國1北向,非主線資料,五堵,進口,6539,5642,7798,
108年,國1北向,非主線資料,五堵,出口,8998,7767,10362,
108年,國1北向,非主線資料,汐止及汐止系統,進口1-國3北,18197,16802,16131,
108年,國1北向,非主線資料,汐止及汐止系統,進口2-國3南,1150,1241,1344,
108年,國1北向,非主線資料,汐止及汐止系統,進口3-汐止,4628,4222,4323,
108年,國1北向,非主線資料,高架汐止端,進口,37935,34154,32964,
108年,國1北向,非主線資料,汐止及汐止系統,出口1-國3,26570,22813,24992,
108年,國1北向,非主線資料,汐止及汐止系統,出口2-汐止,19686,16663,22345,
108年,國1北向,非主線資料,東湖,出口,16203,14906,16759,
108年,國1北向,非主線資料,內湖,進口1-成功,9391,8052,10415,
108年,國1北向,非主線資料,內湖,進口2-南京,21435,19521,20082,
108年,國1北向,非主線資料,內湖,出口,16743,15128,19897,
108年,國1北向,非主線資料,圓山,進口,16220,14542,16954,
108年,國1北向,非主線資料,圓山,出口1-建國,46751,42960,43443,
108年,國1北向,非主線資料,圓山,出口2-濱江,17763,16226,17147,
108年,國1北向,非主線資料,台北,進口,32906,30705,27539,
108年,國1北向,非主線資料,台北,出口,24353,22071,20394,
108年,國1北向,非主線資料,三重,進口,25624,22702,23474,
108年,國1北向,非主線資料,三重,出口,16024,15731,12835,
108年,國1北向,非主線資料,泰山轉接道,進口,34759,35274,31845,
108年,國1北向,非主線資料,五股及五股轉接道,進口,21463,18387,21694,
108年,國1北向,非主線資料,五股及五股轉接道,出口1-台64新五路,49841,47555,50149,
108年,國1北向,非主線資料,五股及五股轉接道,出口2-高架,26249,22914,28561,
108年,國1北向,非主線資料,林口,進口1-文化北路,12724,10286,17787,
108年,國1北向,非主線資料,林口,進口2-文化一路,31224,28318,32041,
108年,國1北向,非主線資料,林口,出口1-文化北路,23386,21498,28506,
108年,國1北向,非主線資料,林口,出口2-文化一路,13078,13023,15297,
108年,國1北向,非主線資料,桃園,進口1-南崁,15777,14884,15526,
108年,國1北向,非主線資料,桃園,進口2-桃園,29874,26886,31445,
108年,國1北向,非主線資料,桃園,出口,44447,42034,46296,
108年,國1北向,非主線資料,機場系統,進口,40513,37871,42729,
108年,國1北向,非主線資料,機場系統,出口,26269,23735,28195,
108年,國1北向,非主線資料,內壢,進口,29121,26246,30935,
108年,國1北向,非主線資料,內壢,出口,19233,17769,21590,
108年,國1北向,非主線資料,中壢,進口,16069,15300,18392,
108年,國1北向,非主線資料,中壢,出口,16829,15588,15955,
108年,國1北向,非主線資料,平鎮系統,進口,28335,26384,30724,
108年,國1北向,非主線資料,平鎮系統,出口,17867,16137,20015,
108年,國1北向,非主線資料,幼獅,進口,7938,6647,11492,
108年,國1北向,非主線資料,幼獅,出口,3390,3059,4906,
108年,國1北向,非主線資料,楊梅,進口,23150,20716,25486,
108年,國1北向,非主線資料,楊梅,出口,5265,5229,6707,
108年,國1北向,非主線資料,高架楊梅端,出口,34653,37719,29357,
108年,國1北向,非主線資料,湖口,進口,9215,8589,12023,
108年,國1北向,非主線資料,湖口,出口,14606,13551,19818,
108年,國1北向,非主線資料,竹北,進口,17750,15081,18369,
108年,國1北向,非主線資料,竹北,出口,18368,17155,24598,
108年,國1北向,非主線資料,新竹,進口1-新安路,7659,6355,16260,
108年,國1北向,非主線資料,新竹,進口2-光復路,23081,21013,22751,
108年,國1北向,非主線資料,新竹,出口1-園區二路,6358,7128,10223,
108年,國1北向,非主線資料,新竹,出口2-公道五/光復路,16622,18545,17133,
108年,國1北向,非主線資料,新竹系統,進口,28412,30965,32620,
108年,國1北向,非主線資料,新竹系統,出口1-國3北,16150,19220,10313,
108年,國1北向,非主線資料,新竹系統,出口2-國3南,1402,1066,821,
108年,國1北向,非主線資料,頭份,進口,15304,15685,15410,
108年,國1北向,非主線資料,頭份,出口,6955,6656,5557,
108年,國1北向,非主線資料,頭屋,進口,6461,7680,5363,
108年,國1北向,非主線資料,頭屋,出口,1827,2130,1360,
108年,國1北向,非主線資料,苗栗,進口,4460,5659,3509,
108年,國1北向,非主線資料,苗栗,出口,6730,6689,5510,
108年,國1北向,非主線資料,銅鑼,進口,2587,3000,2328,
108年,國1北向,非主線資料,銅鑼,出口,4116,3984,3273,
108年,國1北向,非主線資料,三義,進口,5016,6090,4290,
108年,國1北向,非主線資料,三義,出口,4957,5289,3521,
108年,國1北向,非主線資料,后里,進口,2689,2942,1903,
108年,國1北向,非主線資料,后里,出口,10968,10056,11077,
108年,國1北向,非主線資料,台中系統,進口,4772,5475,4244,
108年,國1北向,非主線資料,台中系統,出口,28555,26406,27855,
108年,國1北向,非主線資料,豐原,進口,13478,13738,12882,
108年,國1北向,非主線資料,豐原,出口,14475,12223,16887,
108年,國1北向,非主線資料,大雅,進口,30186,29047,25838,
108年,國1北向,非主線資料,大雅,出口,12188,10487,14024,
108年,國1北向,非主線資料,台中,進口,26830,25186,25302,
108年,國1北向,非主線資料,台中,出口,17636,17245,16002,
108年,國1北向,非主線資料,南屯,進口,14603,13224,15024,
108年,國1北向,非主線資料,南屯,出口,14829,14225,14446,
108年,國1北向,非主線資料,王田,進口,9470,8297,10957,
108年,國1北向,非主線資料,王田,出口,8501,8302,8736,
108年,國1北向,非主線資料,彰化系統,進口,4932,5292,5516,
108年,國1北向,非主線資料,彰化系統,出口,26464,30084,23782,
108年,國1北向,非主線資料,彰化,進口,24108,22808,24037,
108年,國1北向,非主線資料,彰化,出口,15197,12974,14720,
108年,國1北向,非主線資料,埔鹽系統,進口,15187,15395,15310,
108年,國1北向,非主線資料,埔鹽系統,出口,11085,9606,10507,
108年,國1北向,非主線資料,員林,進口,12511,11936,11805,
108年,國1北向,非主線資料,員林,出口,4280,4886,4423,
108年,國1北向,非主線資料,北斗,進口,10896,9696,10553,
108年,國1北向,非主線資料,北斗,出口,4469,5218,3914,
108年,國1北向,非主線資料,西螺,進口,6007,5776,5198,
108年,國1北向,非主線資料,西螺,出口,5580,5585,5103,
108年,國1北向,非主線資料,虎尾,進口,3873,3848,3647,
108年,國1北向,非主線資料,虎尾,出口,3117,3089,2868,
108年,國1北向,非主線資料,斗南,進口,6355,6516,5353,
108年,國1北向,非主線資料,斗南,出口,6413,5613,6644,
108年,國1北向,非主線資料,雲林系統,進口,11411,12228,9748,
108年,國1北向,非主線資料,雲林系統,出口,8502,8793,7479,
108年,國1北向,非主線資料,大林,進口,3555,3871,3390,
108年,國1北向,非主線資料,大林,出口,3328,3127,3723,
108年,國1北向,非主線資料,民雄,進口,6533,7064,5769,
108年,國1北向,非主線資料,民雄,出口,5217,5135,5258,
108年,國1北向,非主線資料,嘉義,進口,10504,10899,9574,
108年,國1北向,非主線資料,嘉義,出口,8261,7764,7120,
108年,國1北向,非主線資料,水上,進口,3365,3491,3295,
108年,國1北向,非主線資料,水上,出口,2448,2402,2111,
108年,國1北向,非主線資料,嘉義系統,進口,7743,8248,6819,
108年,國1北向,非主線資料,嘉義系統,出口,8016,8449,5995,
108年,國1北向,非主線資料,新營,進口,4857,5199,4188,
108年,國1北向,非主線資料,新營,出口,11879,10458,11362,
108年,國1北向,非主線資料,下營系統,進口,3993,4477,3509,
108年,國1北向,非主線資料,下營系統,出口,8405,9287,6846,
108年,國1北向,非主線資料,麻豆,進口,5770,5990,5045,
108年,國1北向,非主線資料,麻豆,出口,9531,8731,9186,
108年,國1北向,非主線資料,安定,進口,4627,4081,5793,
108年,國1北向,非主線資料,安定,出口,5444,5124,7810,
108年,國1北向,非主線資料,台南系統,進口,7481,6432,6462,
108年,國1北向,非主線資料,台南系統,出口,19890,18339,20214,
108年,國1北向,非主線資料,永康,進口,16967,16400,14744,
108年,國1北向,非主線資料,永康,出口,14394,13256,16259,
108年,國1北向,非主線資料,大灣,進口,14629,13982,13397,
108年,國1北向,非主線資料,台南,進口,12131,11218,12253,
108年,國1北向,非主線資料,台南,出口,22953,23341,21527,
108年,國1北向,非主線資料,仁德系統,進口,15108,15613,16398,
108年,國1北向,非主線資料,仁德系統,出口,17431,16884,17273,
108年,國1北向,非主線資料,路竹,進口,7193,6976,7091,
108年,國1北向,非主線資料,路竹,出口,7680,7073,8764,
108年,國1北向,非主線資料,高科,進口,6973,5803,9808,
108年,國1北向,非主線資料,高科,出口,6214,5190,9104,
108年,國1北向,非主線資料,岡山,進口,6773,6405,7541,
108年,國1北向,非主線資料,岡山,出口,16314,14936,18966,
108年,國1北向,非主線資料,楠梓,進口,16441,15852,17856,
108年,國1北向,非主線資料,楠梓,出口,21136,18695,23865,
108年,國1北向,非主線資料,鼎金系統,進口,21756,20745,20337,
108年,國1北向,非主線資料,鼎金系統,出口,51527,48074,47898,
108年,國1北向,非主線資料,高雄,進口1-九如建國,29531,30348,26226,
108年,國1北向,非主線資料,高雄,進口2-中正,19607,20199,19053,
108年,國1北向,非主線資料,高雄,出口1-中正,6583,7044,6313,
108年,國1北向,非主線資料,高雄,出口2-三多,9470,8745,8706,
108年,國1北向,非主線資料,五甲系統暨南華路進口,進口,49911,49964,46591,
108年,國1北向,非主線資料,五甲,進口-貨櫃車專用,1828,1407,3328,
108年,國1北向,非主線資料,五甲,出口,8643,7690,8717,
108年,國1北向,非主線資料,高雄端,進口,36026,29821,36452,
108年,國3南向,非主線資料,基金,進口,20068,21304,20702,
108年,國3南向,非主線資料,瑪東系統,進口,2696,5475,3382,
108年,國3南向,非主線資料,瑪東系統,出口,4193,3704,4785,
108年,國3南向,非主線資料,汐止系統,進口,35059,31571,33389,
108年,國3南向,非主線資料,汐止系統,出口,10130,12223,11277,
108年,國3南向,非主線資料,新台五路,進口1-新台五路西,8333,7587,11500,
108年,國3南向,非主線資料,新台五路,進口2-新台五路東,7324,6278,7190,
108年,國3南向,非主線資料,新台五路,出口,10136,8882,14271,
108年,國3南向,非主線資料,南港,進口,17471,15177,21407,
108年,國3南向,非主線資料,南港,出口,5135,4984,6260,
108年,國3南向,非主線資料,南港系統,進口,16081,18813,11020,
108年,國3南向,非主線資料,南港系統,出口,21567,18703,15423,
108年,國3南向,非主線資料,木柵,進口,16356,15402,15606,
108年,國3南向,非主線資料,木柵,出口,19041,18653,19994,
108年,國3南向,非主線資料,新店,進口,14516,12572,15585,
108年,國3南向,非主線資料,新店,出口,14007,13106,15739,
108年,國3南向,非主線資料,安坑,進口,31739,28311,30564,
108年,國3南向,非主線資料,安坑,出口,10568,9937,11678,
108年,國3南向,非主線資料,中和,進口,38371,34556,35978,
108年,國3南向,非主線資料,中和,出口,24545,23121,25526,
108年,國3南向,非主線資料,土城,進口,41724,37755,39158,
108年,國3南向,非主線資料,土城,出口,19478,16517,22128,
108年,國3南向,非主線資料,樹林,出口,14892,13138,15635,
108年,國3南向,非主線資料,三鶯,進口,19176,18273,19019,
108年,國3南向,非主線資料,三鶯,出口-1鶯歌,6788,6619,7268,
108年,國3南向,非主線資料,三鶯,出口2-三峽,8328,8324,7816,
108年,國3南向,非主線資料,鶯歌系統,進口,21234,18695,21983,
108年,國3南向,非主線資料,鶯歌系統,出口,36734,34911,41425,
108年,國3南向,非主線資料,大溪,進口1-永昌路,4368,4021,3492,
108年,國3南向,非主線資料,大溪,進口2-觀音,6488,5189,4772,
108年,國3南向,非主線資料,大溪,出口,25445,25519,26822,
108年,國3南向,非主線資料,龍潭,進口,5773,5083,4773,
108年,國3南向,非主線資料,龍潭,出口,15041,15024,15797,
108年,國3南向,非主線資料,關西,進口,5756,5141,4767,
108年,國3南向,非主線資料,關西,出口,7353,6328,4301,
108年,國3南向,非主線資料,竹林,進口,6688,5862,6817,
108年,國3南向,非主線資料,竹林,出口,15019,14442,11402,
108年,國3南向,非主線資料,寶山,進口,5500,4219,8114,
108年,國3南向,非主線資料,寶山,出口,4159,3937,5885,
108年,國3南向,非主線資料,新竹系統,進口,31079,24511,29379,
108年,國3南向,非主線資料,新竹系統,出口,21635,17912,14915,
108年,國3南向,非主線資料,茄苳,進口,6865,5360,5575,
108年,國3南向,非主線資料,茄苳,出口,10203,9779,11428,
108年,國3南向,非主線資料,香山,進口,4359,2822,4370,
108年,國3南向,非主線資料,香山,出口,8282,6617,12657,
108年,國3南向,非主線資料,西濱,出口,8353,6875,7583,
108年,國3南向,非主線資料,竹南,進口,4873,3923,3679,
108年,國3南向,非主線資料,竹南,出口,5092,4085,4669,
108年,國3南向,非主線資料,大山,進口,1653,1325,1231,
108年,國3南向,非主線資料,大山,出口,3453,2652,2945,
108年,國3南向,非主線資料,後龍,進口,3760,3768,2990,
108年,國3南向,非主線資料,後龍,出口,4828,3837,3516,
108年,國3南向,非主線資料,通霄,進口,9141,8093,5637,
108年,國3南向,非主線資料,通霄,出口,9668,7276,6178,
108年,國3南向,非主線資料,苑裡,進口,13370,11832,11584,
108年,國3南向,非主線資料,苑裡,出口,8976,6961,5695,
108年,國3南向,非主線資料,大甲,進口,11217,10516,10108,
108年,國3南向,非主線資料,大甲,出口,4219,3612,3178,
108年,國3南向,非主線資料,中港系統,進口,6775,6656,6575,
108年,國3南向,非主線資料,中港系統,出口,15548,14484,13104,
108年,國3南向,非主線資料,沙鹿,進口,13206,11342,11994,
108年,國3南向,非主線資料,沙鹿,出口,12633,10967,11095,
108年,國3南向,非主線資料,龍井,進口,14773,12489,13510,
108年,國3南向,非主線資料,龍井,出口,12663,11029,11557,
108年,國3南向,非主線資料,和美,進口,12551,11866,14281,
108年,國3南向,非主線資料,和美,出口,6315,5364,5783,
108年,國3南向,非主線資料,彰化系統,進口,12994,10907,12361,
108年,國3南向,非主線資料,彰化系統,出口,25318,20769,19461,
108年,國3南向,非主線資料,快官,進口,24246,21876,23745,
108年,國3南向,非主線資料,快官,出口,13523,12298,13148,
108年,國3南向,非主線資料,烏日,進口,5557,4140,6284,
108年,國3南向,非主線資料,烏日,出口,4397,3205,7135,
108年,國3南向,非主線資料,中投,進口,11282,9850,9779,
108年,國3南向,非主線資料,中投,出口,8022,6799,8922,
108年,國3南向,非主線資料,霧峰,進口,39508,36061,29754,
108年,國3南向,非主線資料,霧峰,出口,16853,15382,17193,
108年,國3南向,非主線資料,霧峰系統,進口,4645,6651,3412,
108年,國3南向,非主線資料,霧峰系統,出口,19761,17355,12258,
108年,國3南向,非主線資料,草屯,進口,7001,6181,5683,
108年,國3南向,非主線資料,草屯,出口,10180,9845,9373,
108年,國3南向,非主線資料,中興系統,進口,6714,6491,5324,
108年,國3南向,非主線資料,中興系統,出口,14551,13979,11620,
108年,國3南向,非主線資料,中興,進口,5667,5271,4997,
108年,國3南向,非主線資料,中興,出口,9319,8352,10321,
108年,國3南向,非主線資料,南投,進口,3192,2914,2934,
108年,國3南向,非主線資料,南投,出口,10713,9519,10617,
108年,國3南向,非主線資料,名間,進口,2484,2400,2088,
108年,國3南向,非主線資料,名間,出口,9808,8727,7043,
108年,國3南向,非主線資料,竹山,進口,3995,4792,2567,
108年,國3南向,非主線資料,竹山,出口,10160,9072,6553,
108年,國3南向,非主線資料,南雲,進口,2540,2682,1889,
108年,國3南向,非主線資料,南雲,出口,2675,2184,1943,
108年,國3南向,非主線資料,斗六,進口,4068,4108,3667,
108年,國3南向,非主線資料,斗六,出口,5492,4763,4217,
108年,國3南向,非主線資料,古坑系統,進口,3993,3942,2628,
108年,國3南向,非主線資料,古坑系統,出口,7248,7155,5262,
108年,國3南向,非主線資料,古坑,進口,1462,1631,1036,
108年,國3南向,非主線資料,古坑,出口,391,331,221,
108年,國3南向,非主線資料,梅山,進口,5057,5236,4395,
108年,國3南向,非主線資料,梅山,出口,2638,2577,2017,
108年,國3南向,非主線資料,竹崎,進口,6059,6163,5497,
108年,國3南向,非主線資料,竹崎,出口,7531,7186,5704,
108年,國3南向,非主線資料,中埔,進口,6919,8075,4711,
108年,國3南向,非主線資料,中埔,出口,6461,5977,4774,
108年,國3南向,非主線資料,水上系統,進口,3368,3638,2396,
108年,國3南向,非主線資料,水上系統,出口,7610,7554,6249,
108年,國3南向,非主線資料,白河,進口,3756,4680,2534,
108年,國3南向,非主線資料,白河,出口,3538,3506,2352,
108年,國3南向,非主線資料,柳營,進口,2776,2870,2620,
108年,國3南向,非主線資料,柳營,出口,1245,1348,852,
108年,國3南向,非主線資料,烏山頭,進口,3494,3598,2939,
108年,國3南向,非主線資料,烏山頭,出口,1249,1377,978,
108年,國3南向,非主線資料,官田系統,進口,6216,7509,4876,
108年,國3南向,非主線資料,官田系統,出口,3648,4074,2366,
108年,國3南向,非主線資料,善化,進口,3948,3482,3457,
108年,國3南向,非主線資料,善化,出口,3448,4212,3275,
108年,國3南向,非主線資料,新化系統,進口,8832,7484,7575,
108年,國3南向,非主線資料,新化系統,出口,10398,12425,7351,
108年,國3南向,非主線資料,關廟,進口,7711,7415,4582,
108年,國3南向,非主線資料,關廟,出口,8423,9488,8094,
108年,國3南向,非主線資料,田寮,進口,2959,2916,2160,
108年,國3南向,非主線資料,田寮,出口,2821,3919,2105,
108年,國3南向,非主線資料,燕巢系統,進口1-國10東,12556,10972,11828,
108年,國3南向,非主線資料,燕巢系統,進口2-國10西,1296,1450,1080,
108年,國3南向,非主線資料,燕巢系統,出口,13461,13674,8466,
108年,國3南向,非主線資料,九如,進口,2724,2514,2549,
108年,國3南向,非主線資料,九如,出口,9262,8656,7825,
108年,國3南向,非主線資料,屏東,出口,3919,3625,3421,
108年,國3南向,非主線資料,長治,進口,4384,3983,4040,
108年,國3南向,非主線資料,長治,出口,4899,4509,3784,
108年,國3南向,非主線資料,麟洛,進口,7671,6991,7063,
108年,國3南向,非主線資料,麟洛,出口,4373,3958,3891,
108年,國3南向,非主線資料,竹田系統,進口,15192,13770,10775,
108年,國3南向,非主線資料,竹田系統,出口,8773,8114,8045,
108年,國3南向,非主線資料,崁頂,出口,3845,3315,3327,
108年,國3南向,非主線資料,南州,進口,450,470,439,
108年,國3南向,非主線資料,南州,出口,16146,13838,10573,
108年,國3南向,非主線資料,林邊,出口,6251,5356,3712,
108年,國3南向,非主線資料,大鵬灣端,出口,1266,1341,778,
108年,國3北向,非主線資料,基港端,出口,5832,4451,7532,
108年,國3北向,非主線資料,基金,出口,16233,16854,12979,
108年,國3北向,非主線資料,瑪東系統,進口,3532,2981,4681,
108年,國3北向,非主線資料,瑪東系統,出口,2381,2268,1565,
108年,國3北向,非主線資料,汐止系統,進口,11581,11221,10028,
108年,國3北向,非主線資料,汐止系統,出口,30063,29189,29568,
108年,國3北向,非主線資料,新台五路,進口,9057,7874,12313,
108年,國3北向,非主線資料,新台五路,出口,15629,14684,19131,
108年,國3北向,非主線資料,南港,進口,5330,4717,6233,
108年,國3北向,非主線資料,南港,出口,14808,15029,18370,
108年,國3北向,非主線資料,南港系統,進口,18298,20345,14993,
108年,國3北向,非主線資料,南港系統,出口,15102,12785,8867,
108年,國3北向,非主線資料,南深路,出口,2746,2540,3045,
108年,國3北向,非主線資料,木柵,進口,16481,16725,18108,
108年,國3北向,非主線資料,木柵,出口,16544,14987,15911,
108年,國3北向,非主線資料,新店,進口,10573,9277,11989,
108年,國3北向,非主線資料,新店,出口,9860,8963,11100,
108年,國3北向,非主線資料,安坑,進口1-中央路/環河路,4007,3764,3959,
108年,國3北向,非主線資料,安坑,進口2-安康路,7064,6067,8187,
108年,國3北向,非主線資料,安坑,出口,27487,25959,27747,
108年,國3北向,非主線資料,中和,進口,22859,20295,23201,
108年,國3北向,非主線資料,中和,出口,36943,36646,33645,
108年,國3北向,非主線資料,土城,進口,22929,19677,23799,
108年,國3北向,非主線資料,土城,出口,45232,44732,43104,
108年,國3北向,非主線資料,樹林,進口,15395,13651,15768,
108年,國3北向,非主線資料,三鶯,進口,14006,13541,13447,
108年,國3北向,非主線資料,三鶯,出口,18791,19005,19035,
108年,國3北向,非主線資料,鶯歌系統,進口,40610,36564,41618,
108年,國3北向,非主線資料,鶯歌系統,出口,20629,21543,20591,
108年,國3北向,非主線資料,大溪,進口,24506,22429,25478,
108年,國3北向,非主線資料,大溪,出口,9275,10436,7877,
108年,國3北向,非主線資料,龍潭,進口,15276,14434,15918,
108年,國3北向,非主線資料,龍潭,出口,5342,7435,4780,
108年,國3北向,非主線資料,關西,進口,7330,8609,5161,
108年,國3北向,非主線資料,關西,出口,6874,7046,5566,
108年,國3北向,非主線資料,竹林,進口,15473,15600,11628,
108年,國3北向,非主線資料,竹林,出口,7558,7582,7136,
108年,國3北向,非主線資料,寶山,進口,3792,3727,5295,
108年,國3北向,非主線資料,寶山,出口,4149,4665,6623,
108年,國3北向,非主線資料,新竹系統,進口,18776,21475,14008,
108年,國3北向,非主線資料,新竹系統,出口,26095,28796,28572,
108年,國3北向,非主線資料,茄苳,進口,9765,8756,10372,
108年,國3北向,非主線資料,茄苳,出口,5470,5984,5300,
108年,國3北向,非主線資料,香山,進口,7855,7223,12658,
108年,國3北向,非主線資料,香山,出口,3195,3728,4158,
108年,國3北向,非主線資料,西濱,進口,6536,7199,6886,
108年,國3北向,非主線資料,竹南,進口,5011,5360,5605,
108年,國3北向,非主線資料,竹南,出口,4471,5951,3902,
108年,國3北向,非主線資料,大山,進口,9046,11790,7567,
108年,國3北向,非主線資料,大山,出口,7395,10505,5848,
108年,國3北向,非主線資料,後龍,進口,9582,12506,7745,
108年,國3北向,非主線資料,後龍,出口,9022,12129,7276,
108年,國3北向,非主線資料,通霄,進口,3376,4370,2919,
108年,國3北向,非主線資料,通霄,出口,3765,4617,2347,
108年,國3北向,非主線資料,苑裡,進口,2969,3817,2420,
108年,國3北向,非主線資料,苑裡,出口,8001,7376,8141,
108年,國3北向,非主線資料,大甲,進口,3410,3872,2963,
108年,國3北向,非主線資料,大甲,出口,11173,11022,10407,
108年,國3北向,非主線資料,中港系統,進口,14778,15512,12966,
108年,國3北向,非主線資料,中港系統,出口,6492,6347,6455,
108年,國3北向,非主線資料,沙鹿,進口,8419,8635,8321,
108年,國3北向,非主線資料,沙鹿,出口,9543,9524,9889,
108年,國3北向,非主線資料,龍井,進口,9547,9636,9628,
108年,國3北向,非主線資料,龍井,出口,10148,10712,10663,
108年,國3北向,非主線資料,和美,進口,5888,6566,5730,
108年,國3北向,非主線資料,和美,出口,12861,11787,14448,
108年,國3北向,非主線資料,彰化系統,進口,18302,22966,16226,
108年,國3北向,非主線資料,彰化系統,出口,12752,12773,12558,
108年,國3北向,非主線資料,快官,進口,13803,13746,13861,
108年,國3北向,非主線資料,快官,出口,22888,23268,23442,
108年,國3北向,非主線資料,烏日,進口,4375,3455,6908,
108年,國3北向,非主線資料,烏日,出口,5194,4929,6706,
108年,國3北向,非主線資料,中投,進口,7961,7610,8854,
108年,國3北向,非主線資料,中投,出口,12619,12222,11660,
108年,國3北向,非主線資料,霧峰,進口,14272,13773,15521,
108年,國3北向,非主線資料,霧峰,出口,30364,34408,25398,
108年,國3北向,非主線資料,霧峰系統,進口,17482,18042,13671,
108年,國3北向,非主線資料,霧峰系統,出口,6453,5471,3893,
108年,國3北向,非主線資料,草屯,進口,8211,8063,7780,
108年,國3北向,非主線資料,草屯,出口,4697,6094,4252,
108年,國3北向,非主線資料,中興系統,進口,13872,15651,11878,
108年,國3北向,非主線資料,中興系統,出口,6479,7190,5722,
108年,國3北向,非主線資料,中興,進口,9992,9683,11687,
108年,國3北向,非主線資料,中興,出口,5410,5621,5094,
108年,國3北向,非主線資料,南投,進口,10432,10037,10878,
108年,國3北向,非主線資料,南投,出口,3073,3486,3106,
108年,國3北向,非主線資料,名間,進口,8812,9983,7095,
108年,國3北向,非主線資料,名間,出口,2284,2972,1971,
108年,國3北向,非主線資料,竹山,進口,8450,10523,6501,
108年,國3北向,非主線資料,竹山,出口,4632,4481,2798,
108年,國3北向,非主線資料,南雲,進口,2507,2721,2252,
108年,國3北向,非主線資料,南雲,出口,2655,2544,1826,
108年,國3北向,非主線資料,斗六,進口,5077,5499,4158,
108年,國3北向,非主線資料,斗六,出口,3915,4100,3551,
108年,國3北向,非主線資料,古坑系統,進口,6627,8881,5226,
108年,國3北向,非主線資料,古坑系統,出口,3828,4101,2721,
108年,國3北向,非主線資料,古坑,進口,281,357,194,
108年,國3北向,非主線資料,古坑,出口,1587,1739,1052,
108年,國3北向,非主線資料,梅山,進口,2367,2893,2016,
108年,國3北向,非主線資料,梅山,出口,4980,5035,4293,
108年,國3北向,非主線資料,竹崎,進口,6965,7965,5551,
108年,國3北向,非主線資料,竹崎,出口,5966,5839,5277,
108年,國3北向,非主線資料,中埔,進口,5430,6337,4487,
108年,國3北向,非主線資料,中埔,出口,7199,7290,4538,
108年,國3北向,非主線資料,水上系統,進口,7094,7635,5765,
108年,國3北向,非主線資料,水上系統,出口,3121,3629,2076,
108年,國3北向,非主線資料,白河,進口,2766,3576,1855,
108年,國3北向,非主線資料,白河,出口,3584,4325,2043,
108年,國3北向,非主線資料,柳營,進口,1410,1692,971,
108年,國3北向,非主線資料,柳營,出口,3037,3018,2753,
108年,國3北向,非主線資料,烏山頭,進口,1222,1420,964,
108年,國3北向,非主線資料,烏山頭,出口,3477,3517,2900,
108年,國3北向,非主線資料,官田系統,進口,3483,4580,2387,
108年,國3北向,非主線資料,官田系統,出口,6197,6781,4722,
108年,國3北向,非主線資料,善化,進口,3736,3720,3245,
108年,國3北向,非主線資料,善化,出口,3523,3659,3261,
108年,國3北向,非主線資料,新化系統,進口,10962,11703,7239,
108年,國3北向,非主線資料,新化系統,出口,7536,8211,7351,
108年,國3北向,非主線資料,關廟,進口,8664,9160,7926,
108年,國3北向,非主線資料,關廟,出口,6602,8550,4411,
108年,國3北向,非主線資料,田寮,進口,2628,3404,1751,
108年,國3北向,非主線資料,田寮,出口,2874,3108,2150,
108年,國3北向,非主線資料,燕巢系統,進口1-國10西,3778,3967,2549,
108年,國3北向,非主線資料,燕巢系統,進口2-國10東,8959,8936,5176,
108年,國3北向,非主線資料,燕巢系統,出口,11554,11989,12201,
108年,國3北向,非主線資料,九如,進口,8448,9305,7631,
108年,國3北向,非主線資料,九如,出口,2896,2835,2763,
108年,國3北向,非主線資料,屏東,進口,3764,3867,3476,
108年,國3北向,非主線資料,長治,進口,4686,5277,3954,
108年,國3北向,非主線資料,長治,出口,4250,3967,3977,
108年,國3北向,非主線資料,麟洛,進口,4222,4566,4075,
108年,國3北向,非主線資料,麟洛,出口,7371,6964,6881,
108年,國3北向,非主線資料,竹田系統,進口,8596,8561,7964,
108年,國3北向,非主線資料,竹田系統,出口,12631,15494,10645,
108年,國3北向,非主線資料,崁頂,進口,3868,4107,3764,
108年,國3北向,非主線資料,南州,進口,12386,16316,10181,
