資料期別,縣市,鄉鎮市區,住宅拍賣移轉筆數
107Q1,屏東縣,來義鄉,1
107Q1,屏東縣,獅子鄉,1
107Q1,台東縣,,3
107Q1,台東縣,台東市,1
107Q1,台東縣,大武鄉,1
107Q1,台東縣,太麻里鄉,1
107Q1,花蓮縣,,6
107Q1,花蓮縣,花蓮市,2
107Q1,花蓮縣,玉里鎮,1
107Q1,花蓮縣,吉安鄉,3
107Q1,澎湖縣,,3
107Q1,澎湖縣,馬公市,1
107Q1,澎湖縣,湖西鄉,1
107Q1,澎湖縣,白沙鄉,1
107Q1,基隆市,,13
107Q1,基隆市,中正區,4
107Q1,基隆市,七堵區,1
107Q1,基隆市,暖暖區,2
107Q1,基隆市,仁愛區,3
107Q1,基隆市,中山區,1
107Q1,基隆市,安樂區,2
107Q1,新竹市,,17
107Q1,新竹市,新竹市,17
107Q1,嘉義市,,14
107Q1,嘉義市,嘉義市,14
107Q2,全國,,900
107Q2,新北市,,175
107Q2,新北市,板橋區,17
107Q2,新北市,三重區,18
107Q2,新北市,中和區,24
107Q2,新北市,永和區,12
107Q2,新北市,新莊區,13
107Q2,新北市,新店區,17
107Q2,新北市,樹林區,4
107Q2,新北市,鶯歌區,1
107Q2,新北市,三峽區,4
107Q2,新北市,淡水區,11
107Q2,新北市,汐止區,16
107Q2,新北市,瑞芳區,2
107Q2,新北市,土城區,10
107Q2,新北市,蘆洲區,6
107Q2,新北市,五股區,4
107Q2,新北市,泰山區,2
107Q2,新北市,林口區,3
107Q2,新北市,深坑區,1
107Q2,新北市,三芝區,4
107Q2,新北市,八里區,4
107Q2,新北市,金山區,1
107Q2,新北市,萬里區,1
107Q2,台北市,,93
107Q2,台北市,松山區,2
107Q2,台北市,信義區,7
107Q2,台北市,大安區,8
107Q2,台北市,中山區,11
107Q2,台北市,中正區,1
107Q2,台北市,大同區,5
107Q2,台北市,萬華區,10
107Q2,台北市,文山區,5
107Q2,台北市,南港區,4
107Q2,台北市,內湖區,8
107Q2,台北市,士林區,14
107Q2,台北市,北投區,18
107Q2,桃園市,,110
107Q2,桃園市,桃園區,25
107Q2,桃園市,中壢區,17
107Q2,桃園市,平鎮區,14
107Q2,桃園市,八德區,6
107Q2,桃園市,楊梅區,19
107Q2,桃園市,大溪區,2
107Q2,桃園市,蘆竹區,8
107Q2,桃園市,大園區,1
107Q2,桃園市,龜山區,15
107Q2,桃園市,龍潭區,3
107Q2,台中市,,77
107Q2,台中市,中區,1
107Q2,台中市,東區,4
107Q2,台中市,南區,2
107Q2,台中市,西區,2
107Q2,台中市,北區,9
107Q2,台中市,西屯區,15
107Q2,台中市,南屯區,4
107Q2,台中市,北屯區,8
107Q2,台中市,豐原區,5
107Q2,台中市,清水區,2
107Q2,台中市,后里區,3
107Q2,台中市,神岡區,1
107Q2,台中市,潭子區,4
107Q2,台中市,大雅區,2
107Q2,台中市,新社區,1
107Q2,台中市,外埔區,2
107Q2,台中市,大肚區,2
107Q2,台中市,龍井區,1
107Q2,台中市,霧峰區,4
107Q2,台中市,大里區,5
107Q2,台南市,,69
107Q2,台南市,新營區,4
107Q2,台南市,鹽水區,1
107Q2,台南市,柳營區,2
107Q2,台南市,後壁區,1
107Q2,台南市,麻豆區,3
107Q2,台南市,下營區,3
107Q2,台南市,六甲區,2
107Q2,台南市,佳里區,2
107Q2,台南市,學甲區,2
107Q2,台南市,新化區,2
107Q2,台南市,新市區,2
107Q2,台南市,安定區,2
107Q2,台南市,山上區,1
107Q2,台南市,仁德區,4
107Q2,台南市,歸仁區,2
107Q2,台南市,永康區,13
107Q2,台南市,東區,4
107Q2,台南市,南區,6
107Q2,台南市,北區,4
107Q2,台南市,安南區,5
107Q2,台南市,中西區,4
107Q2,高雄市,,111
107Q2,高雄市,鼓山區,6
107Q2,高雄市,左營區,8
107Q2,高雄市,楠梓區,9
107Q2,高雄市,三民區,13
107Q2,高雄市,新興區,3
107Q2,高雄市,苓雅區,3
107Q2,高雄市,前鎮區,4
107Q2,高雄市,小港區,4
107Q2,高雄市,鳳山區,15
107Q2,高雄市,林園區,4
107Q2,高雄市,大寮區,7
107Q2,高雄市,大樹區,1
107Q2,高雄市,大社區,7
107Q2,高雄市,仁武區,3
107Q2,高雄市,鳥松區,2
107Q2,高雄市,岡山區,5
107Q2,高雄市,橋頭區,1
107Q2,高雄市,路竹區,2
107Q2,高雄市,湖內區,2
107Q2,高雄市,茄萣區,1
107Q2,高雄市,彌陀區,2
107Q2,高雄市,梓官區,2
107Q2,高雄市,旗山區,3
107Q2,高雄市,美濃區,1
107Q2,高雄市,六龜區,1
107Q2,高雄市,杉林區,1
107Q2,高雄市,茂林區,1
107Q2,宜蘭縣,,14
107Q2,宜蘭縣,宜蘭市,2
107Q2,宜蘭縣,蘇澳鎮,1
107Q2,宜蘭縣,頭城鎮,2
107Q2,宜蘭縣,礁溪鄉,1
107Q2,宜蘭縣,員山鄉,1
107Q2,宜蘭縣,冬山鄉,2
107Q2,宜蘭縣,五結鄉,4
107Q2,宜蘭縣,三星鄉,1
107Q2,新竹縣,,22
107Q2,新竹縣,竹北市,7
107Q2,新竹縣,新埔鎮,1
107Q2,新竹縣,竹東鎮,3
107Q2,新竹縣,湖口鄉,5
107Q2,新竹縣,新豐鄉,2
107Q2,新竹縣,寶山鄉,3
107Q2,新竹縣,峨眉鄉,1
107Q2,苗栗縣,,27
107Q2,苗栗縣,苗栗市,3
107Q2,苗栗縣,苑裡鎮,2
107Q2,苗栗縣,通霄鎮,2
107Q2,苗栗縣,竹南鎮,2
107Q2,苗栗縣,頭份鎮,1
107Q2,苗栗縣,後龍鎮,2
107Q2,苗栗縣,卓蘭鎮,1
107Q2,苗栗縣,大湖鄉,13
107Q2,苗栗縣,銅鑼鄉,1
107Q2,彰化縣,,32
107Q2,彰化縣,彰化市,9
107Q2,彰化縣,和美鎮,1
107Q2,彰化縣,北斗鎮,1
107Q2,彰化縣,員林鎮,3
107Q2,彰化縣,田中鎮,1
107Q2,彰化縣,伸港鄉,2
107Q2,彰化縣,福興鄉,3
107Q2,彰化縣,秀水鄉,2
107Q2,彰化縣,花壇鄉,2
107Q2,彰化縣,埔鹽鄉,1
107Q2,彰化縣,埔心鄉,1
107Q2,彰化縣,永靖鄉,1
107Q2,彰化縣,社頭鄉,2
107Q2,彰化縣,二水鄉,1
107Q2,彰化縣,大城鄉,1
107Q2,彰化縣,溪州鄉,1
107Q2,南投縣,,19
107Q2,南投縣,南投市,2
107Q2,南投縣,埔里鎮,5
107Q2,南投縣,草屯鎮,2
107Q2,南投縣,竹山鎮,4
107Q2,南投縣,集集鎮,2
107Q2,南投縣,名間鄉,1
107Q2,南投縣,魚池鄉,1
107Q2,南投縣,水里鄉,2
107Q2,雲林縣,,29
107Q2,雲林縣,斗六市,8
107Q2,雲林縣,斗南鎮,5
107Q2,雲林縣,虎尾鎮,4
107Q2,雲林縣,北港鎮,2
107Q2,雲林縣,大埤鄉,2
107Q2,雲林縣,莿桐鄉,2
107Q2,雲林縣,林內鄉,1
107Q2,雲林縣,崙背鄉,1
107Q2,雲林縣,麥寮鄉,1
107Q2,雲林縣,台西鄉,2
107Q2,雲林縣,水林鄉,1
107Q2,嘉義縣,,8
107Q2,嘉義縣,朴子市,3
107Q2,嘉義縣,民雄鄉,1
107Q2,嘉義縣,東石鄉,1
107Q2,嘉義縣,水上鄉,2
107Q2,嘉義縣,中埔鄉,1
107Q2,屏東縣,,35
107Q2,屏東縣,屏東市,10
107Q2,屏東縣,潮州鎮,6
107Q2,屏東縣,恆春鎮,2
107Q2,屏東縣,萬丹鄉,3
107Q2,屏東縣,里港鄉,2
107Q2,屏東縣,鹽埔鄉,1
107Q2,屏東縣,高樹鄉,2
107Q2,屏東縣,萬巒鄉,1
107Q2,屏東縣,新埤鄉,2
107Q2,屏東縣,枋寮鄉,1
107Q2,屏東縣,林邊鄉,1
