年,月,縣市,行政區,店面數,土地面積,超商密度,年月
2018,3,基隆市,暖暖區,11,22.8283,0.481858,201803
2018,3,連江縣,北竿鄉,1,9.9,0.10101,201803
2018,3,連江縣,東引鄉,1,3.8,0.263158,201803
2018,3,連江縣,南竿鄉,2,10.4,0.192308,201803
2018,3,雲林縣,二崙鄉,3,59.5625,0.050367,201803
2018,3,雲林縣,口湖鄉,2,80.4612,0.024857,201803
2018,3,雲林縣,土庫鎮,3,49.0212,0.061198,201803
2018,3,雲林縣,大埤鄉,3,44.9973,0.066671,201803
2018,3,雲林縣,斗六市,29,93.7151,0.309449,201803
2018,3,雲林縣,斗南鎮,8,48.1505,0.166146,201803
2018,3,雲林縣,北港鎮,5,41.4999,0.120482,201803
2018,3,雲林縣,古坑鄉,2,166.6059,0.012004,201803
2018,3,雲林縣,四湖鄉,1,77.1189,0.012967,201803
2018,3,雲林縣,西螺鎮,11,49.7985,0.22089,201803
2018,3,雲林縣,東勢鄉,1,48.3562,0.02068,201803
2018,3,雲林縣,林內鄉,1,37.6035,0.026593,201803
2018,3,雲林縣,虎尾鎮,22,68.742,0.320037,201803
2018,3,雲林縣,崙背鄉,3,58.484,0.051296,201803
2018,3,雲林縣,麥寮鄉,8,80.1668,0.099792,201803
2018,3,雲林縣,莿桐鄉,5,50.8502,0.098328,201803
2018,3,雲林縣,臺西鄉,3,54.0983,0.055455,201803
2018,3,雲林縣,褒忠鄉,2,37.0552,0.053974,201803
2018,3,新北市,八里區,15,39.4933,0.379811,201803
2018,3,新北市,三芝區,4,65.9909,0.060614,201803
2018,3,新北市,三重區,124,16.317,7.599436,201803
2018,3,新北市,三峽區,34,191.4508,0.177591,201803
2018,3,新北市,土城區,62,29.5578,2.097585,201803
2018,3,新北市,中和區,119,20.144,5.907467,201803
2018,3,新北市,五股區,30,34.8632,0.860506,201803
2018,3,新北市,平溪區,3,71.3382,0.042053,201803
2018,3,新北市,永和區,50,5.7138,8.750744,201803
2018,3,新北市,石門區,1,51.2645,0.019507,201803
2018,3,新北市,石碇區,1,144.3498,0.006928,201803
2018,3,新北市,汐止區,65,71.2354,0.912468,201803
2018,3,新北市,坪林區,1,170.835,0.005854,201803
2018,3,新北市,林口區,40,54.1519,0.738663,201803
2018,3,新北市,板橋區,149,23.1373,6.439818,201803
2018,3,新北市,金山區,4,49.2132,0.081279,201803
2018,3,新北市,泰山區,18,19.1603,0.939443,201803
2018,3,新北市,烏來區,2,321.1306,0.006228,201803
2018,3,新北市,貢寮區,3,99.9734,0.030008,201803
2018,3,新北市,淡水區,68,70.6565,0.962403,201803
2018,3,新北市,深坑區,5,20.5787,0.24297,201803
2018,3,新北市,新店區,86,120.2255,0.715322,201803
2018,3,新北市,新莊區,97,19.7383,4.914304,201803
2018,3,新北市,瑞芳區,8,70.7336,0.1131,201803
