NULL,563,都穨,25711,11002
56,NULL,繺都穨,154507,11003
NULL,561,繺穨,126470,11003
NULL,562,理の刮刊┯穨,2280,11003
NULL,563,都穨,25757,11003
56,NULL,繺都穨,155108,11004
NULL,561,繺穨,126881,11004
NULL,562,理の刮刊┯穨,2276,11004
NULL,563,都穨,25951,11004
56,NULL,繺都穨,156086,11005
NULL,561,繺穨,127554,11005
NULL,562,理の刮刊┯穨,2283,11005
NULL,563,都穨,26249,11005
56,NULL,繺都穨,156519,11006
NULL,561,繺穨,127760,11006
NULL,562,理の刮刊┯穨,2281,11006
NULL,563,都穨,26478,11006
56,NULL,繺都穨,156768,11007
NULL,561,繺穨,127868,11007
NULL,562,理の刮刊┯穨,2275,11007
NULL,563,都穨,26625,11007
56,NULL,繺都穨,156939,11008
NULL,561,繺穨,127918,11008
NULL,562,理の刮刊┯穨,2274,11008
NULL,563,都穨,26747,11008
56,NULL,繺都穨,157305,11009
NULL,561,繺穨,128163,11009
NULL,562,理の刮刊┯穨,2261,11009
NULL,563,都穨,26881,11009
56,NULL,繺都穨,157762,11010
NULL,561,繺穨,128537,11010
NULL,562,理の刮刊┯穨,2254,11010
NULL,563,都穨,26971,11010
56,NULL,繺都穨,158611,11011
NULL,561,繺穨,129224,11011
NULL,562,理の刮刊┯穨,2252,11011
NULL,563,都穨,27135,11011
56,NULL,繺都穨,159284,11012
NULL,561,繺穨,129789,11012
NULL,562,理の刮刊┯穨,2257,11012
NULL,563,都穨,27238,11012
56,NULL,繺都穨,160138,11101
NULL,561,繺穨,130469,11101
NULL,562,理の刮刊┯穨,2255,11101
NULL,563,都穨,27414,11101
56,NULL,繺都穨,160067,11102
NULL,561,繺穨,130451,11102
NULL,562,理の刮刊┯穨,2250,11102
NULL,563,都穨,27366,11102
NULL,NULL,NULL,NULL,NULL
