年,月,縣市,行政區,店面數,土地面積,超商密度
2018,1,高雄市,梓官區,4,11.5967,0.344926
2018,1,高雄市,鳥松區,13,24.5927,0.528612
2018,1,高雄市,湖內區,2,20.1615,0.099199
2018,1,高雄市,新興區,14,1.9764,7.083586
2018,1,高雄市,楠梓區,34,25.8276,1.316421
2018,1,高雄市,路竹區,11,48.4348,0.227109
2018,1,高雄市,鼓山區,36,14.7523,2.440297
2018,1,高雄市,旗山區,3,94.6122,0.031708
2018,1,高雄市,旗津區,2,1.7341,1.153336
2018,1,高雄市,鳳山區,69,26.759,2.578572
2018,1,高雄市,橋頭區,5,25.9379,0.192768
2018,1,高雄市,燕巢區,4,65.395,0.061167
2018,1,高雄市,彌陀區,1,14.7772,0.067672
2018,1,高雄市,鹽埕區,8,1.4161,5.649318
2018,1,基隆市,七堵區,19,56.2659,0.337682
2018,1,基隆市,中山區,12,10.5238,1.140273
2018,1,基隆市,中正區,19,10.2118,1.860593
2018,1,基隆市,仁愛區,21,4.2335,4.960435
2018,1,基隆市,安樂區,22,18.025,1.220527
2018,1,基隆市,信義區,11,10.6706,1.03087
2018,1,基隆市,暖暖區,11,22.8283,0.481858
2018,1,連江縣,北竿鄉,1,9.9,0.10101
2018,1,連江縣,東引鄉,1,3.8,0.263158
2018,1,連江縣,南竿鄉,2,10.4,0.192308
2018,1,雲林縣,二崙鄉,3,59.5625,0.050367
2018,1,雲林縣,口湖鄉,2,80.4612,0.024857
2018,1,雲林縣,土庫鎮,3,49.0212,0.061198
2018,1,雲林縣,大埤鄉,3,44.9973,0.066671
2018,1,雲林縣,斗六市,28,93.7151,0.298778
2018,1,雲林縣,斗南鎮,7,48.1505,0.145378
2018,1,雲林縣,北港鎮,5,41.4999,0.120482
2018,1,雲林縣,古坑鄉,2,166.6059,0.012004
2018,1,雲林縣,四湖鄉,1,77.1189,0.012967
2018,1,雲林縣,西螺鎮,10,49.7985,0.200809
2018,1,雲林縣,東勢鄉,1,48.3562,0.02068
2018,1,雲林縣,林內鄉,1,37.6035,0.026593
2018,1,雲林縣,虎尾鎮,21,68.742,0.30549
2018,1,雲林縣,崙背鄉,3,58.484,0.051296
2018,1,雲林縣,麥寮鄉,8,80.1668,0.099792
2018,1,雲林縣,莿桐鄉,5,50.8502,0.098328
2018,1,雲林縣,臺西鄉,3,54.0983,0.055455
2018,1,雲林縣,褒忠鄉,2,37.0552,0.053974
2018,1,新北市,八里區,15,39.4933,0.379811
2018,1,新北市,三芝區,4,65.9909,0.060614
2018,1,新北市,三重區,123,16.317,7.538151
2018,1,新北市,三峽區,33,191.4508,0.172368
2018,1,新北市,土城區,60,29.5578,2.029921
2018,1,新北市,中和區,118,20.144,5.857824
2018,1,新北市,五股區,29,34.8632,0.831823
2018,1,新北市,平溪區,3,71.3382,0.042053
2018,1,新北市,永和區,49,5.7138,8.575729
2018,1,新北市,石門區,1,51.2645,0.019507
2018,1,新北市,石碇區,1,144.3498,0.006928
2018,1,新北市,汐止區,64,71.2354,0.89843
2018,1,新北市,坪林區,1,170.835,0.005854
2018,1,新北市,林口區,39,54.1519,0.720196
2018,1,新北市,板橋區,146,23.1373,6.310157
2018,1,新北市,金山區,4,49.2132,0.081279
2018,1,新北市,泰山區,18,19.1603,0.939443
2018,1,新北市,烏來區,2,321.1306,0.006228
2018,1,新北市,貢寮區,3,99.9734,0.030008
2018,1,新北市,淡水區,68,70.6565,0.962403
2018,1,新北市,深坑區,5,20.5787,0.24297
2018,1,新北市,新店區,83,120.2255,0.690369
2018,1,新北市,新莊區,94,19.7383,4.762315
2018,1,新北市,瑞芳區,8,70.7336,0.1131
2018,1,新北市,萬里區,2,63.3766,0.031557
2018,1,新北市,樹林區,45,33.1288,1.358335
