年,月,縣市,行政區,店面數,土地面積,超商密度
2018,1,臺南市,新營區,8,38.5386,0.207584
2018,1,臺南市,楠西區,1,109.6316,0.009121
2018,1,臺南市,學甲區,4,53.9919,0.074085
2018,1,臺南市,歸仁區,4,55.7913,0.071696
2018,1,臺南市,關廟區,6,53.6413,0.111854
2018,1,臺南市,鹽水區,4,52.2455,0.076562
2018,1,澎湖縣,七美鄉,1,6.9868,0.143127
2018,1,澎湖縣,西嶼鄉,2,18.7148,0.106867
2018,1,澎湖縣,馬公市,11,33.9918,0.323607
2018,1,澎湖縣,湖西鄉,3,33.3008,0.090088
2018,2,宜蘭縣,三星鄉,2,144.2238,0.013867
2018,2,宜蘭縣,五結鄉,9,38.8671,0.231558
2018,2,宜蘭縣,冬山鄉,6,79.8573,0.075134
2018,2,宜蘭縣,壯圍鄉,2,38.4769,0.051979
2018,2,宜蘭縣,宜蘭市,37,29.408,1.258161
2018,2,宜蘭縣,南澳鄉,2,740.652,0.0027
2018,2,宜蘭縣,員山鄉,1,111.9106,0.008936
2018,2,宜蘭縣,頭城鎮,6,100.893,0.059469
2018,2,宜蘭縣,礁溪鄉,5,101.4278,0.049296
2018,2,宜蘭縣,羅東鎮,27,11.3448,2.379945
2018,2,宜蘭縣,蘇澳鎮,10,89.0196,0.112335
2018,2,花蓮縣,玉里鎮,4,252.3719,0.01585
2018,2,花蓮縣,光復鄉,2,157.11,0.01273
2018,2,花蓮縣,吉安鄉,8,65.2582,0.12259
2018,2,花蓮縣,秀林鄉,3,1641.86,0.001827
2018,2,花蓮縣,花蓮市,24,29.4095,0.816063
2018,2,花蓮縣,新城鄉,3,29.4095,0.102008
2018,2,花蓮縣,瑞穗鄉,1,135.5862,0.007375
2018,2,花蓮縣,壽豐鄉,4,218.4448,0.018311
2018,2,花蓮縣,鳳林鎮,2,120.5181,0.016595
2018,2,金門縣,金沙鎮,1,41.19,0.024278
2018,2,金門縣,金城鎮,4,21.713,0.184221
2018,2,金門縣,金湖鎮,4,41.696,0.095932
2018,2,金門縣,金寧鄉,3,29.854,0.100489
2018,2,南投縣,仁愛鄉,5,1273.53,0.003926
2018,2,南投縣,水里鄉,2,106.8424,0.018719
2018,2,南投縣,名間鄉,3,83.0955,0.036103
2018,2,南投縣,竹山鎮,8,247.3339,0.032345
2018,2,南投縣,信義鄉,1,1422.42,0.000703
2018,2,南投縣,南投市,17,71.6021,0.237423
2018,2,南投縣,埔里鎮,24,162.2227,0.147945
2018,2,南投縣,草屯鎮,13,104.0327,0.124961
2018,2,南投縣,國姓鄉,2,175.7042,0.011383
2018,2,南投縣,魚池鄉,6,121.3735,0.049434
2018,2,南投縣,鹿谷鄉,4,141.8981,0.028189
2018,2,南投縣,集集鎮,2,49.7268,0.04022
2018,2,屏東縣,九如鄉,6,42.0187,0.142794
2018,2,屏東縣,三地門鄉,1,196.3965,0.005092
2018,2,屏東縣,內埔鄉,16,81.8554,0.195467
2018,2,屏東縣,車城鄉,4,49.8517,0.080238
2018,2,屏東縣,里港鄉,2,68.9208,0.029019
2018,2,屏東縣,佳冬鄉,3,30.9842,0.096824
2018,2,屏東縣,枋山鄉,2,17.2697,0.11581
2018,2,屏東縣,枋寮鄉,5,57.7347,0.086603
2018,2,屏東縣,東港鎮,8,29.4635,0.271522
2018,2,屏東縣,林邊鄉,2,15.6233,0.128014
2018,2,屏東縣,長治鄉,7,39.8861,0.1755
2018,2,屏東縣,南州鄉,2,18.97,0.10543
2018,2,屏東縣,屏東市,35,65.067,0.537907
2018,2,屏東縣,恆春鎮,9,136.763,0.065807
2018,2,屏東縣,崁頂鄉,2,31.2659,0.063967
2018,2,屏東縣,琉球鄉,1,6.8018,0.14702
2018,2,屏東縣,高樹鄉,2,90.1522,0.022185
2018,2,屏東縣,新埤鄉,2,59.0102,0.033892
2018,2,屏東縣,新園鄉,5,38.3109,0.130511
2018,2,屏東縣,萬丹鄉,9,57.4679,0.156609
2018,2,屏東縣,萬巒鄉,3,60.7315,0.049398
2018,2,屏東縣,潮州鎮,11,42.4331,0.259232
2018,2,屏東縣,麟洛鄉,1,16.26,0.061501
2018,2,屏東縣,鹽埔鄉,4,64.3493,0.062161
2018,2,苗栗縣,三義鄉,3,69.3424,0.043264
2018,2,苗栗縣,三灣鄉,2,52.2964,0.038244
2018,2,苗栗縣,大湖鄉,4,90.8396,0.044034
2018,2,苗栗縣,公館鄉,6,71.4523,0.083972
2018,2,苗栗縣,竹南鎮,25,37.5592,0.665616
2018,2,苗栗縣,卓蘭鎮,4,76.3153,0.052414
2018,2,苗栗縣,南庄鄉,2,165.4938,0.012085
2018,2,苗栗縣,後龍鎮,8,75.8079,0.10553
2018,2,苗栗縣,苗栗市,26,37.8878,0.686237
2018,2,苗栗縣,苑裡鎮,8,68.2473,0.117221
2018,2,苗栗縣,泰安鄉,2,614.5127,0.003255
2018,2,苗栗縣,通霄鎮,1,107.8486,0.009272
2018,2,苗栗縣,造橋鄉,1,47.9978,0.020834
2018,2,苗栗縣,銅鑼鄉,2,78.3805,0.025517
2018,2,苗栗縣,頭份市,32,53.3205,0.600144
2018,2,苗栗縣,頭屋鄉,2,52.5046,0.038092
2018,2,桃園市,八德區,57,33.7111,1.690838
2018,2,桃園市,大園區,25,87.3925,0.286066
2018,2,桃園市,大溪區,18,105.1206,0.171232
2018,2,桃園市,中壢區,119,76.52,1.555149
2018,2,桃園市,平鎮區,53,47.7532,1.109873
2018,2,桃園市,桃園區,107,34.8046,3.074306
2018,2,桃園市,新屋區,12,85.0166,0.141149
2018,2,桃園市,楊梅區,41,89.1229,0.460039
2018,2,桃園市,龍潭區,37,75.2341,0.491798
2018,2,桃園市,龜山區,55,72.0177,0.763701
2018,2,桃園市,蘆竹區,58,75.5025,0.768186
2018,2,桃園市,觀音區,14,87.9807,0.159126
2018,2,高雄市,三民區,58,19.7866,2.931277
2018,2,高雄市,大社區,5,26.5848,0.188077
2018,2,高雄市,大寮區,24,71.04,0.337838
2018,2,高雄市,大樹區,7,66.9811,0.104507
2018,2,高雄市,小港區,19,45.4426,0.41811
2018,2,高雄市,仁武區,25,36.0808,0.692889
2018,2,高雄市,內門區,2,95.6224,0.020916
2018,2,高雄市,六龜區,1,194.1584,0.00515
2018,2,高雄市,左營區,36,19.3823,1.857365
2018,2,高雄市,永安區,1,22.6141,0.04422
2018,2,高雄市,甲仙區,1,124.034,0.008062
2018,2,高雄市,杉林區,2,104.0036,0.01923
2018,2,高雄市,岡山區,24,47.9421,0.500604
2018,2,高雄市,林園區,12,32.286,0.371678
2018,2,高雄市,阿蓮區,2,34.6164,0.057776
2018,2,高雄市,前金區,13,1.8573,6.999408
2018,2,高雄市,前鎮區,28,19.1207,1.464381
2018,2,高雄市,美濃區,5,120.0316,0.041656
2018,2,高雄市,茄萣區,5,15.7624,0.317211
2018,2,高雄市,苓雅區,40,8.1522,4.906651
2018,2,高雄市,梓官區,5,11.5967,0.431157
2018,2,高雄市,鳥松區,13,24.5927,0.528612
2018,2,高雄市,湖內區,2,20.1615,0.099199
2018,2,高雄市,新興區,14,1.9764,7.083586
2018,2,高雄市,楠梓區,35,25.8276,1.355139
2018,2,高雄市,路竹區,11,48.4348,0.227109
2018,2,高雄市,鼓山區,36,14.7523,2.440297
2018,2,高雄市,旗山區,3,94.6122,0.031708
2018,2,高雄市,旗津區,2,1.7341,1.153336
2018,2,高雄市,鳳山區,69,26.759,2.578572
2018,2,高雄市,橋頭區,5,25.9379,0.192768
2018,2,高雄市,燕巢區,4,65.395,0.061167
2018,2,高雄市,彌陀區,1,14.7772,0.067672
2018,2,高雄市,鹽埕區,8,1.4161,5.649318
2018,2,基隆市,七堵區,19,56.2659,0.337682
2018,2,基隆市,中山區,12,10.5238,1.140273
2018,2,基隆市,中正區,19,10.2118,1.860593
2018,2,基隆市,仁愛區,21,4.2335,4.960435
2018,2,基隆市,安樂區,22,18.025,1.220527
2018,2,基隆市,信義區,11,10.6706,1.03087
2018,2,基隆市,暖暖區,11,22.8283,0.481858
2018,2,連江縣,北竿鄉,1,9.9,0.10101
2018,2,連江縣,東引鄉,1,3.8,0.263158
2018,2,連江縣,南竿鄉,2,10.4,0.192308
2018,2,雲林縣,二崙鄉,3,59.5625,0.050367
2018,2,雲林縣,口湖鄉,2,80.4612,0.024857
2018,2,雲林縣,土庫鎮,3,49.0212,0.061198
2018,2,雲林縣,大埤鄉,3,44.9973,0.066671
2018,2,雲林縣,斗六市,29,93.7151,0.309449
2018,2,雲林縣,斗南鎮,7,48.1505,0.145378
2018,2,雲林縣,北港鎮,5,41.4999,0.120482
2018,2,雲林縣,古坑鄉,2,166.6059,0.012004
2018,2,雲林縣,四湖鄉,1,77.1189,0.012967
2018,2,雲林縣,西螺鎮,10,49.7985,0.200809
2018,2,雲林縣,東勢鄉,1,48.3562,0.02068
2018,2,雲林縣,林內鄉,1,37.6035,0.026593
2018,2,雲林縣,虎尾鎮,21,68.742,0.30549
2018,2,雲林縣,崙背鄉,3,58.484,0.051296
2018,2,雲林縣,麥寮鄉,8,80.1668,0.099792
2018,2,雲林縣,莿桐鄉,5,50.8502,0.098328
2018,2,雲林縣,臺西鄉,3,54.0983,0.055455
2018,2,雲林縣,褒忠鄉,2,37.0552,0.053974
2018,2,新北市,八里區,15,39.4933,0.379811
2018,2,新北市,三芝區,4,65.9909,0.060614
2018,2,新北市,三重區,123,16.317,7.538151
2018,2,新北市,三峽區,33,191.4508,0.172368
2018,2,新北市,土城區,60,29.5578,2.029921
2018,2,新北市,中和區,118,20.144,5.857824
2018,2,新北市,五股區,30,34.8632,0.860506
2018,2,新北市,平溪區,3,71.3382,0.042053
2018,2,新北市,永和區,49,5.7138,8.575729
2018,2,新北市,石門區,1,51.2645,0.019507
2018,2,新北市,石碇區,1,144.3498,0.006928
2018,2,新北市,汐止區,64,71.2354,0.89843
2018,2,新北市,坪林區,1,170.835,0.005854
2018,2,新北市,林口區,40,54.1519,0.738663
2018,2,新北市,板橋區,148,23.1373,6.396598
