項目別, ,營業額 (千元),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,營業額指數 (110年=100),Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31, .1
 , ,百貨公司業,超級市場業,便利商店業,零售式量販業,其他綜合商品零售業,食品、飲料及菸草製品零售業,文教育樂用品零售業,燃料及相關產品零售業,資通訊及家電設備零售業,汽機車及其零配件、用品零售業,電子購物及郵購業,餐飲業,,,,百貨公司業,超級市場業,便利商店業,零售式量販業,其他綜合商品零售業,食品、飲料及菸草製品零售業,文教育樂用品零售業,燃料及相關產品零售業,資通訊及家電設備零售業,汽機車及其零配件、用品零售業,電子購物及郵購業,餐飲業,,,, 
 , , , , , , , , , , , , , ,餐館,外燴及團膳承包業,飲料店, , , , , , , , , , , , ,餐館,外燴及團膳承包業,飲料店, 
108年,9月,26145196,17173527,27501357,17575829,12819816,25263547,5974653,21723134,20074031,55546716,19954665,62615899,49983360,3459937,9172602,91.74,88.44,96.32,90.03,143.8,114.42,93.9,104.27,87.01,93.67,60,109.21,109.11,125.15,104.74, 
108年,10月,40735723,17462625,28141572,15629490,13971282,24102362,6500604,22015184,20535036,60953362,20781030,62765102,50147349,3810580,8807173,142.87,89.89,98.51,80.02,156.64,109.11,102.11,105.62,88.96,102.74,62.45,109.43,109.42,137.78,100.53, 
108年,11月,39667129,16462176,26864042,16354276,13165899,22979442,6551185,21325228,20936808,61151187,29152558,61974827,49686463,3789413,8498951,140.12,85.35,94.72,84.33,148.68,104.78,103.65,103.04,91.35,103.81,88.24,107.99,108.35,136.93,96.95, 
108年,12月,31887817,17036628,27528509,18060078,13760158,24715293,7580201,22987682,18910313,68814193,25595438,70188995,56242103,3936450,10010442,112.57,88.27,97,93.07,155.29,112.62,119.86,111.01,82.46,116.75,77.42,122.29,122.63,142.23,114.18, 
109年,1月,33297062,18568282,30181690,24414066,13863991,25355521,7463726,22416761,22272440,59634696,24647217,79687845,65582073,4023692,10082080,118.08,96.64,106.82,126.38,157.16,116.06,118.54,108.74,97.56,101.63,74.89,138.43,142.58,144.96,114.66, 
109年,2月,21169573,17177413,25004897,16634597,9853865,19383561,5953602,18815441,18959048,44593813,24742484,55891678,45717136,2391432,7783110,75.55,89.97,89.06,86.66,112.41,89.29,95.16,91.85,83.57,76.48,75.66,97.01,99.31,86.08,88.44, 
109年,3月,19450138,20185349,26909220,18792338,9135934,19789743,5663799,17295774,18936411,55977704,25738666,50489651,39356650,2905495,8227506,69.99,106.61,96.65,98.72,105.1,91.92,91.29,85.14,84.17,96.81,79.36,87.65,85.5,104.6,93.5, 
109年,4月,23506679,17932756,26417326,15806028,8573235,19301847,6271128,13465694,19073870,53018232,24118468,46515258,36266902,3023251,7225105,84.82,94.97,95.14,83.25,98.89,89.9,101.35,66.46,85.01,91.94,74.57,80.69,78.73,108.76,82.05, 
109年,5月,27447425,17663126,28800988,18037839,9416004,20291588,6902045,15155338,20715747,54278605,25823850,59913418,48631839,3123644,8157935,99.17,93.67,103.86,95.14,108.76,94.63,111.69,74.9,92.45,94.25,79.95,103.92,105.57,112.36,92.64, 
109年,6月,25253193,17155111,29596427,16927791,9095940,21042230,6777316,17459575,19983382,62180632,25173090,61546374,49459709,2981133,9105532,90.08,89.82,105.38,88.15,103.73,96.89,108.28,85.19,88.05,106.6,76.94,106.74,107.35,107.22,103.39, 
109年,7月,28687618,18345434,34279833,18800907,10591568,21234441,7915800,19582380,23349328,69010860,25137838,66966678,54463200,2948937,9554541,102.44,96.15,122.18,98,120.9,97.87,126.6,95.65,102.99,118.43,76.91,116.1,118.17,106.02,108.44, 
109年,8月,28899869,20518317,32251096,22045874,11343008,23493091,8289374,19312936,22259531,57056545,26171283,70726646,58527127,2518605,9680914,102.92,107.25,114.64,114.61,129.14,107.99,132.22,94.08,97.92,97.66,79.86,122.5,126.87,90.47,109.78, 
109年,9月,28708746,18254490,28909368,17568974,9736728,27094446,6788623,18619350,19462330,58271052,23699015,62274227,49971415,2851438,9451374,102.12,95.3,102.63,91.22,110.72,124.4,108.15,90.59,85.51,99.61,72.23,107.84,108.3,102.4,107.15, 
109年,10月,46915401,18702288,29264242,17285812,9908944,23763879,6950810,18098069,19533554,61429522,24408108,64199770,52358124,3114595,8727051,166.61,97.48,103.73,89.61,112.49,108.93,110.56,87.91,85.68,104.84,74.27,111.06,113.36,111.74,98.84, 
109年,11月,39560254,17219552,29039224,17552133,8611342,21655859,7441112,17693788,21486065,68842556,36775041,62363155,50167802,3316933,8878420,140.95,90.04,103.26,91.29,98.08,99.59,118.74,86.23,94.56,117.88,112.27,107.85,108.58,118.97,100.53, 
109年,12月,33287034,18297599,29078085,19018805,9439479,23344399,7847383,19375624,21763234,64906304,31517569,69406494,55384040,3521711,10500743,118.53,95.63,103.35,98.86,107.46,107.3,125.16,94.38,95.73,111.08,96.17,120.02,119.86,126.3,118.88, 
110年,1月,31342189,18372017,29874334,23015806,9674522,24825822,7474698,20379085,23746813,77233476,33816137,67262489,53989204,3186173,10087112,110.85,95.37,105.46,118.83,109.38,113.33,118.41,98.59,103.74,131.28,102.48,116.22,116.75,114.17,114.11, 
110年,2月,31865603,17069442,28070800,19258278,8781507,22664446,7652777,18460283,20303525,44987207,27619771,68355101,56769648,2100541,9484912,113.46,89.2,99.76,100.1,99.96,104.16,122.04,89.91,89.3,76.98,84.27,118.04,122.69,75.23,107.23, 
110年,3月,26429860,16360574,28641880,17173927,10525099,20317331,7144210,21258816,19904655,68940673,30436788,62633958,49930296,2867018,9836644,94.03,85.43,101.71,89.19,119.7,93.3,113.84,103.46,87.47,117.88,92.78,108.12,107.86,102.63,111.16, 
110年,4月,35183430,16313128,28230533,16650191,11013338,20099935,7319887,20899299,21797041,59985636,28869857,63227411,50434433,3288812,9504166,123.93,84.34,99.25,85.61,124.02,91.39,115.48,100.7,94.84,101.55,87.13,108.95,108.77,117.53,107.22, 
110年,5月,19711209,23845867,29631052,18573275,9180349,20129491,5505372,19319556,25008821,58242980,34821065,48217427,38544858,2675471,6997098,69.01,122.52,103.54,94.92,102.74,90.96,86.32,92.52,108.15,97.99,104.45,83.02,83.06,95.54,78.87, 
110年,6月,8916613,22606695,27023519,18090389,5983535,19600309,4168471,16914056,23285645,48383758,36017906,36917524,28942257,2111862,5863405,31.1,115.73,94.08,92.11,66.72,88.24,65.12,80.7,100.32,81.1,107.64,63.8,62.59,75.68,66.33, 
110年,7月,15358197,21776495,28715924,20396160,7128785,20315238,4915610,20299614,24231665,62278033,33180190,40866510,32460984,2027254,6378272,53.39,111.1,99.63,103.49,79.22,91.15,76.53,96.52,104.04,104.04,98.82,70.61,70.2,72.64,72.15, 
110年,8月,23485119,22454663,27596003,22801342,8648642,22573639,5834152,21816202,22036900,54935443,32938254,52498181,42030292,2043878,8424011,80.85,113.46,94.82,114.59,95.18,100.31,89.96,102.74,93.71,90.89,97.16,90.34,90.52,72.94,94.9, 
110年,9月,25202995,19041519,28265162,19842948,8773473,24621212,5764759,22024490,22398430,62769806,29794338,55597291,43030248,2942664,9624379,86.88,96.34,97.25,99.85,96.68,109.55,89,103.85,95.37,103.99,88,95.42,92.43,104.74,108.14, 
110年,10月,47290351,19898605,30639436,20664524,9414572,23730067,7222487,23931038,27568966,57017913,32267274,64810794,52142089,3246438,9422267,161.77,99.9,104.61,103.19,102.95,104.78,110.66,111.98,116.49,93.74,94.58,110.91,111.68,115.22,105.57, 
110年,11月,42830755,18139051,29550425,19776449,8973294,23292351,6849674,23181890,25943967,61739477,46811429,64513108,51212403,3509794,9790911,145.95,90.72,100.51,98.37,97.75,102.45,104.54,108.06,109.2,101.11,136.68,109.68,108.97,123.75,108.98, 
