日期,年,月,日,農曆,屬性,值
2018/1/23,2018,1,23,初七,白肉雞(1.75-1.95Kg),30.5
2018/1/23,2018,1,23,初七,白肉雞(門市價高屏),32
2018/1/23,2018,1,23,初七,雞蛋(大運輸價),28.5
2018/1/24,2018,1,24,初八,白肉雞(2.0Kg以上),30.8
2018/1/24,2018,1,24,初八,白肉雞(1.75-1.95Kg),30.8
2018/1/24,2018,1,24,初八,白肉雞(門市價高屏),32.3
2018/1/24,2018,1,24,初八,雞蛋(大運輸價),28.5
2018/1/25,2018,1,25,初九,白肉雞(2.0Kg以上),30.8
2018/1/25,2018,1,25,初九,白肉雞(1.75-1.95Kg),30.8
2018/1/25,2018,1,25,初九,白肉雞(門市價高屏),32.3
2018/1/25,2018,1,25,初九,雞蛋(大運輸價),28.5
2018/1/26,2018,1,26,初十,白肉雞(2.0Kg以上),30.8
2018/1/26,2018,1,26,初十,白肉雞(1.75-1.95Kg),30.8
2018/1/26,2018,1,26,初十,白肉雞(門市價高屏),32.3
2018/1/26,2018,1,26,初十,雞蛋(大運輸價),28.5
2018/1/27,2018,1,27,十一,白肉雞(2.0Kg以上),30.8
2018/1/27,2018,1,27,十一,白肉雞(1.75-1.95Kg),30.8
2018/1/27,2018,1,27,十一,白肉雞(門市價高屏),32.3
2018/1/27,2018,1,27,十一,雞蛋(大運輸價),28.5
2018/1/28,2018,1,28,十二,白肉雞(2.0Kg以上),30.8
2018/1/28,2018,1,28,十二,白肉雞(1.75-1.95Kg),30.8
2018/1/28,2018,1,28,十二,白肉雞(門市價高屏),32.3
2018/1/28,2018,1,28,十二,雞蛋(大運輸價),28.5
2018/1/29,2018,1,29,十三,白肉雞(2.0Kg以上),30.8
2018/1/29,2018,1,29,十三,白肉雞(1.75-1.95Kg),30.8
2018/1/29,2018,1,29,十三,白肉雞(門市價高屏),32.3
2018/1/29,2018,1,29,十三,雞蛋(大運輸價),28.5
2018/1/30,2018,1,30,十四,白肉雞(2.0Kg以上),30.8
2018/1/30,2018,1,30,十四,白肉雞(1.75-1.95Kg),30.8
2018/1/30,2018,1,30,十四,白肉雞(門市價高屏),32.3
2018/1/30,2018,1,30,十四,雞蛋(大運輸價),26.5
2018/1/31,2018,1,31,十三,白肉雞(2.0Kg以上),30.8
2018/1/31,2018,1,31,十三,白肉雞(1.75-1.95Kg),30.8
2018/1/31,2018,1,31,十三,白肉雞(門市價高屏),32.3
2018/1/31,2018,1,31,十三,雞蛋(大運輸價),26.5
2018/2/1,2018,2,1,十六,白肉雞(2.0Kg以上),30.8
2018/2/1,2018,2,1,十六,白肉雞(1.75-1.95Kg),30.8
2018/2/1,2018,2,1,十六,白肉雞(門市價高屏),32.3
2018/2/1,2018,2,1,十六,雞蛋(大運輸價),26.5
2018/2/2,2018,2,2,十七,白肉雞(2.0Kg以上),30.8
2018/2/2,2018,2,2,十七,白肉雞(1.75-1.95Kg),30.8
2018/2/2,2018,2,2,十七,白肉雞(門市價高屏),32.3
2018/2/2,2018,2,2,十七,雞蛋(大運輸價),26.5
2018/2/3,2018,2,3,十八,白肉雞(2.0Kg以上),30.8
2018/2/3,2018,2,3,十八,白肉雞(1.75-1.95Kg),30.8
2018/2/3,2018,2,3,十八,白肉雞(門市價高屏),32.3
2018/2/3,2018,2,3,十八,雞蛋(大運輸價),26.5
2018/2/4,2018,2,4,立春,白肉雞(2.0Kg以上),30.8
2018/2/4,2018,2,4,立春,白肉雞(1.75-1.95Kg),30.8
2018/2/4,2018,2,4,立春,白肉雞(門市價高屏),32.3
2018/2/4,2018,2,4,立春,雞蛋(大運輸價),26.5
2018/2/5,2018,2,5,二十,白肉雞(2.0Kg以上),31
2018/2/5,2018,2,5,二十,白肉雞(1.75-1.95Kg),31
2018/2/5,2018,2,5,二十,白肉雞(門市價高屏),32.5
2018/2/5,2018,2,5,二十,雞蛋(大運輸價),26.5
2018/2/6,2018,2,6,廿一,白肉雞(2.0Kg以上),31
2018/2/6,2018,2,6,廿一,白肉雞(1.75-1.95Kg),31
2018/2/6,2018,2,6,廿一,白肉雞(門市價高屏),32.5
2018/2/6,2018,2,6,廿一,雞蛋(大運輸價),23.5
2018/2/7,2018,2,7,廿二,白肉雞(2.0Kg以上),31
2018/2/7,2018,2,7,廿二,白肉雞(1.75-1.95Kg),31
2018/2/7,2018,2,7,廿二,白肉雞(門市價高屏),32.5
2018/2/7,2018,2,7,廿二,雞蛋(大運輸價),20.5
2018/2/8,2018,2,8,廿三,白肉雞(2.0Kg以上),31
2018/2/8,2018,2,8,廿三,白肉雞(1.75-1.95Kg),31
2018/2/8,2018,2,8,廿三,白肉雞(門市價高屏),32.5
2018/2/8,2018,2,8,廿三,雞蛋(大運輸價),20.5
2018/2/9,2018,2,9,廿四,白肉雞(2.0Kg以上),31
2018/2/9,2018,2,9,廿四,白肉雞(1.75-1.95Kg),31
2018/2/9,2018,2,9,廿四,白肉雞(門市價高屏),32.5
2018/2/9,2018,2,9,廿四,雞蛋(大運輸價),20.5
2018/2/10,2018,2,10,廿五,白肉雞(2.0Kg以上),31
2018/2/10,2018,2,10,廿五,白肉雞(1.75-1.95Kg),31
2018/2/10,2018,2,10,廿五,白肉雞(門市價高屏),32.5
2018/2/10,2018,2,10,廿五,雞蛋(大運輸價),20.5
2018/2/11,2018,2,11,廿六,白肉雞(2.0Kg以上),31
2018/2/11,2018,2,11,廿六,白肉雞(1.75-1.95Kg),31
2018/2/11,2018,2,11,廿六,白肉雞(門市價高屏),32.5
2018/2/11,2018,2,11,廿六,雞蛋(大運輸價),20.5
2018/2/12,2018,2,12,廿七,白肉雞(2.0Kg以上),31
2018/2/12,2018,2,12,廿七,白肉雞(1.75-1.95Kg),31
2018/2/12,2018,2,12,廿七,白肉雞(門市價高屏),32.5
2018/2/12,2018,2,12,廿七,雞蛋(大運輸價),20.5
2018/2/13,2018,2,13,廿八,白肉雞(2.0Kg以上),31
2018/2/13,2018,2,13,廿八,白肉雞(1.75-1.95Kg),31
2018/2/13,2018,2,13,廿八,白肉雞(門市價高屏),32.5
2018/2/13,2018,2,13,廿八,雞蛋(大運輸價),20.5
2018/2/14,2018,2,14,廿九,白肉雞(2.0Kg以上),
2018/2/14,2018,2,14,廿九,白肉雞(1.75-1.95Kg),
2018/2/14,2018,2,14,廿九,白肉雞(門市價高屏),
2018/2/14,2018,2,14,廿九,雞蛋(大運輸價),20.5
2018/2/15,2018,2,15,除夕,白肉雞(2.0Kg以上),
2018/2/15,2018,2,15,除夕,白肉雞(1.75-1.95Kg),
2018/2/15,2018,2,15,除夕,白肉雞(門市價高屏),
2018/2/15,2018,2,15,除夕,雞蛋(大運輸價),20.5
2018/2/16,2018,2,16,正月,白肉雞(2.0Kg以上),
2018/2/16,2018,2,16,正月,白肉雞(1.75-1.95Kg),
2018/2/16,2018,2,16,正月,白肉雞(門市價高屏),
2018/2/16,2018,2,16,正月,雞蛋(大運輸價),20.5
2018/2/17,2018,2,17,初二,白肉雞(2.0Kg以上),
2018/2/17,2018,2,17,初二,白肉雞(1.75-1.95Kg),
2018/2/17,2018,2,17,初二,白肉雞(門市價高屏),
2018/2/17,2018,2,17,初二,雞蛋(大運輸價),20.5
2018/2/18,2018,2,18,初三,白肉雞(2.0Kg以上),
2018/2/18,2018,2,18,初三,白肉雞(1.75-1.95Kg),
2018/2/18,2018,2,18,初三,白肉雞(門市價高屏),
2018/2/18,2018,2,18,初三,雞蛋(大運輸價),20.5
2018/2/19,2018,2,19,雨水,白肉雞(2.0Kg以上),
2018/2/19,2018,2,19,雨水,白肉雞(1.75-1.95Kg),
2018/2/19,2018,2,19,雨水,白肉雞(門市價高屏),
2018/2/19,2018,2,19,雨水,雞蛋(大運輸價),20.5
2018/2/20,2018,2,20,初五,白肉雞(2.0Kg以上),31.3
2018/2/20,2018,2,20,初五,白肉雞(1.75-1.95Kg),31.3
2018/2/20,2018,2,20,初五,白肉雞(門市價高屏),32.8
2018/2/20,2018,2,20,初五,雞蛋(大運輸價),20.5
2018/2/21,2018,2,21,初六,白肉雞(2.0Kg以上),31.3
2018/2/21,2018,2,21,初六,白肉雞(1.75-1.95Kg),31.3
2018/2/21,2018,2,21,初六,白肉雞(門市價高屏),32.8
2018/2/21,2018,2,21,初六,雞蛋(大運輸價),20.5
2018/2/22,2018,2,22,初七,白肉雞(2.0Kg以上),31.3
2018/2/22,2018,2,22,初七,白肉雞(1.75-1.95Kg),31.3
2018/2/22,2018,2,22,初七,白肉雞(門市價高屏),32.8
2018/2/22,2018,2,22,初七,雞蛋(大運輸價),26.5
2018/2/23,2018,2,23,初八,白肉雞(2.0Kg以上),31.3
2018/2/23,2018,2,23,初八,白肉雞(1.75-1.95Kg),31.3
2018/2/23,2018,2,23,初八,白肉雞(門市價高屏),32.8
2018/2/23,2018,2,23,初八,雞蛋(大運輸價),26.5
2018/2/24,2018,2,24,初九,白肉雞(2.0Kg以上),31.3
2018/2/24,2018,2,24,初九,白肉雞(1.75-1.95Kg),31.3
2018/2/24,2018,2,24,初九,白肉雞(門市價高屏),32.8
2018/2/24,2018,2,24,初九,雞蛋(大運輸價),26.5
2018/2/25,2018,2,25,初十,白肉雞(2.0Kg以上),31.3
2018/2/25,2018,2,25,初十,白肉雞(1.75-1.95Kg),31.3
2018/2/25,2018,2,25,初十,白肉雞(門市價高屏),32.8
2018/2/25,2018,2,25,初十,雞蛋(大運輸價),26.5
2018/2/26,2018,2,26,十一,白肉雞(2.0Kg以上),31.3
2018/2/26,2018,2,26,十一,白肉雞(1.75-1.95Kg),31.3
2018/2/26,2018,2,26,十一,白肉雞(門市價高屏),32.8
2018/2/26,2018,2,26,十一,雞蛋(大運輸價),26.5
2018/2/27,2018,2,27,十二,白肉雞(2.0Kg以上),31.3
2018/2/27,2018,2,27,十二,白肉雞(1.75-1.95Kg),31.3
2018/2/27,2018,2,27,十二,白肉雞(門市價高屏),32.8
2018/2/27,2018,2,27,十二,雞蛋(大運輸價),26.5
2018/2/28,2018,2,28,十三,白肉雞(2.0Kg以上),31.3
2018/2/28,2018,2,28,十三,白肉雞(1.75-1.95Kg),31.3
2018/2/28,2018,2,28,十三,白肉雞(門市價高屏),32.8
2018/2/28,2018,2,28,十三,雞蛋(大運輸價),26.5
