年,月,產業別,營業額(千元)
2018,12,百貨公司業,32625935
2018,12,資通訊及家電設備零售業,20122788
2018,12,超級市場業,17161073
2018,12,零售式量販業,16863382
2018,12,電子購物及郵購業,21528659
2018,12,食品、飲料及菸草製品零售業,24533062
2018,12,餐飲業_外燴及團膳承包業,3888254
2018,12,餐飲業_飲料店,9662180
2018,12,餐飲業_餐館,56091235
2019,1,便利商店業,28307520
2019,1,其他綜合商品零售業,14034844
2019,1,文教育樂用品零售業,7277465
2019,1,汽機車及其零配件、用品零售業,66510812
2019,1,燃料及相關產品零售業,21600400
2019,1,百貨公司業,27765234
2019,1,資通訊及家電設備零售業,23266079
2019,1,超級市場業,16086420
2019,1,零售式量販業,20890281
2019,1,電子購物及郵購業,23039172
2019,1,食品、飲料及菸草製品零售業,27973444
2019,1,餐飲業_外燴及團膳承包業,4019363
2019,1,餐飲業_飲料店,9368304
2019,1,餐飲業_餐館,54909175
2019,2,便利商店業,25710829
2019,2,其他綜合商品零售業,14405847
2019,2,文教育樂用品零售業,6416481
2019,2,汽機車及其零配件、用品零售業,31368290
2019,2,燃料及相關產品零售業,19315045
2019,2,百貨公司業,28401199
2019,2,資通訊及家電設備零售業,18316346
2019,2,超級市場業,15312662
2019,2,零售式量販業,16388909
2019,2,電子購物及郵購業,17932705
2019,2,食品、飲料及菸草製品零售業,21059668
2019,2,餐飲業_外燴及團膳承包業,3261811
2019,2,餐飲業_飲料店,8227284
2019,2,餐飲業_餐館,56565228
2019,3,便利商店業,26322232
2019,3,其他綜合商品零售業,13879321
2019,3,文教育樂用品零售業,6257994
2019,3,汽機車及其零配件、用品零售業,51814140
2019,3,燃料及相關產品零售業,21976619
2019,3,百貨公司業,24722761
2019,3,資通訊及家電設備零售業,19247677
2019,3,超級市場業,15698595
2019,3,零售式量販業,15675090
2019,3,電子購物及郵購業,19364845
2019,3,食品、飲料及菸草製品零售業,22535632
2019,3,餐飲業_外燴及團膳承包業,3724010
2019,3,餐飲業_飲料店,8649343
2019,3,餐飲業_餐館,51344258
2019,4,便利商店業,26398777
2019,4,其他綜合商品零售業,14818099
2019,4,文教育樂用品零售業,6157866
2019,4,汽機車及其零配件、用品零售業,54803817
2019,4,燃料及相關產品零售業,22346398
2019,4,百貨公司業,30124882
2019,4,資通訊及家電設備零售業,20169052
2019,4,超級市場業,15782987
2019,4,零售式量販業,14992878
2019,4,電子購物及郵購業,18972600
2019,4,食品、飲料及菸草製品零售業,22184788
2019,4,餐飲業_外燴及團膳承包業,3810034
2019,4,餐飲業_飲料店,8537767
2019,4,餐飲業_餐館,47955537
2019,5,便利商店業,27581786
2019,5,其他綜合商品零售業,15401532
2019,5,文教育樂用品零售業,6284251
2019,5,汽機車及其零配件、用品零售業,57176987
2019,5,燃料及相關產品零售業,23453171
2019,5,百貨公司業,29263010
2019,5,資通訊及家電設備零售業,20291009
2019,5,超級市場業,16460538
2019,5,零售式量販業,15893290
2019,5,電子購物及郵購業,20568248
2019,5,食品、飲料及菸草製品零售業,23623306
2019,5,餐飲業_外燴及團膳承包業,3975316
2019,5,餐飲業_飲料店,8687719
2019,5,餐飲業_餐館,53030753
2019,6,便利商店業,28016613
2019,6,其他綜合商品零售業,14265676
2019,6,文教育樂用品零售業,6077841
2019,6,汽機車及其零配件、用品零售業,58308749
2019,6,燃料及相關產品零售業,23200791
2019,6,百貨公司業,25701701
2019,6,資通訊及家電設備零售業,19460191
2019,6,超級市場業,16223119
2019,6,零售式量販業,16518215
2019,6,電子購物及郵購業,19925447
2019,6,食品、飲料及菸草製品零售業,21711817
2019,6,餐飲業_外燴及團膳承包業,3860574
2019,6,餐飲業_飲料店,8797858
2019,6,餐飲業_餐館,53837725
2019,7,便利商店業,29040900
2019,7,其他綜合商品零售業,14255932
2019,7,文教育樂用品零售業,6536651
2019,7,汽機車及其零配件、用品零售業,69307703
2019,7,燃料及相關產品零售業,23109333
2019,7,百貨公司業,25974139
2019,7,資通訊及家電設備零售業,21926887
2019,7,超級市場業,17405420
2019,7,零售式量販業,17506009
2019,7,電子購物及郵購業,20157698
2019,7,食品、飲料及菸草製品零售業,22497177
2019,7,餐飲業_外燴及團膳承包業,3443960
2019,7,餐飲業_飲料店,9204899
2019,7,餐飲業_餐館,54655020
2019,8,便利商店業,28658054
2019,8,其他綜合商品零售業,14459136
2019,8,文教育樂用品零售業,6553328
2019,8,汽機車及其零配件、用品零售業,42325614
2019,8,燃料及相關產品零售業,22649735
2019,8,百貨公司業,26394920
2019,8,資通訊及家電設備零售業,20247287
2019,8,超級市場業,19904855
2019,8,零售式量販業,20600130
2019,8,電子購物及郵購業,21049254
2019,8,食品、飲料及菸草製品零售業,25321000
2019,8,餐飲業_外燴及團膳承包業,3578035
2019,8,餐飲業_飲料店,9520767
2019,8,餐飲業_餐館,56910133
2019,9,便利商店業,27501357
2019,9,其他綜合商品零售業,12819816
2019,9,文教育樂用品零售業,5974653
2019,9,汽機車及其零配件、用品零售業,55546716
2019,9,燃料及相關產品零售業,21723134
2019,9,百貨公司業,26145196
2019,9,資通訊及家電設備零售業,20074031
2019,9,超級市場業,17173527
2019,9,零售式量販業,17575829
2019,9,電子購物及郵購業,19954665
2019,9,食品、飲料及菸草製品零售業,25263547
2019,9,餐飲業_外燴及團膳承包業,3459937
2019,9,餐飲業_飲料店,9172602
2019,9,餐飲業_餐館,49983360
2019,10,便利商店業,28141572
2019,10,其他綜合商品零售業,13971282
2019,10,文教育樂用品零售業,6500604
2019,10,汽機車及其零配件、用品零售業,60953362
2019,10,燃料及相關產品零售業,22015184
2019,10,百貨公司業,40735723
2019,10,資通訊及家電設備零售業,20535036
2019,10,超級市場業,17462625
2019,10,零售式量販業,15629490
2019,10,電子購物及郵購業,20781030
2019,10,食品、飲料及菸草製品零售業,24102362
2019,10,餐飲業_外燴及團膳承包業,3810580
2019,10,餐飲業_飲料店,8807173
2019,10,餐飲業_餐館,50147349
2019,11,便利商店業,26864042
2019,11,其他綜合商品零售業,13165899
2019,11,文教育樂用品零售業,6551185
2019,11,汽機車及其零配件、用品零售業,61151187
2019,11,燃料及相關產品零售業,21325228
2019,11,百貨公司業,39667129
2019,11,資通訊及家電設備零售業,20936808
2019,11,超級市場業,16462176
2019,11,零售式量販業,16354276
2019,11,電子購物及郵購業,29152558
2019,11,食品、飲料及菸草製品零售業,22979442
2019,11,餐飲業_外燴及團膳承包業,3789413
2019,11,餐飲業_飲料店,8498951
2019,11,餐飲業_餐館,49686463
2019,12,便利商店業,27528509
2019,12,其他綜合商品零售業,13760158
2019,12,文教育樂用品零售業,7580201
2019,12,汽機車及其零配件、用品零售業,68814193
