年月,年,月,分類,營業而(千元)
2021/3/1,2021,2026/3/1,外燴及團膳承包業,2867018
2021/3/1,2021,2026/3/1,飲料店,9836644
2021/4/1,2021,2026/4/1,餐館,50434433
2021/4/1,2021,2026/4/1,外燴及團膳承包業,3288812
2021/4/1,2021,2026/4/1,飲料店,9504166
2021/5/1,2021,2026/5/1,餐館,38544858
2021/5/1,2021,2026/5/1,外燴及團膳承包業,2675471
2021/5/1,2021,2026/5/1,飲料店,6997098
2021/6/1,2021,2026/6/1,餐館,28942257
2021/6/1,2021,2026/6/1,外燴及團膳承包業,2111862
2021/6/1,2021,2026/6/1,飲料店,5863405
2021/7/1,2021,2026/7/1,餐館,32460984
2021/7/1,2021,2026/7/1,外燴及團膳承包業,2027254
2021/7/1,2021,2026/7/1,飲料店,6378272
2021/8/1,2021,2026/8/1,餐館,42030292
2021/8/1,2021,2026/8/1,外燴及團膳承包業,2043878
2021/8/1,2021,2026/8/1,飲料店,8424011
2021/9/1,2021,2026/9/1,餐館,43030248
2021/9/1,2021,2026/9/1,外燴及團膳承包業,2942664
2021/9/1,2021,2026/9/1,飲料店,9624379
2021/10/1,2021,2026/10/1,餐館,52142089
2021/10/1,2021,2026/10/1,外燴及團膳承包業,3246438
2021/10/1,2021,2026/10/1,飲料店,9422267
2021/11/1,2021,2026/11/1,餐館,51212403
2021/11/1,2021,2026/11/1,外燴及團膳承包業,3509794
2021/11/1,2021,2026/11/1,飲料店,9790911
2021/12/1,2021,2026/12/1,餐館,58896737
2021/12/1,2021,2026/12/1,外燴及團膳承包業,3708977
2021/12/1,2021,2026/12/1,飲料店,11333467
2022/1/1,2022,2026/1/1,餐館,59236816
2022/1/1,2022,2026/1/1,外燴及團膳承包業,3238024
2022/1/1,2022,2026/1/1,飲料店,10400616
2022/2/1,2022,2026/2/1,餐館,57281245
2022/2/1,2022,2026/2/1,外燴及團膳承包業,2276259
2022/2/1,2022,2026/2/1,飲料店,9175640
2022/3/1,2022,2026/3/1,餐館,54067401
2022/3/1,2022,2026/3/1,外燴及團膳承包業,3119998
2022/3/1,2022,2026/3/1,飲料店,9936024
2022/4/1,2022,2026/4/1,餐館,47650583
2022/4/1,2022,2026/4/1,外燴及團膳承包業,3221103
2022/4/1,2022,2026/4/1,飲料店,8924961
2022/5/1,2022,2026/5/1,餐館,44264983
2022/5/1,2022,2026/5/1,外燴及團膳承包業,2711098
2022/5/1,2022,2026/5/1,飲料店,8497761
2022/6/1,2022,2026/6/1,餐館,47498431
2022/6/1,2022,2026/6/1,外燴及團膳承包業,3010049
2022/6/1,2022,2026/6/1,飲料店,9176215
2022/7/1,2022,2026/7/1,餐館,59808375
2022/7/1,2022,2026/7/1,外燴及團膳承包業,2669830
2022/7/1,2022,2026/7/1,飲料店,10180980
2022/8/1,2022,2026/8/1,餐館,61276264
2022/8/1,2022,2026/8/1,外燴及團膳承包業,2824388
2022/8/1,2022,2026/8/1,飲料店,11383758
2022/9/1,2022,2026/9/1,餐館,55729434
2022/9/1,2022,2026/9/1,外燴及團膳承包業,3725161
2022/9/1,2022,2026/9/1,飲料店,9996280
2022/10/1,2022,2026/10/1,餐館,60094298
2022/10/1,2022,2026/10/1,外燴及團膳承包業,4008530
2022/10/1,2022,2026/10/1,飲料店,9888000
2022/11/1,2022,2026/11/1,餐館,58078583
2022/11/1,2022,2026/11/1,外燴及團膳承包業,4340121
2022/11/1,2022,2026/11/1,飲料店,10138277
2022/12/1,2022,2026/12/1,餐館,67872315
2022/12/1,2022,2026/12/1,外燴及團膳承包業,4779536
2022/12/1,2022,2026/12/1,飲料店,11720838
2023/1/1,2023,2026/1/1,餐館,81377077
2023/1/1,2023,2026/1/1,外燴及團膳承包業,4311770
2023/1/1,2023,2026/1/1,飲料店,11828394
2023/2/1,2023,2026/2/1,餐館,62444638
2023/2/1,2023,2026/2/1,外燴及團膳承包業,3795785
2023/2/1,2023,2026/2/1,飲料店,9325595
2023/3/1,2023,2026/3/1,餐館,60302733
2023/3/1,2023,2026/3/1,外燴及團膳承包業,4604682
2023/3/1,2023,2026/3/1,飲料店,10380248
2023/4/1,2023,2026/4/1,餐館,64930173
2023/4/1,2023,2026/4/1,外燴及團膳承包業,4666953
2023/4/1,2023,2026/4/1,飲料店,9836927
2023/5/1,2023,2026/5/1,餐館,66237895
2023/5/1,2023,2026/5/1,外燴及團膳承包業,4871458
2023/5/1,2023,2026/5/1,飲料店,10425460
2023/6/1,2023,2026/6/1,餐館,65722862
2023/6/1,2023,2026/6/1,外燴及團膳承包業,5150638
2023/6/1,2023,2026/6/1,飲料店,10552347
2023/7/1,2023,2026/7/1,餐館,71877031
2023/7/1,2023,2026/7/1,外燴及團膳承包業,4576435
2023/7/1,2023,2026/7/1,飲料店,11082484
2023/8/1,2023,2026/8/1,餐館,71708485
2023/8/1,2023,2026/8/1,外燴及團膳承包業,4414190
2023/8/1,2023,2026/8/1,飲料店,11286463
2023/9/1,2023,2026/9/1,餐館,65403862
2023/9/1,2023,2026/9/1,外燴及團膳承包業,4821258
2023/9/1,2023,2026/9/1,飲料店,10987030
2023/10/1,2023,2026/10/1,餐館,67524017
2023/10/1,2023,2026/10/1,外燴及團膳承包業,5394236
2023/10/1,2023,2026/10/1,飲料店,10502008
2023/11/1,2023,2026/11/1,餐館,63449102
2023/11/1,2023,2026/11/1,外燴及團膳承包業,5613024
2023/11/1,2023,2026/11/1,飲料店,10608309
2023/12/1,2023,2026/12/1,餐館,74203589
2023/12/1,2023,2026/12/1,外燴及團膳承包業,5942216
2023/12/1,2023,2026/12/1,飲料店,11761303
2024/1/1,2024,2026/1/1,餐館,72521662
2024/1/1,2024,2026/1/1,外燴及團膳承包業,5637787
2024/1/1,2024,2026/1/1,飲料店,11618789
2024/2/1,2024,2026/2/1,餐館,76552225
2024/2/1,2024,2026/2/1,外燴及團膳承包業,4260029
2024/2/1,2024,2026/2/1,飲料店,10383421
2024/3/1,2024,2026/3/1,餐館,67186637
2024/3/1,2024,2026/3/1,外燴及團膳承包業,5138358
2024/3/1,2024,2026/3/1,飲料店,10834029
2024/4/1,2024,2026/4/1,餐館,63507650
2024/4/1,2024,2026/4/1,外燴及團膳承包業,5660980
2024/4/1,2024,2026/4/1,飲料店,10806124
2024/5/1,2024,2026/5/1,餐館,67765636
2024/5/1,2024,2026/5/1,外燴及團膳承包業,5810734
2024/5/1,2024,2026/5/1,飲料店,11091987
2024/6/1,2024,2026/6/1,餐館,70039677
2024/6/1,2024,2026/6/1,外燴及團膳承包業,5705793
