年,月,居住地,年齡層,性別,旅客數
2023,7,美洲地區(Americas),1-12歲,女,3944
2023,8,美洲地區(Americas),1-12歲,女,2654
2023,9,美洲地區(Americas),1-12歲,女,757
2023,10,美洲地區(Americas),1-12歲,女,531
2023,11,美洲地區(Americas),1-12歲,女,430
2023,12,美洲地區(Americas),1-12歲,女,806
2024,1,美洲地區(Americas),1-12歲,女,1437
2024,2,美洲地區(Americas),1-12歲,女,1166
2024,3,美洲地區(Americas),1-12歲,女,760
2024,4,美洲地區(Americas),1-12歲,女,800
2024,5,美洲地區(Americas),1-12歲,女,577
2024,6,美洲地區(Americas),1-12歲,女,2394
2024,7,美洲地區(Americas),1-12歲,女,3926
2024,8,美洲地區(Americas),1-12歲,女,2705
2024,9,美洲地區(Americas),1-12歲,女,681
2024,10,美洲地區(Americas),1-12歲,女,514
2024,11,美洲地區(Americas),1-12歲,女,509
2024,12,美洲地區(Americas),1-12歲,女,1018
2025,1,美洲地區(Americas),1-12歲,女,2138
2025,2,美洲地區(Americas),1-12歲,女,793
2025,3,美洲地區(Americas),1-12歲,女,771
2025,4,美洲地區(Americas),1-12歲,女,834
2025,5,美洲地區(Americas),1-12歲,女,669
2025,6,美洲地區(Americas),1-12歲,女,2303
2025,7,美洲地區(Americas),1-12歲,女,3850
2025,8,美洲地區(Americas),1-12歲,女,2617
2025,9,美洲地區(Americas),1-12歲,女,708
2025,10,美洲地區(Americas),1-12歲,女,715
2025,11,美洲地區(Americas),1-12歲,女,552
2025,12,美洲地區(Americas),1-12歲,女,1053
2026,1,美洲地區(Americas),1-12歲,女,1593
2019,1,美洲地區(Americas),13-19歲,男,2140
2019,2,美洲地區(Americas),13-19歲,男,623
2019,3,美洲地區(Americas),13-19歲,男,666
2019,4,美洲地區(Americas),13-19歲,男,449
2019,5,美洲地區(Americas),13-19歲,男,544
2019,6,美洲地區(Americas),13-19歲,男,1949
2019,7,美洲地區(Americas),13-19歲,男,3272
2019,8,美洲地區(Americas),13-19歲,男,3129
2019,9,美洲地區(Americas),13-19歲,男,787
2019,10,美洲地區(Americas),13-19歲,男,283
2019,11,美洲地區(Americas),13-19歲,男,125
2019,12,美洲地區(Americas),13-19歲,男,403
2020,1,美洲地區(Americas),13-19歲,男,2216
2020,2,美洲地區(Americas),13-19歲,男,349
2020,3,美洲地區(Americas),13-19歲,男,62
2020,4,美洲地區(Americas),13-19歲,男,9
2020,5,美洲地區(Americas),13-19歲,男,6
2020,6,美洲地區(Americas),13-19歲,男,25
2020,7,美洲地區(Americas),13-19歲,男,130
2020,8,美洲地區(Americas),13-19歲,男,599
2020,9,美洲地區(Americas),13-19歲,男,216
2020,10,美洲地區(Americas),13-19歲,男,63
2020,11,美洲地區(Americas),13-19歲,男,47
2020,12,美洲地區(Americas),13-19歲,男,60
2021,1,美洲地區(Americas),13-19歲,男,186
2021,2,美洲地區(Americas),13-19歲,男,52
2021,3,美洲地區(Americas),13-19歲,男,57
2021,4,美洲地區(Americas),13-19歲,男,60
2021,5,美洲地區(Americas),13-19歲,男,64
2021,6,美洲地區(Americas),13-19歲,男,473
2021,7,美洲地區(Americas),13-19歲,男,650
2021,8,美洲地區(Americas),13-19歲,男,1262
2021,9,美洲地區(Americas),13-19歲,男,254
2021,10,美洲地區(Americas),13-19歲,男,26
2021,11,美洲地區(Americas),13-19歲,男,18
2021,12,美洲地區(Americas),13-19歲,男,90
2022,1,美洲地區(Americas),13-19歲,男,168
2022,2,美洲地區(Americas),13-19歲,男,36
2022,3,美洲地區(Americas),13-19歲,男,60
2022,4,美洲地區(Americas),13-19歲,男,152
2022,5,美洲地區(Americas),13-19歲,男,101
2022,6,美洲地區(Americas),13-19歲,男,481
2022,7,美洲地區(Americas),13-19歲,男,1118
2022,8,美洲地區(Americas),13-19歲,男,2233
2022,9,美洲地區(Americas),13-19歲,男,551
2022,10,美洲地區(Americas),13-19歲,男,104
2022,11,美洲地區(Americas),13-19歲,男,108
2022,12,美洲地區(Americas),13-19歲,男,350
2023,1,美洲地區(Americas),13-19歲,男,1425
2023,2,美洲地區(Americas),13-19歲,男,153
2023,3,美洲地區(Americas),13-19歲,男,506
2023,4,美洲地區(Americas),13-19歲,男,363
2023,5,美洲地區(Americas),13-19歲,男,228
2023,6,美洲地區(Americas),13-19歲,男,1591
2023,7,美洲地區(Americas),13-19歲,男,3448
2023,8,美洲地區(Americas),13-19歲,男,2910
2023,9,美洲地區(Americas),13-19歲,男,749
2023,10,美洲地區(Americas),13-19歲,男,164
2023,11,美洲地區(Americas),13-19歲,男,155
2023,12,美洲地區(Americas),13-19歲,男,316
2024,1,美洲地區(Americas),13-19歲,男,1599
2024,2,美洲地區(Americas),13-19歲,男,649
2024,3,美洲地區(Americas),13-19歲,男,559
2024,4,美洲地區(Americas),13-19歲,男,541
2024,5,美洲地區(Americas),13-19歲,男,308
2024,6,美洲地區(Americas),13-19歲,男,2045
2024,7,美洲地區(Americas),13-19歲,男,3340
2024,8,美洲地區(Americas),13-19歲,男,3322
2024,9,美洲地區(Americas),13-19歲,男,670
2024,10,美洲地區(Americas),13-19歲,男,172
2024,11,美洲地區(Americas),13-19歲,男,153
2024,12,美洲地區(Americas),13-19歲,男,401
2025,1,美洲地區(Americas),13-19歲,男,2257
2025,2,美洲地區(Americas),13-19歲,男,441
2025,3,美洲地區(Americas),13-19歲,男,645
2025,4,美洲地區(Americas),13-19歲,男,569
2025,5,美洲地區(Americas),13-19歲,男,432
2025,6,美洲地區(Americas),13-19歲,男,1829
2025,7,美洲地區(Americas),13-19歲,男,3570
2025,8,美洲地區(Americas),13-19歲,男,3377
2025,9,美洲地區(Americas),13-19歲,男,640
2025,10,美洲地區(Americas),13-19歲,男,278
2025,11,美洲地區(Americas),13-19歲,男,275
2025,12,美洲地區(Americas),13-19歲,男,530
2026,1,美洲地區(Americas),13-19歲,男,1959
2019,1,美洲地區(Americas),13-19歲,女,1997
2019,2,美洲地區(Americas),13-19歲,女,604
2019,3,美洲地區(Americas),13-19歲,女,435
2019,4,美洲地區(Americas),13-19歲,女,462
2019,5,美洲地區(Americas),13-19歲,女,481
2019,6,美洲地區(Americas),13-19歲,女,2056
2019,7,美洲地區(Americas),13-19歲,女,3442
2019,8,美洲地區(Americas),13-19歲,女,3074
2019,9,美洲地區(Americas),13-19歲,女,916
2019,10,美洲地區(Americas),13-19歲,女,330
2019,11,美洲地區(Americas),13-19歲,女,143
2019,12,美洲地區(Americas),13-19歲,女,403
2020,1,美洲地區(Americas),13-19歲,女,2063
2020,2,美洲地區(Americas),13-19歲,女,359
2020,3,美洲地區(Americas),13-19歲,女,54
2020,4,美洲地區(Americas),13-19歲,女,6
2020,5,美洲地區(Americas),13-19歲,女,11
2020,6,美洲地區(Americas),13-19歲,女,31
2020,7,美洲地區(Americas),13-19歲,女,129
2020,8,美洲地區(Americas),13-19歲,女,531
2020,9,美洲地區(Americas),13-19歲,女,214
2020,10,美洲地區(Americas),13-19歲,女,60
2020,11,美洲地區(Americas),13-19歲,女,50
2020,12,美洲地區(Americas),13-19歲,女,80
2021,1,美洲地區(Americas),13-19歲,女,176
2021,2,美洲地區(Americas),13-19歲,女,73
2021,3,美洲地區(Americas),13-19歲,女,76
2021,4,美洲地區(Americas),13-19歲,女,58
2021,5,美洲地區(Americas),13-19歲,女,91
2021,6,美洲地區(Americas),13-19歲,女,488
2021,7,美洲地區(Americas),13-19歲,女,753
2021,8,美洲地區(Americas),13-19歲,女,1134
2021,9,美洲地區(Americas),13-19歲,女,263
2021,10,美洲地區(Americas),13-19歲,女,40
2021,11,美洲地區(Americas),13-19歲,女,18
2021,12,美洲地區(Americas),13-19歲,女,85
2022,1,美洲地區(Americas),13-19歲,女,169
2022,2,美洲地區(Americas),13-19歲,女,45
2022,3,美洲地區(Americas),13-19歲,女,35
2022,4,美洲地區(Americas),13-19歲,女,72
2022,5,美洲地區(Americas),13-19歲,女,82
2022,6,美洲地區(Americas),13-19歲,女,493
2022,7,美洲地區(Americas),13-19歲,女,1209
2022,8,美洲地區(Americas),13-19歲,女,2296
2022,9,美洲地區(Americas),13-19歲,女,548
2022,10,美洲地區(Americas),13-19歲,女,101
2022,11,美洲地區(Americas),13-19歲,女,122
2022,12,美洲地區(Americas),13-19歲,女,512
2023,1,美洲地區(Americas),13-19歲,女,1533
2023,2,美洲地區(Americas),13-19歲,女,164
2023,3,美洲地區(Americas),13-19歲,女,382
2023,4,美洲地區(Americas),13-19歲,女,324
2023,5,美洲地區(Americas),13-19歲,女,224
2023,6,美洲地區(Americas),13-19歲,女,1738
2023,7,美洲地區(Americas),13-19歲,女,3719
2023,8,美洲地區(Americas),13-19歲,女,3011
2023,9,美洲地區(Americas),13-19歲,女,778
2023,10,美洲地區(Americas),13-19歲,女,186
2023,11,美洲地區(Americas),13-19歲,女,148
2023,12,美洲地區(Americas),13-19歲,女,353
2024,1,美洲地區(Americas),13-19歲,女,1668
2024,2,美洲地區(Americas),13-19歲,女,561
2024,3,美洲地區(Americas),13-19歲,女,408
2024,4,美洲地區(Americas),13-19歲,女,563
2024,5,美洲地區(Americas),13-19歲,女,266
2024,6,美洲地區(Americas),13-19歲,女,2208
2024,7,美洲地區(Americas),13-19歲,女,3579
2024,8,美洲地區(Americas),13-19歲,女,3306
2024,9,美洲地區(Americas),13-19歲,女,736
2024,10,美洲地區(Americas),13-19歲,女,169
2024,11,美洲地區(Americas),13-19歲,女,184
2024,12,美洲地區(Americas),13-19歲,女,420
2025,1,美洲地區(Americas),13-19歲,女,2233
2025,2,美洲地區(Americas),13-19歲,女,443
2025,3,美洲地區(Americas),13-19歲,女,530
2025,4,美洲地區(Americas),13-19歲,女,465
2025,5,美洲地區(Americas),13-19歲,女,360
2025,6,美洲地區(Americas),13-19歲,女,1984
2025,7,美洲地區(Americas),13-19歲,女,3568
2025,8,美洲地區(Americas),13-19歲,女,3404
2025,9,美洲地區(Americas),13-19歲,女,659
2025,10,美洲地區(Americas),13-19歲,女,272
2025,11,美洲地區(Americas),13-19歲,女,267
2025,12,美洲地區(Americas),13-19歲,女,500
2026,1,美洲地區(Americas),13-19歲,女,1987
2019,1,美洲地區(Americas),20-29歲,男,5529
2019,2,美洲地區(Americas),20-29歲,男,2774
2019,3,美洲地區(Americas),20-29歲,男,2601
2019,4,美洲地區(Americas),20-29歲,男,1973
2019,5,美洲地區(Americas),20-29歲,男,2610
2019,6,美洲地區(Americas),20-29歲,男,2865
2019,7,美洲地區(Americas),20-29歲,男,2906
2019,8,美洲地區(Americas),20-29歲,男,4883
2019,9,美洲地區(Americas),20-29歲,男,4055
2019,10,美洲地區(Americas),20-29歲,男,2574
2019,11,美洲地區(Americas),20-29歲,男,2139
2019,12,美洲地區(Americas),20-29歲,男,2513
2020,1,美洲地區(Americas),20-29歲,男,6571
2020,2,美洲地區(Americas),20-29歲,男,2371
2020,3,美洲地區(Americas),20-29歲,男,613
2020,4,美洲地區(Americas),20-29歲,男,29
2020,5,美洲地區(Americas),20-29歲,男,126
2020,6,美洲地區(Americas),20-29歲,男,274
2020,7,美洲地區(Americas),20-29歲,男,418
2020,8,美洲地區(Americas),20-29歲,男,1291
2020,9,美洲地區(Americas),20-29歲,男,660
2020,10,美洲地區(Americas),20-29歲,男,268
2020,11,美洲地區(Americas),20-29歲,男,245
2020,12,美洲地區(Americas),20-29歲,男,353
2021,1,美洲地區(Americas),20-29歲,男,1088
2021,2,美洲地區(Americas),20-29歲,男,452
2021,3,美洲地區(Americas),20-29歲,男,395
2021,4,美洲地區(Americas),20-29歲,男,335
2021,5,美洲地區(Americas),20-29歲,男,418
2021,6,美洲地區(Americas),20-29歲,男,983
2021,7,美洲地區(Americas),20-29歲,男,1424
2021,8,美洲地區(Americas),20-29歲,男,3505
2021,9,美洲地區(Americas),20-29歲,男,998
2021,10,美洲地區(Americas),20-29歲,男,400
2021,11,美洲地區(Americas),20-29歲,男,209
2021,12,美洲地區(Americas),20-29歲,男,455
2022,1,美洲地區(Americas),20-29歲,男,1016
2022,2,美洲地區(Americas),20-29歲,男,487
2022,3,美洲地區(Americas),20-29歲,男,437
2022,4,美洲地區(Americas),20-29歲,男,483
2022,5,美洲地區(Americas),20-29歲,男,634
2022,6,美洲地區(Americas),20-29歲,男,1199
2022,7,美洲地區(Americas),20-29歲,男,1648
2022,8,美洲地區(Americas),20-29歲,男,3793
2022,9,美洲地區(Americas),20-29歲,男,2196
2022,10,美洲地區(Americas),20-29歲,男,1120
2022,11,美洲地區(Americas),20-29歲,男,1012
2022,12,美洲地區(Americas),20-29歲,男,1524
2023,1,美洲地區(Americas),20-29歲,男,4406
2023,2,美洲地區(Americas),20-29歲,男,1505
2023,3,美洲地區(Americas),20-29歲,男,1541
2023,4,美洲地區(Americas),20-29歲,男,1282
2023,5,美洲地區(Americas),20-29歲,男,1822
2023,6,美洲地區(Americas),20-29歲,男,2714
2023,7,美洲地區(Americas),20-29歲,男,2807
2023,8,美洲地區(Americas),20-29歲,男,4827
2023,9,美洲地區(Americas),20-29歲,男,3072
2023,10,美洲地區(Americas),20-29歲,男,2108
2023,11,美洲地區(Americas),20-29歲,男,1522
2023,12,美洲地區(Americas),20-29歲,男,2021
2024,1,美洲地區(Americas),20-29歲,男,5002
2024,2,美洲地區(Americas),20-29歲,男,2326
2024,3,美洲地區(Americas),20-29歲,男,1905
2024,4,美洲地區(Americas),20-29歲,男,1825
2024,5,美洲地區(Americas),20-29歲,男,2217
2024,6,美洲地區(Americas),20-29歲,男,2920
2024,7,美洲地區(Americas),20-29歲,男,3251
2024,8,美洲地區(Americas),20-29歲,男,5440
2024,9,美洲地區(Americas),20-29歲,男,2964
2024,10,美洲地區(Americas),20-29歲,男,1889
2024,11,美洲地區(Americas),20-29歲,男,1706
2024,12,美洲地區(Americas),20-29歲,男,2329
2025,1,美洲地區(Americas),20-29歲,男,5899
2025,2,美洲地區(Americas),20-29歲,男,2187
2025,3,美洲地區(Americas),20-29歲,男,2232
2025,4,美洲地區(Americas),20-29歲,男,1891
2025,5,美洲地區(Americas),20-29歲,男,2239
2025,6,美洲地區(Americas),20-29歲,男,3074
2025,7,美洲地區(Americas),20-29歲,男,3013
2025,8,美洲地區(Americas),20-29歲,男,5502
2025,9,美洲地區(Americas),20-29歲,男,3298
2025,10,美洲地區(Americas),20-29歲,男,2382
2025,11,美洲地區(Americas),20-29歲,男,1740
2025,12,美洲地區(Americas),20-29歲,男,2517
2026,1,美洲地區(Americas),20-29歲,男,5546
2019,1,美洲地區(Americas),20-29歲,女,6317
2019,2,美洲地區(Americas),20-29歲,女,3745
2019,3,美洲地區(Americas),20-29歲,女,3400
2019,4,美洲地區(Americas),20-29歲,女,2654
2019,5,美洲地區(Americas),20-29歲,女,3776
2019,6,美洲地區(Americas),20-29歲,女,4242
2019,7,美洲地區(Americas),20-29歲,女,3735
2019,8,美洲地區(Americas),20-29歲,女,5523
2019,9,美洲地區(Americas),20-29歲,女,5202
2019,10,美洲地區(Americas),20-29歲,女,4001
2019,11,美洲地區(Americas),20-29歲,女,2743
2019,12,美洲地區(Americas),20-29歲,女,3733
2020,1,美洲地區(Americas),20-29歲,女,7609
2020,2,美洲地區(Americas),20-29歲,女,3282
2020,3,美洲地區(Americas),20-29歲,女,871
2020,4,美洲地區(Americas),20-29歲,女,33
2020,5,美洲地區(Americas),20-29歲,女,139
2020,6,美洲地區(Americas),20-29歲,女,261
2020,7,美洲地區(Americas),20-29歲,女,496
2020,8,美洲地區(Americas),20-29歲,女,1225
2020,9,美洲地區(Americas),20-29歲,女,636
2020,10,美洲地區(Americas),20-29歲,女,305
2020,11,美洲地區(Americas),20-29歲,女,341
2020,12,美洲地區(Americas),20-29歲,女,473
2021,1,美洲地區(Americas),20-29歲,女,1101
2021,2,美洲地區(Americas),20-29歲,女,499
2021,3,美洲地區(Americas),20-29歲,女,490
2021,4,美洲地區(Americas),20-29歲,女,390
2021,5,美洲地區(Americas),20-29歲,女,567
2021,6,美洲地區(Americas),20-29歲,女,1289
2021,7,美洲地區(Americas),20-29歲,女,1783
2021,8,美洲地區(Americas),20-29歲,女,3515
2021,9,美洲地區(Americas),20-29歲,女,984
2021,10,美洲地區(Americas),20-29歲,女,518
2021,11,美洲地區(Americas),20-29歲,女,248
2021,12,美洲地區(Americas),20-29歲,女,552
2022,1,美洲地區(Americas),20-29歲,女,1043
2022,2,美洲地區(Americas),20-29歲,女,574
2022,3,美洲地區(Americas),20-29歲,女,498
2022,4,美洲地區(Americas),20-29歲,女,567
2022,5,美洲地區(Americas),20-29歲,女,768
2022,6,美洲地區(Americas),20-29歲,女,1800
2022,7,美洲地區(Americas),20-29歲,女,2051
2022,8,美洲地區(Americas),20-29歲,女,4153
2022,9,美洲地區(Americas),20-29歲,女,2409
2022,10,美洲地區(Americas),20-29歲,女,1326
2022,11,美洲地區(Americas),20-29歲,女,1281
2022,12,美洲地區(Americas),20-29歲,女,2165
2023,1,美洲地區(Americas),20-29歲,女,5254
2023,2,美洲地區(Americas),20-29歲,女,1793
2023,3,美洲地區(Americas),20-29歲,女,1941
2023,4,美洲地區(Americas),20-29歲,女,1617
2023,5,美洲地區(Americas),20-29歲,女,2264
2023,6,美洲地區(Americas),20-29歲,女,3891
2023,7,美洲地區(Americas),20-29歲,女,3210
2023,8,美洲地區(Americas),20-29歲,女,5031
2023,9,美洲地區(Americas),20-29歲,女,3713
2023,10,美洲地區(Americas),20-29歲,女,2491
2023,11,美洲地區(Americas),20-29歲,女,1722
2023,12,美洲地區(Americas),20-29歲,女,2596
2024,1,美洲地區(Americas),20-29歲,女,5246
2024,2,美洲地區(Americas),20-29歲,女,2678
2024,3,美洲地區(Americas),20-29歲,女,2277
2024,4,美洲地區(Americas),20-29歲,女,1980
2024,5,美洲地區(Americas),20-29歲,女,2471
2024,6,美洲地區(Americas),20-29歲,女,3926
2024,7,美洲地區(Americas),20-29歲,女,3533
2024,8,美洲地區(Americas),20-29歲,女,5709
2024,9,美洲地區(Americas),20-29歲,女,3283
2024,10,美洲地區(Americas),20-29歲,女,2411
2024,11,美洲地區(Americas),20-29歲,女,1922
2024,12,美洲地區(Americas),20-29歲,女,3111
2025,1,美洲地區(Americas),20-29歲,女,6372
2025,2,美洲地區(Americas),20-29歲,女,2280
2025,3,美洲地區(Americas),20-29歲,女,2498
2025,4,美洲地區(Americas),20-29歲,女,1919
2025,5,美洲地區(Americas),20-29歲,女,2653
2025,6,美洲地區(Americas),20-29歲,女,3965
2025,7,美洲地區(Americas),20-29歲,女,3467
2025,8,美洲地區(Americas),20-29歲,女,5595
2025,9,美洲地區(Americas),20-29歲,女,3673
2025,10,美洲地區(Americas),20-29歲,女,3061
2025,11,美洲地區(Americas),20-29歲,女,2026
2025,12,美洲地區(Americas),20-29歲,女,3181
2026,1,美洲地區(Americas),20-29歲,女,6094
2019,1,美洲地區(Americas),30-39歲,男,4732
2019,2,美洲地區(Americas),30-39歲,男,4631
2019,3,美洲地區(Americas),30-39歲,男,4687
2019,4,美洲地區(Americas),30-39歲,男,4049
2019,5,美洲地區(Americas),30-39歲,男,4776
2019,6,美洲地區(Americas),30-39歲,男,4253
2019,7,美洲地區(Americas),30-39歲,男,3241
2019,8,美洲地區(Americas),30-39歲,男,3513
2019,9,美洲地區(Americas),30-39歲,男,5009
2019,10,美洲地區(Americas),30-39歲,男,5105
2019,11,美洲地區(Americas),30-39歲,男,4080
2019,12,美洲地區(Americas),30-39歲,男,3955
2020,1,美洲地區(Americas),30-39歲,男,5792
2020,2,美洲地區(Americas),30-39歲,男,3871
2020,3,美洲地區(Americas),30-39歲,男,1108
2020,4,美洲地區(Americas),30-39歲,男,62
2020,5,美洲地區(Americas),30-39歲,男,133
2020,6,美洲地區(Americas),30-39歲,男,184
2020,7,美洲地區(Americas),30-39歲,男,267
2020,8,美洲地區(Americas),30-39歲,男,367
2020,9,美洲地區(Americas),30-39歲,男,344
2020,10,美洲地區(Americas),30-39歲,男,336
2020,11,美洲地區(Americas),30-39歲,男,328
2020,12,美洲地區(Americas),30-39歲,男,354
2021,1,美洲地區(Americas),30-39歲,男,735
2021,2,美洲地區(Americas),30-39歲,男,468
2021,3,美洲地區(Americas),30-39歲,男,479
2021,4,美洲地區(Americas),30-39歲,男,395
2021,5,美洲地區(Americas),30-39歲,男,418
2021,6,美洲地區(Americas),30-39歲,男,855
2021,7,美洲地區(Americas),30-39歲,男,823
2021,8,美洲地區(Americas),30-39歲,男,846
2021,9,美洲地區(Americas),30-39歲,男,532
2021,10,美洲地區(Americas),30-39歲,男,589
2021,11,美洲地區(Americas),30-39歲,男,417
2021,12,美洲地區(Americas),30-39歲,男,449
2022,1,美洲地區(Americas),30-39歲,男,795
2022,2,美洲地區(Americas),30-39歲,男,724
2022,3,美洲地區(Americas),30-39歲,男,756
2022,4,美洲地區(Americas),30-39歲,男,745
2022,5,美洲地區(Americas),30-39歲,男,884
2022,6,美洲地區(Americas),30-39歲,男,1184
2022,7,美洲地區(Americas),30-39歲,男,1473
2022,8,美洲地區(Americas),30-39歲,男,1565
2022,9,美洲地區(Americas),30-39歲,男,1868
2022,10,美洲地區(Americas),30-39歲,男,2149
2022,11,美洲地區(Americas),30-39歲,男,2099
2022,12,美洲地區(Americas),30-39歲,男,2416
2023,1,美洲地區(Americas),30-39歲,男,3911
2023,2,美洲地區(Americas),30-39歲,男,2664
2023,3,美洲地區(Americas),30-39歲,男,2896
2023,4,美洲地區(Americas),30-39歲,男,2711
2023,5,美洲地區(Americas),30-39歲,男,3077
2023,6,美洲地區(Americas),30-39歲,男,3150
2023,7,美洲地區(Americas),30-39歲,男,2904
2023,8,美洲地區(Americas),30-39歲,男,2547
2023,9,美洲地區(Americas),30-39歲,男,3483
2023,10,美洲地區(Americas),30-39歲,男,3803
2023,11,美洲地區(Americas),30-39歲,男,2880
2023,12,美洲地區(Americas),30-39歲,男,2997
2024,1,美洲地區(Americas),30-39歲,男,4227
2024,2,美洲地區(Americas),30-39歲,男,3971
2024,3,美洲地區(Americas),30-39歲,男,3807
2024,4,美洲地區(Americas),30-39歲,男,3569
2024,5,美洲地區(Americas),30-39歲,男,3633
2024,6,美洲地區(Americas),30-39歲,男,3238
2024,7,美洲地區(Americas),30-39歲,男,3233
2024,8,美洲地區(Americas),30-39歲,男,3204
2024,9,美洲地區(Americas),30-39歲,男,3665
2024,10,美洲地區(Americas),30-39歲,男,3672
2024,11,美洲地區(Americas),30-39歲,男,3393
2024,12,美洲地區(Americas),30-39歲,男,3655
2025,1,美洲地區(Americas),30-39歲,男,4983
2025,2,美洲地區(Americas),30-39歲,男,3830
2025,3,美洲地區(Americas),30-39歲,男,4298
2025,4,美洲地區(Americas),30-39歲,男,3458
2025,5,美洲地區(Americas),30-39歲,男,3824
2025,6,美洲地區(Americas),30-39歲,男,3634
2025,7,美洲地區(Americas),30-39歲,男,3365
2025,8,美洲地區(Americas),30-39歲,男,3438
2025,9,美洲地區(Americas),30-39歲,男,4342
2025,10,美洲地區(Americas),30-39歲,男,4925
2025,11,美洲地區(Americas),30-39歲,男,3704
2025,12,美洲地區(Americas),30-39歲,男,3706
2026,1,美洲地區(Americas),30-39歲,男,4851
2019,1,美洲地區(Americas),30-39歲,女,5526
2019,2,美洲地區(Americas),30-39歲,女,5557
2019,3,美洲地區(Americas),30-39歲,女,5135
2019,4,美洲地區(Americas),30-39歲,女,4569
2019,5,美洲地區(Americas),30-39歲,女,5440
2019,6,美洲地區(Americas),30-39歲,女,4891
2019,7,美洲地區(Americas),30-39歲,女,3902
2019,8,美洲地區(Americas),30-39歲,女,3821
2019,9,美洲地區(Americas),30-39歲,女,5890
2019,10,美洲地區(Americas),30-39歲,女,5901
2019,11,美洲地區(Americas),30-39歲,女,4577
2019,12,美洲地區(Americas),30-39歲,女,4879
2020,1,美洲地區(Americas),30-39歲,女,6799
2020,2,美洲地區(Americas),30-39歲,女,4599
2020,3,美洲地區(Americas),30-39歲,女,1306
2020,4,美洲地區(Americas),30-39歲,女,89
2020,5,美洲地區(Americas),30-39歲,女,143
2020,6,美洲地區(Americas),30-39歲,女,245
2020,7,美洲地區(Americas),30-39歲,女,354
2020,8,美洲地區(Americas),30-39歲,女,482
2020,9,美洲地區(Americas),30-39歲,女,430
2020,10,美洲地區(Americas),30-39歲,女,354
2020,11,美洲地區(Americas),30-39歲,女,426
2020,12,美洲地區(Americas),30-39歲,女,489
2021,1,美洲地區(Americas),30-39歲,女,841
2021,2,美洲地區(Americas),30-39歲,女,569
2021,3,美洲地區(Americas),30-39歲,女,621
2021,4,美洲地區(Americas),30-39歲,女,542
2021,5,美洲地區(Americas),30-39歲,女,609
2021,6,美洲地區(Americas),30-39歲,女,1251
2021,7,美洲地區(Americas),30-39歲,女,1316
2021,8,美洲地區(Americas),30-39歲,女,1092
2021,9,美洲地區(Americas),30-39歲,女,607
2021,10,美洲地區(Americas),30-39歲,女,634
2021,11,美洲地區(Americas),30-39歲,女,381
2021,12,美洲地區(Americas),30-39歲,女,657
2022,1,美洲地區(Americas),30-39歲,女,881
2022,2,美洲地區(Americas),30-39歲,女,812
2022,3,美洲地區(Americas),30-39歲,女,802
2022,4,美洲地區(Americas),30-39歲,女,899
2022,5,美洲地區(Americas),30-39歲,女,1074
2022,6,美洲地區(Americas),30-39歲,女,1548
2022,7,美洲地區(Americas),30-39歲,女,1899
2022,8,美洲地區(Americas),30-39歲,女,2129
2022,9,美洲地區(Americas),30-39歲,女,2150
2022,10,美洲地區(Americas),30-39歲,女,2285
2022,11,美洲地區(Americas),30-39歲,女,2466
2022,12,美洲地區(Americas),30-39歲,女,3219
2023,1,美洲地區(Americas),30-39歲,女,4817
2023,2,美洲地區(Americas),30-39歲,女,3346
2023,3,美洲地區(Americas),30-39歲,女,3569
2023,4,美洲地區(Americas),30-39歲,女,3108
2023,5,美洲地區(Americas),30-39歲,女,3482
2023,6,美洲地區(Americas),30-39歲,女,3990
2023,7,美洲地區(Americas),30-39歲,女,3629
2023,8,美洲地區(Americas),30-39歲,女,3184
2023,9,美洲地區(Americas),30-39歲,女,4311
2023,10,美洲地區(Americas),30-39歲,女,4093
2023,11,美洲地區(Americas),30-39歲,女,3152
2023,12,美洲地區(Americas),30-39歲,女,3738
2024,1,美洲地區(Americas),30-39歲,女,4430
2024,2,美洲地區(Americas),30-39歲,女,4600
2024,3,美洲地區(Americas),30-39歲,女,4142
2024,4,美洲地區(Americas),30-39歲,女,3853
2024,5,美洲地區(Americas),30-39歲,女,3912
2024,6,美洲地區(Americas),30-39歲,女,3924
2024,7,美洲地區(Americas),30-39歲,女,3758
2024,8,美洲地區(Americas),30-39歲,女,3690
2024,9,美洲地區(Americas),30-39歲,女,3757
2024,10,美洲地區(Americas),30-39歲,女,4145
2024,11,美洲地區(Americas),30-39歲,女,3567
2024,12,美洲地區(Americas),30-39歲,女,4551
2025,1,美洲地區(Americas),30-39歲,女,5873
2025,2,美洲地區(Americas),30-39歲,女,4372
2025,3,美洲地區(Americas),30-39歲,女,4649
2025,4,美洲地區(Americas),30-39歲,女,3935
2025,5,美洲地區(Americas),30-39歲,女,4347
2025,6,美洲地區(Americas),30-39歲,女,4226
2025,7,美洲地區(Americas),30-39歲,女,4099
2025,8,美洲地區(Americas),30-39歲,女,3937
2025,9,美洲地區(Americas),30-39歲,女,4908
2025,10,美洲地區(Americas),30-39歲,女,5549
2025,11,美洲地區(Americas),30-39歲,女,3920
2025,12,美洲地區(Americas),30-39歲,女,4611
2026,1,美洲地區(Americas),30-39歲,女,5076
2019,1,美洲地區(Americas),40-49歲,男,5938
2019,2,美洲地區(Americas),40-49歲,男,4392
2019,3,美洲地區(Americas),40-49歲,男,4969
2019,4,美洲地區(Americas),40-49歲,男,4487
2019,5,美洲地區(Americas),40-49歲,男,4910
