年,季,日期標準,縣市,鄉鎮市區,住宅拍賣移轉筆數
2018,1,2018/1/1,新竹縣,湖口鄉,4
2018,1,2018/1/1,新竹縣,新豐鄉,5
2018,1,2018/1/1,苗栗縣,苗栗市,11
2018,1,2018/1/1,苗栗縣,通霄鎮,2
2018,1,2018/1/1,苗栗縣,竹南鎮,1
2018,1,2018/1/1,苗栗縣,頭份鎮,3
2018,1,2018/1/1,苗栗縣,卓蘭鎮,2
2018,1,2018/1/1,苗栗縣,公館鄉,1
2018,1,2018/1/1,苗栗縣,銅鑼鄉,1
2018,1,2018/1/1,苗栗縣,三義鄉,1
2018,1,2018/1/1,彰化縣,彰化市,6
2018,1,2018/1/1,彰化縣,鹿港鎮,1
2018,1,2018/1/1,彰化縣,和美鎮,1
2018,1,2018/1/1,彰化縣,北斗鎮,1
2018,1,2018/1/1,彰化縣,員林鎮,3
2018,1,2018/1/1,彰化縣,溪湖鎮,1
2018,1,2018/1/1,彰化縣,田中鎮,1
2018,1,2018/1/1,彰化縣,二林鎮,1
2018,1,2018/1/1,彰化縣,線西鄉,1
2018,1,2018/1/1,彰化縣,伸港鄉,1
2018,1,2018/1/1,彰化縣,花壇鄉,2
2018,1,2018/1/1,彰化縣,埔鹽鄉,2
2018,1,2018/1/1,彰化縣,社頭鄉,1
2018,1,2018/1/1,彰化縣,埤頭鄉,2
2018,1,2018/1/1,彰化縣,芳苑鄉,1
2018,1,2018/1/1,彰化縣,大城鄉,3
2018,1,2018/1/1,彰化縣,溪州鄉,2
2018,1,2018/1/1,南投縣,南投市,4
2018,1,2018/1/1,南投縣,埔里鎮,2
2018,1,2018/1/1,南投縣,草屯鎮,1
2018,1,2018/1/1,南投縣,名間鄉,1
2018,1,2018/1/1,南投縣,鹿谷鄉,1
2018,1,2018/1/1,南投縣,魚池鄉,1
2018,1,2018/1/1,雲林縣,斗六市,4
2018,1,2018/1/1,雲林縣,斗南鎮,3
2018,1,2018/1/1,雲林縣,虎尾鎮,4
2018,1,2018/1/1,雲林縣,西螺鎮,1
2018,1,2018/1/1,雲林縣,土庫鎮,1
2018,1,2018/1/1,雲林縣,北港鎮,4
2018,1,2018/1/1,雲林縣,古坑鄉,1
2018,1,2018/1/1,雲林縣,大埤鄉,1
2018,1,2018/1/1,雲林縣,林內鄉,2
2018,1,2018/1/1,雲林縣,崙背鄉,2
2018,1,2018/1/1,雲林縣,元長鄉,1
2018,1,2018/1/1,嘉義縣,太保市,1
2018,1,2018/1/1,嘉義縣,朴子市,1
2018,1,2018/1/1,嘉義縣,大林鎮,2
2018,1,2018/1/1,嘉義縣,民雄鄉,1
2018,1,2018/1/1,嘉義縣,溪口鄉,3
2018,1,2018/1/1,嘉義縣,新港鄉,1
2018,1,2018/1/1,嘉義縣,東石鄉,1
2018,1,2018/1/1,嘉義縣,水上鄉,3
2018,1,2018/1/1,嘉義縣,中埔鄉,1
2018,1,2018/1/1,嘉義縣,梅山鄉,1
2018,1,2018/1/1,嘉義縣,大埔鄉,1
2018,1,2018/1/1,屏東縣,屏東市,8
2018,1,2018/1/1,屏東縣,潮州鎮,1
2018,1,2018/1/1,屏東縣,東港鎮,2
2018,1,2018/1/1,屏東縣,恆春鎮,1
2018,1,2018/1/1,屏東縣,萬丹鄉,2
2018,1,2018/1/1,屏東縣,鹽埔鄉,1
2018,1,2018/1/1,屏東縣,高樹鄉,1
2018,1,2018/1/1,屏東縣,萬巒鄉,1
2018,1,2018/1/1,屏東縣,新埤鄉,1
2018,1,2018/1/1,屏東縣,枋寮鄉,2
2018,1,2018/1/1,屏東縣,新園鄉,2
