年月,年,月,屬性,值
2021年11月,2021,11月,飲料店,9790911
2021年12月,2021,12月,餐館,58896737
2021年12月,2021,12月,外燴及團膳承包業,3708977
2021年12月,2021,12月,飲料店,11333467
2022年1月,2022,1月,餐館,59236816
2022年1月,2022,1月,外燴及團膳承包業,3238024
2022年1月,2022,1月,飲料店,10400616
2022年2月,2022,2月,餐館,57281245
2022年2月,2022,2月,外燴及團膳承包業,2276259
2022年2月,2022,2月,飲料店,9175640
2022年3月,2022,3月,餐館,54067401
2022年3月,2022,3月,外燴及團膳承包業,3119998
2022年3月,2022,3月,飲料店,9936024
2022年4月,2022,4月,餐館,47650583
2022年4月,2022,4月,外燴及團膳承包業,3221103
2022年4月,2022,4月,飲料店,8924961
2022年5月,2022,5月,餐館,44264983
2022年5月,2022,5月,外燴及團膳承包業,2711098
2022年5月,2022,5月,飲料店,8497761
2022年6月,2022,6月,餐館,47498431
2022年6月,2022,6月,外燴及團膳承包業,3010049
2022年6月,2022,6月,飲料店,9176215
2022年7月,2022,7月,餐館,59808375
2022年7月,2022,7月,外燴及團膳承包業,2669830
2022年7月,2022,7月,飲料店,10180980
2022年8月,2022,8月,餐館,61276264
2022年8月,2022,8月,外燴及團膳承包業,2824388
2022年8月,2022,8月,飲料店,11383758
2022年9月,2022,9月,餐館,55729434
2022年9月,2022,9月,外燴及團膳承包業,3725161
2022年9月,2022,9月,飲料店,9996280
2022年10月,2022,10月,餐館,60094298
2022年10月,2022,10月,外燴及團膳承包業,4008530
2022年10月,2022,10月,飲料店,9888000
2022年11月,2022,11月,餐館,58078583
2022年11月,2022,11月,外燴及團膳承包業,4340121
2022年11月,2022,11月,飲料店,10138277
2022年12月,2022,12月,餐館,67872315
2022年12月,2022,12月,外燴及團膳承包業,4779536
2022年12月,2022,12月,飲料店,11720838
2023年1月,2023,1月,餐館,81377077
2023年1月,2023,1月,外燴及團膳承包業,4311770
2023年1月,2023,1月,飲料店,11828394
2023年2月,2023,2月,餐館,62444638
2023年2月,2023,2月,外燴及團膳承包業,3795785
2023年2月,2023,2月,飲料店,9325595
2023年3月,2023,3月,餐館,60302733
2023年3月,2023,3月,外燴及團膳承包業,4604682
2023年3月,2023,3月,飲料店,10380248
2023年4月,2023,4月,餐館,64930173
2023年4月,2023,4月,外燴及團膳承包業,4666953
2023年4月,2023,4月,飲料店,9836927
