開店數統計10811.xls,56,NULL,　餐飲業,145138,10811
開店數統計10811.xls,NULL,561,　　餐食業,118967,10811
開店數統計10811.xls,NULL,562,　　外燴及團膳承包業,2321,10811
開店數統計10811.xls,NULL,563,　　飲料業,23850,10811
開店數統計10812.xls,56,NULL,　餐飲業,145478,10812
開店數統計10812.xls,NULL,561,　　餐食業,119356,10812
開店數統計10812.xls,NULL,562,　　外燴及團膳承包業,2317,10812
開店數統計10812.xls,NULL,563,　　飲料業,23805,10812
開店數統計10901.xls,56,NULL,　餐飲業,146009,10901
開店數統計10901.xls,NULL,561,　　餐食業,119861,10901
開店數統計10901.xls,NULL,562,　　外燴及團膳承包業,2299,10901
開店數統計10901.xls,NULL,563,　　飲料業,23849,10901
開店數統計10902.xls,56,NULL,　餐飲業,145915,10902
開店數統計10902.xls,NULL,561,　　餐食業,119805,10902
開店數統計10902.xls,NULL,562,　　外燴及團膳承包業,2303,10902
開店數統計10902.xls,NULL,563,　　飲料業,23807,10902
開店數統計10903.xls,56,NULL,　餐飲業,146093,10903
開店數統計10903.xls,NULL,561,　　餐食業,119951,10903
開店數統計10903.xls,NULL,562,　　外燴及團膳承包業,2293,10903
開店數統計10903.xls,NULL,563,　　飲料業,23849,10903
開店數統計10904.xls,56,NULL,　餐飲業,146307,10904
開店數統計10904.xls,NULL,561,　　餐食業,120088,10904
開店數統計10904.xls,NULL,562,　　外燴及團膳承包業,2280,10904
開店數統計10904.xls,NULL,563,　　飲料業,23939,10904
開店數統計10905.xls,56,NULL,　餐飲業,146405,10905
開店數統計10905.xls,NULL,561,　　餐食業,120083,10905
開店數統計10905.xls,NULL,562,　　外燴及團膳承包業,2277,10905
開店數統計10905.xls,NULL,563,　　飲料業,24045,10905
開店數統計10906.xls,56,NULL,　餐飲業,147064,10906
開店數統計10906.xls,NULL,561,　　餐食業,120532,10906
開店數統計10906.xls,NULL,562,　　外燴及團膳承包業,2273,10906
開店數統計10906.xls,NULL,563,　　飲料業,24259,10906
開店數統計10907.xls,56,NULL,　餐飲業,147803,10907
開店數統計10907.xls,NULL,561,　　餐食業,121073,10907
開店數統計10907.xls,NULL,562,　　外燴及團膳承包業,2278,10907
開店數統計10907.xls,NULL,563,　　飲料業,24452,10907
開店數統計10908.xls,56,NULL,　餐飲業,148652,10908
開店數統計10908.xls,NULL,561,　　餐食業,121652,10908
開店數統計10908.xls,NULL,562,　　外燴及團膳承包業,2270,10908
開店數統計10908.xls,NULL,563,　　飲料業,24730,10908
開店數統計10909.xls,56,NULL,　餐飲業,149896,10909
開店數統計10909.xls,NULL,561,　　餐食業,122566,10909
開店數統計10909.xls,NULL,562,　　外燴及團膳承包業,2268,10909
開店數統計10909.xls,NULL,563,　　飲料業,25062,10909
開店數統計10910.xls,56,NULL,　餐飲業,150914,10910
開店數統計10910.xls,NULL,561,　　餐食業,123400,10910
開店數統計10910.xls,NULL,562,　　外燴及團膳承包業,2264,10910
開店數統計10910.xls,NULL,563,　　飲料業,25250,10910
開店數統計10911.xls,56,NULL,　餐飲業,151959,10911
開店數統計10911.xls,NULL,561,　　餐食業,124264,10911
開店數統計10911.xls,NULL,562,　　外燴及團膳承包業,2268,10911
開店數統計10911.xls,NULL,563,　　飲料業,25427,10911
開店數統計10912.xls,56,NULL,　餐飲業,152789,10912
開店數統計10912.xls,NULL,561,　　餐食業,125019,10912
開店數統計10912.xls,NULL,562,　　外燴及團膳承包業,2265,10912
開店數統計10912.xls,NULL,563,　　飲料業,25505,10912
開店數統計11001.xls,56,NULL,　餐飲業,153689,11001
開店數統計11001.xls,NULL,561,　　餐食業,125791,11001
開店數統計11001.xls,NULL,562,　　外燴及團膳承包業,2273,11001
開店數統計11001.xls,NULL,563,　　飲料業,25625,11001
開店數統計11002.xls,56,NULL,　餐飲業,154187,11002
開店數統計11002.xls,NULL,561,　　餐食業,126196,11002
開店數統計11002.xls,NULL,562,　　外燴及團膳承包業,2280,11002
開店數統計11002.xls,NULL,563,　　飲料業,25711,11002
開店數統計11003.xls,56,NULL,　餐飲業,154507,11003
開店數統計11003.xls,NULL,561,　　餐食業,126470,11003
開店數統計11003.xls,NULL,562,　　外燴及團膳承包業,2280,11003
開店數統計11003.xls,NULL,563,　　飲料業,25757,11003
開店數統計11004.xls,56,NULL,　餐飲業,155108,11004
開店數統計11004.xls,NULL,561,　　餐食業,126881,11004
開店數統計11004.xls,NULL,562,　　外燴及團膳承包業,2276,11004
開店數統計11004.xls,NULL,563,　　飲料業,25951,11004
開店數統計11005.xls,56,NULL,　餐飲業,156086,11005
開店數統計11005.xls,NULL,561,　　餐食業,127554,11005
開店數統計11005.xls,NULL,562,　　外燴及團膳承包業,2283,11005
開店數統計11005.xls,NULL,563,　　飲料業,26249,11005
開店數統計11006.xls,56,NULL,　餐飲業,156519,11006
開店數統計11006.xls,NULL,561,　　餐食業,127760,11006
開店數統計11006.xls,NULL,562,　　外燴及團膳承包業,2281,11006
開店數統計11006.xls,NULL,563,　　飲料業,26478,11006
開店數統計11007.xls,56,NULL,　餐飲業,156768,11007
開店數統計11007.xls,NULL,561,　　餐食業,127868,11007
開店數統計11007.xls,NULL,562,　　外燴及團膳承包業,2275,11007
開店數統計11007.xls,NULL,563,　　飲料業,26625,11007
開店數統計11008.xls,56,NULL,　餐飲業,156939,11008
開店數統計11008.xls,NULL,561,　　餐食業,127918,11008
開店數統計11008.xls,NULL,562,　　外燴及團膳承包業,2274,11008
開店數統計11008.xls,NULL,563,　　飲料業,26747,11008
開店數統計11009.xls,56,NULL,　餐飲業,157305,11009
開店數統計11009.xls,NULL,561,　　餐食業,128163,11009
開店數統計11009.xls,NULL,562,　　外燴及團膳承包業,2261,11009
