月,年,月2,行業別,營業額(千元)
2021年9月,2021,9月,食品、飲料及菸草製品零售業,24621212
2021年9月,2021,9月,文教育樂用品零售業,5764759
2021年9月,2021,9月,燃料及相關產品零售業,22024490
2021年9月,2021,9月,資通訊及家電設備零售業,22398430
2021年9月,2021,9月,汽機車及其零配件、用品零售業,62769806
2021年9月,2021,9月,電子購物及郵購業,29794338
2021年9月,2021,9月,餐飲業,55597291
2021年10月,2021,10月,百貨公司業,47290351
2021年10月,2021,10月,超級市場業,19898605
2021年10月,2021,10月,便利商店業,30639436
2021年10月,2021,10月,零售式量販業,20664524
2021年10月,2021,10月,其他綜合商品零售業,9414572
2021年10月,2021,10月,食品、飲料及菸草製品零售業,23730067
2021年10月,2021,10月,文教育樂用品零售業,7222487
2021年10月,2021,10月,燃料及相關產品零售業,23931038
2021年10月,2021,10月,資通訊及家電設備零售業,27568966
2021年10月,2021,10月,汽機車及其零配件、用品零售業,57017913
2021年10月,2021,10月,電子購物及郵購業,32267274
2021年10月,2021,10月,餐飲業,64810794
2021年11月,2021,11月,百貨公司業,42830755
2021年11月,2021,11月,超級市場業,18139051
2021年11月,2021,11月,便利商店業,29550425
2021年11月,2021,11月,零售式量販業,19776449
2021年11月,2021,11月,其他綜合商品零售業,8973294
2021年11月,2021,11月,食品、飲料及菸草製品零售業,23292351
2021年11月,2021,11月,文教育樂用品零售業,6849674
2021年11月,2021,11月,燃料及相關產品零售業,23181890
2021年11月,2021,11月,資通訊及家電設備零售業,25943967
2021年11月,2021,11月,汽機車及其零配件、用品零售業,61739477
2021年11月,2021,11月,電子購物及郵購業,46811429
2021年11月,2021,11月,餐飲業,64513108
2021年12月,2021,12月,百貨公司業,37526834
2021年12月,2021,12月,超級市場業,19040166
2021年12月,2021,12月,便利商店業,29018517
2021年12月,2021,12月,零售式量販業,19914884
2021年12月,2021,12月,其他綜合商品零售業,9635357
2021年12月,2021,12月,食品、飲料及菸草製品零售業,24919508
2021年12月,2021,12月,文教育樂用品零售業,7032243
2021年12月,2021,12月,燃料及相關產品零售業,23642761
2021年12月,2021,12月,資通訊及家電設備零售業,22969217
2021年12月,2021,12月,汽機車及其零配件、用品零售業,60300878
2021年12月,2021,12月,電子購物及郵購業,36047379
2021年12月,2021,12月,餐飲業,73939181
2022年1月,2022,1月,百貨公司業,33485182
2022年1月,2022,1月,超級市場業,21600066
2022年1月,2022,1月,便利商店業,32361982
2022年1月,2022,1月,零售式量販業,26100924
2022年1月,2022,1月,其他綜合商品零售業,9377264
2022年1月,2022,1月,食品、飲料及菸草製品零售業,30121288
2022年1月,2022,1月,文教育樂用品零售業,7272685
2022年1月,2022,1月,燃料及相關產品零售業,23426938
2022年1月,2022,1月,資通訊及家電設備零售業,26823895
2022年1月,2022,1月,汽機車及其零配件、用品零售業,71386056
2022年1月,2022,1月,電子購物及郵購業,37770709
2022年1月,2022,1月,餐飲業,72875456
2022年2月,2022,2月,百貨公司業,31610133
2022年2月,2022,2月,超級市場業,17810548
2022年2月,2022,2月,便利商店業,26706566
2022年2月,2022,2月,零售式量販業,17282006
2022年2月,2022,2月,其他綜合商品零售業,8298878
2022年2月,2022,2月,食品、飲料及菸草製品零售業,20954220
2022年2月,2022,2月,文教育樂用品零售業,7061834
2022年2月,2022,2月,燃料及相關產品零售業,20674747
2022年2月,2022,2月,資通訊及家電設備零售業,21525652
2022年2月,2022,2月,汽機車及其零配件、用品零售業,48479555
2022年2月,2022,2月,電子購物及郵購業,31928755
2022年2月,2022,2月,餐飲業,68733144
2022年3月,2022,3月,百貨公司業,29623471
2022年3月,2022,3月,超級市場業,18036771
2022年3月,2022,3月,便利商店業,29790314
2022年3月,2022,3月,零售式量販業,18190841
2022年3月,2022,3月,其他綜合商品零售業,9041498
2022年3月,2022,3月,食品、飲料及菸草製品零售業,22434499
2022年3月,2022,3月,文教育樂用品零售業,6819777
2022年3月,2022,3月,燃料及相關產品零售業,24789822
2022年3月,2022,3月,資通訊及家電設備零售業,24550874
2022年3月,2022,3月,汽機車及其零配件、用品零售業,64550129
2022年3月,2022,3月,電子購物及郵購業,35025307
2022年3月,2022,3月,餐飲業,67123423
2022年4月,2022,4月,百貨公司業,30671287
2022年4月,2022,4月,超級市場業,20093608
2022年4月,2022,4月,便利商店業,30016712
2022年4月,2022,4月,零售式量販業,18886617
2022年4月,2022,4月,其他綜合商品零售業,9479917
2022年4月,2022,4月,食品、飲料及菸草製品零售業,22661681
2022年4月,2022,4月,文教育樂用品零售業,6688988
2022年4月,2022,4月,燃料及相關產品零售業,23076735
2022年4月,2022,4月,資通訊及家電設備零售業,24723455
2022年4月,2022,4月,汽機車及其零配件、用品零售業,64157514
2022年4月,2022,4月,電子購物及郵購業,33986972
2022年4月,2022,4月,餐飲業,59796647
2022年5月,2022,5月,百貨公司業,22865553
2022年5月,2022,5月,超級市場業,21644158
2022年5月,2022,5月,便利商店業,30163986
2022年5月,2022,5月,零售式量販業,19181859
2022年5月,2022,5月,其他綜合商品零售業,8830462
2022年5月,2022,5月,食品、飲料及菸草製品零售業,21481546
2022年5月,2022,5月,文教育樂用品零售業,5777442
2022年5月,2022,5月,燃料及相關產品零售業,21425387
2022年5月,2022,5月,資通訊及家電設備零售業,25222415
2022年5月,2022,5月,汽機車及其零配件、用品零售業,56716312
2022年5月,2022,5月,電子購物及郵購業,36561212
2022年5月,2022,5月,餐飲業,55473842
2022年6月,2022,6月,百貨公司業,24487920
2022年6月,2022,6月,超級市場業,20159588
2022年6月,2022,6月,便利商店業,30776906
2022年6月,2022,6月,零售式量販業,19342405
2022年6月,2022,6月,其他綜合商品零售業,9136342
2022年6月,2022,6月,食品、飲料及菸草製品零售業,20776972
2022年6月,2022,6月,文教育樂用品零售業,6447886
2022年6月,2022,6月,燃料及相關產品零售業,22312298
2022年6月,2022,6月,資通訊及家電設備零售業,23729009
2022年6月,2022,6月,汽機車及其零配件、用品零售業,56224917
2022年6月,2022,6月,電子購物及郵購業,37256253
2022年6月,2022,6月,餐飲業,59684695
2022年7月,2022,7月,百貨公司業,31577647
2022年7月,2022,7月,超級市場業,20930580
2022年7月,2022,7月,便利商店業,33420947
2022年7月,2022,7月,零售式量販業,21289539
2022年7月,2022,7月,其他綜合商品零售業,10037937
2022年7月,2022,7月,食品、飲料及菸草製品零售業,22667444
2022年7月,2022,7月,文教育樂用品零售業,7448014
2022年7月,2022,7月,燃料及相關產品零售業,24674333
2022年7月,2022,7月,資通訊及家電設備零售業,24660266
2022年7月,2022,7月,汽機車及其零配件、用品零售業,65647987
2022年7月,2022,7月,電子購物及郵購業,33969789
2022年7月,2022,7月,餐飲業,72659185
2022年8月,2022,8月,百貨公司業,30680281
2022年8月,2022,8月,超級市場業,22254728
2022年8月,2022,8月,便利商店業,33016691
2022年8月,2022,8月,零售式量販業,21467091
2022年8月,2022,8月,其他綜合商品零售業,10840518
2022年8月,2022,8月,食品、飲料及菸草製品零售業,25939580
2022年8月,2022,8月,文教育樂用品零售業,7258425
2022年8月,2022,8月,燃料及相關產品零售業,24350656
2022年8月,2022,8月,資通訊及家電設備零售業,23548586
2022年8月,2022,8月,汽機車及其零配件、用品零售業,62589851
2022年8月,2022,8月,電子購物及郵購業,34920139
2022年8月,2022,8月,餐飲業,75484410
2022年9月,2022,9月,百貨公司業,32266355
2022年9月,2022,9月,超級市場業,19589708
2022年9月,2022,9月,便利商店業,31320047
2022年9月,2022,9月,零售式量販業,20345186
2022年9月,2022,9月,其他綜合商品零售業,10278043
2022年9月,2022,9月,食品、飲料及菸草製品零售業,23069569
2022年9月,2022,9月,文教育樂用品零售業,6585750
2022年9月,2022,9月,燃料及相關產品零售業,22832690
2022年9月,2022,9月,資通訊及家電設備零售業,24351785
2022年9月,2022,9月,汽機車及其零配件、用品零售業,65146911
2022年9月,2022,9月,電子購物及郵購業,33853002
2022年9月,2022,9月,餐飲業,69450875
2022年10月,2022,10月,百貨公司業,47480415
2022年10月,2022,10月,超級市場業,20534959
2022年10月,2022,10月,便利商店業,31770915
2022年10月,2022,10月,零售式量販業,19863888
2022年10月,2022,10月,其他綜合商品零售業,10730768
2022年10月,2022,10月,食品、飲料及菸草製品零售業,24158460
2022年10月,2022,10月,文教育樂用品零售業,6761671
2022年10月,2022,10月,燃料及相關產品零售業,23194828
2022年10月,2022,10月,資通訊及家電設備零售業,26385978
2022年10月,2022,10月,汽機車及其零配件、用品零售業,64140622
2022年10月,2022,10月,電子購物及郵購業,35602800
2022年10月,2022,10月,餐飲業,73990828
2022年11月,2022,11月,百貨公司業,42584365
2022年11月,2022,11月,超級市場業,18867498
2022年11月,2022,11月,便利商店業,32083425
2022年11月,2022,11月,零售式量販業,19325514
2022年11月,2022,11月,其他綜合商品零售業,10417109
2022年11月,2022,11月,食品、飲料及菸草製品零售業,23960940
2022年11月,2022,11月,文教育樂用品零售業,7012351
2022年11月,2022,11月,燃料及相關產品零售業,22672414
2022年11月,2022,11月,資通訊及家電設備零售業,24055861
2022年11月,2022,11月,汽機車及其零配件、用品零售業,66246581
2022年11月,2022,11月,電子購物及郵購業,52608660
2022年11月,2022,11月,餐飲業,72556981
2022年12月,2022,12月,百貨公司業,41429121
2022年12月,2022,12月,超級市場業,20492234
2022年12月,2022,12月,便利商店業,31743791
2022年12月,2022,12月,零售式量販業,21872652
2022年12月,2022,12月,其他綜合商品零售業,11805635
2022年12月,2022,12月,食品、飲料及菸草製品零售業,27209176
2022年12月,2022,12月,文教育樂用品零售業,7672536
2022年12月,2022,12月,燃料及相關產品零售業,24073493
2022年12月,2022,12月,資通訊及家電設備零售業,24089953
2022年12月,2022,12月,汽機車及其零配件、用品零售業,71281428
2022年12月,2022,12月,電子購物及郵購業,43113315
2022年12月,2022,12月,餐飲業,84372689
2023年1月,2023,1月,百貨公司業,44087068
2023年1月,2023,1月,超級市場業,22149652
2023年1月,2023,1月,便利商店業,33630712
2023年1月,2023,1月,零售式量販業,26647637
2023年1月,2023,1月,其他綜合商品零售業,12425445
2023年1月,2023,1月,食品、飲料及菸草製品零售業,27998098
2023年1月,2023,1月,文教育樂用品零售業,7929522
2023年1月,2023,1月,燃料及相關產品零售業,23029858
2023年1月,2023,1月,資通訊及家電設備零售業,24286304
2023年1月,2023,1月,汽機車及其零配件、用品零售業,63150390
2023年1月,2023,1月,電子購物及郵購業,36315670
2023年1月,2023,1月,餐飲業,97517241
2023年2月,2023,2月,百貨公司業,30111794
2023年2月,2023,2月,超級市場業,17200949
2023年2月,2023,2月,便利商店業,28798001
2023年2月,2023,2月,零售式量販業,16829360
2023年2月,2023,2月,其他綜合商品零售業,10452544
2023年2月,2023,2月,食品、飲料及菸草製品零售業,21145975
2023年2月,2023,2月,文教育樂用品零售業,6668477
2023年2月,2023,2月,燃料及相關產品零售業,20892620
2023年2月,2023,2月,資通訊及家電設備零售業,20296556
2023年2月,2023,2月,汽機車及其零配件、用品零售業,62587140
2023年2月,2023,2月,電子購物及郵購業,33762003
2023年2月,2023,2月,餐飲業,75566018
2023年3月,2023,3月,百貨公司業,29894370
2023年3月,2023,3月,超級市場業,18631699
2023年3月,2023,3月,便利商店業,32500751
2023年3月,2023,3月,零售式量販業,18242236
2023年3月,2023,3月,其他綜合商品零售業,11855963
2023年3月,2023,3月,食品、飲料及菸草製品零售業,23529294
2023年3月,2023,3月,文教育樂用品零售業,6491308
2023年3月,2023,3月,燃料及相關產品零售業,23374953
2023年3月,2023,3月,資通訊及家電設備零售業,22105037
2023年3月,2023,3月,汽機車及其零配件、用品零售業,84310224
2023年3月,2023,3月,電子購物及郵購業,35918946
2023年3月,2023,3月,餐飲業,75287663
2023年4月,2023,4月,百貨公司業,38041004
2023年4月,2023,4月,超級市場業,19145436
2023年4月,2023,4月,便利商店業,32030146
2023年4月,2023,4月,零售式量販業,18848569
2023年4月,2023,4月,其他綜合商品零售業,12759976
2023年4月,2023,4月,食品、飲料及菸草製品零售業,21950625
2023年4月,2023,4月,文教育樂用品零售業,7061982
2023年4月,2023,4月,燃料及相關產品零售業,22278617
2023年4月,2023,4月,資通訊及家電設備零售業,22063990
2023年4月,2023,4月,汽機車及其零配件、用品零售業,72623980
2023年4月,2023,4月,電子購物及郵購業,33214530
2023年4月,2023,4月,餐飲業,79434053
2023年5月,2023,5月,百貨公司業,34803933
2023年5月,2023,5月,超級市場業,19568718
2023年5月,2023,5月,便利商店業,33822821
2023年5月,2023,5月,零售式量販業,18125802
2023年5月,2023,5月,其他綜合商品零售業,12790714
2023年5月,2023,5月,食品、飲料及菸草製品零售業,22997018
2023年5月,2023,5月,文教育樂用品零售業,6794356
2023年5月,2023,5月,燃料及相關產品零售業,23043932
2023年5月,2023,5月,資通訊及家電設備零售業,23103297
2023年5月,2023,5月,汽機車及其零配件、用品零售業,79890533
2023年5月,2023,5月,電子購物及郵購業,37140376
2023年5月,2023,5月,餐飲業,81534813
2023年6月,2023,6月,百貨公司業,31144615
2023年6月,2023,6月,超級市場業,19090696
2023年6月,2023,6月,便利商店業,33767126
2023年6月,2023,6月,零售式量販業,17930726
2023年6月,2023,6月,其他綜合商品零售業,12926292
2023年6月,2023,6月,食品、飲料及菸草製品零售業,22268383
2023年6月,2023,6月,文教育樂用品零售業,7227107
2023年6月,2023,6月,燃料及相關產品零售業,22978369
2023年6月,2023,6月,資通訊及家電設備零售業,22210001
2023年6月,2023,6月,汽機車及其零配件、用品零售業,82936983
2023年6月,2023,6月,電子購物及郵購業,37579653
2023年6月,2023,6月,餐飲業,81425847
2023年7月,2023,7月,百貨公司業,34181898
2023年7月,2023,7月,超級市場業,21449096
2023年7月,2023,7月,便利商店業,36062584
2023年7月,2023,7月,零售式量販業,19797620
2023年7月,2023,7月,其他綜合商品零售業,12787871
2023年7月,2023,7月,食品、飲料及菸草製品零售業,22046833
2023年7月,2023,7月,文教育樂用品零售業,7925326
2023年7月,2023,7月,燃料及相關產品零售業,23883267
2023年7月,2023,7月,資通訊及家電設備零售業,23042556
2023年7月,2023,7月,汽機車及其零配件、用品零售業,77049708
2023年7月,2023,7月,電子購物及郵購業,35226966
2023年7月,2023,7月,餐飲業,87535950
2023年8月,2023,8月,百貨公司業,31832389
2023年8月,2023,8月,超級市場業,24548315
2023年8月,2023,8月,便利商店業,35590334
2023年8月,2023,8月,零售式量販業,22176307
2023年8月,2023,8月,其他綜合商品零售業,12854607
2023年8月,2023,8月,食品、飲料及菸草製品零售業,24425809
2023年8月,2023,8月,文教育樂用品零售業,7070582
2023年8月,2023,8月,燃料及相關產品零售業,24662578
2023年8月,2023,8月,資通訊及家電設備零售業,22441287
2023年8月,2023,8月,汽機車及其零配件、用品零售業,66820166
2023年8月,2023,8月,電子購物及郵購業,36471385
2023年8月,2023,8月,餐飲業,87409138
2023年9月,2023,9月,百貨公司業,35027344
2023年9月,2023,9月,超級市場業,21052573
2023年9月,2023,9月,便利商店業,34120287
2023年9月,2023,9月,零售式量販業,20346304
2023年9月,2023,9月,其他綜合商品零售業,12374676
2023年9月,2023,9月,食品、飲料及菸草製品零售業,27162416
2023年9月,2023,9月,文教育樂用品零售業,6582672
2023年9月,2023,9月,燃料及相關產品零售業,24018707
2023年9月,2023,9月,資通訊及家電設備零售業,23255374
2023年9月,2023,9月,汽機車及其零配件、用品零售業,69600053
2023年9月,2023,9月,電子購物及郵購業,35083919
2023年9月,2023,9月,餐飲業,81212150
2023年10月,2023,10月,百貨公司業,48358262
2023年10月,2023,10月,超級市場業,21007183
2023年10月,2023,10月,便利商店業,34417959
2023年10月,2023,10月,零售式量販業,18665685
2023年10月,2023,10月,其他綜合商品零售業,13096990
2023年10月,2023,10月,食品、飲料及菸草製品零售業,24354752
2023年10月,2023,10月,文教育樂用品零售業,7025416
2023年10月,2023,10月,燃料及相關產品零售業,23593819
2023年10月,2023,10月,資通訊及家電設備零售業,25955537
2023年10月,2023,10月,汽機車及其零配件、用品零售業,73557055
2023年10月,2023,10月,電子購物及郵購業,36156380
2023年10月,2023,10月,餐飲業,83420261
2023年11月,2023,11月,百貨公司業,44960812
2023年11月,2023,11月,超級市場業,19556440
2023年11月,2023,11月,便利商店業,33465149
2023年11月,2023,11月,零售式量販業,19831027
2023年11月,2023,11月,其他綜合商品零售業,12495115
2023年11月,2023,11月,食品、飲料及菸草製品零售業,23200649
2023年11月,2023,11月,文教育樂用品零售業,7321358
2023年11月,2023,11月,燃料及相關產品零售業,22715482
2023年11月,2023,11月,資通訊及家電設備零售業,24797915
2023年11月,2023,11月,汽機車及其零配件、用品零售業,78800918
2023年11月,2023,11月,電子購物及郵購業,54540350
2023年11月,2023,11月,餐飲業,79670435
2023年12月,2023,12月,百貨公司業,40259361
2023年12月,2023,12月,超級市場業,21039138
2023年12月,2023,12月,便利商店業,33610084
2023年12月,2023,12月,零售式量販業,20255010
2023年12月,2023,12月,其他綜合商品零售業,13321069
2023年12月,2023,12月,食品、飲料及菸草製品零售業,29004211
2023年12月,2023,12月,文教育樂用品零售業,8274968
2023年12月,2023,12月,燃料及相關產品零售業,23549552
2023年12月,2023,12月,資通訊及家電設備零售業,22839350
2023年12月,2023,12月,汽機車及其零配件、用品零售業,77133249
2023年12月,2023,12月,電子購物及郵購業,41713864
2023年12月,2023,12月,餐飲業,91907108
2024年1月,2024,1月,百貨公司業,36723496
2024年1月,2024,1月,超級市場業,20647214
2024年1月,2024,1月,便利商店業,34301306
2024年1月,2024,1月,零售式量販業,23778687
2024年1月,2024,1月,其他綜合商品零售業,13162378
2024年1月,2024,1月,食品、飲料及菸草製品零售業,27606288
2024年1月,2024,1月,文教育樂用品零售業,7157734
2024年1月,2024,1月,燃料及相關產品零售業,22825917
2024年1月,2024,1月,資通訊及家電設備零售業,23560774
2024年1月,2024,1月,汽機車及其零配件、用品零售業,85638166
2024年1月,2024,1月,電子購物及郵購業,40445304
2024年1月,2024,1月,餐飲業,89778238
2024年2月,2024,2月,百貨公司業,38724976
2024年2月,2024,2月,超級市場業,20580238
2024年2月,2024,2月,便利商店業,32494729
2024年2月,2024,2月,零售式量販業,21175682
2024年2月,2024,2月,其他綜合商品零售業,13164448
2024年2月,2024,2月,食品、飲料及菸草製品零售業,24144955
2024年2月,2024,2月,文教育樂用品零售業,7581824
2024年2月,2024,2月,燃料及相關產品零售業,20724042
2024年2月,2024,2月,資通訊及家電設備零售業,22638008
2024年2月,2024,2月,汽機車及其零配件、用品零售業,51137196
2024年2月,2024,2月,電子購物及郵購業,34559827
2024年2月,2024,2月,餐飲業,91195675
2024年3月,2024,3月,百貨公司業,32798255
2024年3月,2024,3月,超級市場業,19614271
2024年3月,2024,3月,便利商店業,33771390
2024年3月,2024,3月,零售式量販業,18257214
2024年3月,2024,3月,其他綜合商品零售業,12620646
2024年3月,2024,3月,食品、飲料及菸草製品零售業,23323479
2024年3月,2024,3月,文教育樂用品零售業,7075542
2024年3月,2024,3月,燃料及相關產品零售業,22633826
2024年3月,2024,3月,資通訊及家電設備零售業,21329284
2024年3月,2024,3月,汽機車及其零配件、用品零售業,81927048
2024年3月,2024,3月,電子購物及郵購業,38272352
2024年3月,2024,3月,餐飲業,83159024
2024年4月,2024,4月,百貨公司業,37628676
2024年4月,2024,4月,超級市場業,19832158
2024年4月,2024,4月,便利商店業,33895747
2024年4月,2024,4月,零售式量販業,18379083
2024年4月,2024,4月,其他綜合商品零售業,12881161
2024年4月,2024,4月,食品、飲料及菸草製品零售業,21785300
2024年4月,2024,4月,文教育樂用品零售業,6858491
2024年4月,2024,4月,燃料及相關產品零售業,22189015
2024年4月,2024,4月,資通訊及家電設備零售業,23411174
2024年4月,2024,4月,汽機車及其零配件、用品零售業,74047498
2024年4月,2024,4月,電子購物及郵購業,35266838
2024年4月,2024,4月,餐飲業,79974754
2024年5月,2024,5月,百貨公司業,34875712
2024年5月,2024,5月,超級市場業,20265555
2024年5月,2024,5月,便利商店業,35251399
2024年5月,2024,5月,零售式量販業,18667968
2024年5月,2024,5月,其他綜合商品零售業,13736541
2024年5月,2024,5月,食品、飲料及菸草製品零售業,23033320
2024年5月,2024,5月,文教育樂用品零售業,6838370
2024年5月,2024,5月,燃料及相關產品零售業,22610397
2024年5月,2024,5月,資通訊及家電設備零售業,22609128
2024年5月,2024,5月,汽機車及其零配件、用品零售業,85232294
2024年5月,2024,5月,電子購物及郵購業,37514522
2024年5月,2024,5月,餐飲業,84668357
2024年6月,2024,6月,百貨公司業,33118991
2024年6月,2024,6月,超級市場業,20652135
2024年6月,2024,6月,便利商店業,35366163
2024年6月,2024,6月,零售式量販業,18887318
2024年6月,2024,6月,其他綜合商品零售業,13760412
2024年6月,2024,6月,食品、飲料及菸草製品零售業,22917551
2024年6月,2024,6月,文教育樂用品零售業,7268799
2024年6月,2024,6月,燃料及相關產品零售業,22311081
2024年6月,2024,6月,資通訊及家電設備零售業,21895455
2024年6月,2024,6月,汽機車及其零配件、用品零售業,86593180
2024年6月,2024,6月,電子購物及郵購業,37656556
2024年6月,2024,6月,餐飲業,86998193
2024年7月,2024,7月,百貨公司業,32444804
2024年7月,2024,7月,超級市場業,23033175
2024年7月,2024,7月,便利商店業,37701368
2024年7月,2024,7月,零售式量販業,20300509
2024年7月,2024,7月,其他綜合商品零售業,13602948
2024年7月,2024,7月,食品、飲料及菸草製品零售業,22053038
2024年7月,2024,7月,文教育樂用品零售業,7066224
2024年7月,2024,7月,燃料及相關產品零售業,22821230
2024年7月,2024,7月,資通訊及家電設備零售業,23521684
2024年7月,2024,7月,汽機車及其零配件、用品零售業,87933338
2024年7月,2024,7月,電子購物及郵購業,35881501
2024年7月,2024,7月,餐飲業,84799087
2024年8月,2024,8月,百貨公司業,33400724
2024年8月,2024,8月,超級市場業,24847577
2024年8月,2024,8月,便利商店業,37183421
2024年8月,2024,8月,零售式量販業,22952454
2024年8月,2024,8月,其他綜合商品零售業,13946364
2024年8月,2024,8月,食品、飲料及菸草製品零售業,24584056
2024年8月,2024,8月,文教育樂用品零售業,7009016
2024年8月,2024,8月,燃料及相關產品零售業,23408385
2024年8月,2024,8月,資通訊及家電設備零售業,23064075
2024年8月,2024,8月,汽機車及其零配件、用品零售業,63456688
2024年8月,2024,8月,電子購物及郵購業,37025447
2024年8月,2024,8月,餐飲業,89015098
2024年9月,2024,9月,百貨公司業,35080432
2024年9月,2024,9月,超級市場業,22793727
2024年9月,2024,9月,便利商店業,36087251
2024年9月,2024,9月,零售式量販業,22183545
2024年9月,2024,9月,其他綜合商品零售業,13658254
2024年9月,2024,9月,食品、飲料及菸草製品零售業,26120404
2024年9月,2024,9月,文教育樂用品零售業,6507808
2024年9月,2024,9月,燃料及相關產品零售業,22377626
2024年9月,2024,9月,資通訊及家電設備零售業,24060106
2024年9月,2024,9月,汽機車及其零配件、用品零售業,76366380
2024年9月,2024,9月,電子購物及郵購業,35031139
2024年9月,2024,9月,餐飲業,84262237
2024年10月,2024,10月,百貨公司業,46472422
2024年10月,2024,10月,超級市場業,24034712
2024年10月,2024,10月,便利商店業,36725640
2024年10月,2024,10月,零售式量販業,20556588
2024年10月,2024,10月,其他綜合商品零售業,13706758
2024年10月,2024,10月,食品、飲料及菸草製品零售業,24237616
2024年10月,2024,10月,文教育樂用品零售業,6559796
2024年10月,2024,10月,燃料及相關產品零售業,21194991
2024年10月,2024,10月,資通訊及家電設備零售業,26272744
2024年10月,2024,10月,汽機車及其零配件、用品零售業,67726259
2024年10月,2024,10月,電子購物及郵購業,37279524
2024年10月,2024,10月,餐飲業,81932572
2024年11月,2024,11月,百貨公司業,46572913
2024年11月,2024,11月,超級市場業,21385686
2024年11月,2024,11月,便利商店業,35471506
2024年11月,2024,11月,零售式量販業,21303508
2024年11月,2024,11月,其他綜合商品零售業,13531727
2024年11月,2024,11月,食品、飲料及菸草製品零售業,23950261
2024年11月,2024,11月,文教育樂用品零售業,7684622
2024年11月,2024,11月,燃料及相關產品零售業,21774280
2024年11月,2024,11月,資通訊及家電設備零售業,25896383
2024年11月,2024,11月,汽機車及其零配件、用品零售業,75554910
2024年11月,2024,11月,電子購物及郵購業,54789991
2024年11月,2024,11月,餐飲業,86014441
2024年12月,2024,12月,百貨公司業,41275022
2024年12月,2024,12月,超級市場業,22077223
2024年12月,2024,12月,便利商店業,35246568
2024年12月,2024,12月,零售式量販業,21960920
2024年12月,2024,12月,其他綜合商品零售業,14818761
2024年12月,2024,12月,食品、飲料及菸草製品零售業,29166349
2024年12月,2024,12月,文教育樂用品零售業,8753377
2024年12月,2024,12月,燃料及相關產品零售業,22482873
2024年12月,2024,12月,資通訊及家電設備零售業,23997769
2024年12月,2024,12月,汽機車及其零配件、用品零售業,75736446
2024年12月,2024,12月,電子購物及郵購業,43037498
2024年12月,2024,12月,餐飲業,95972333
2025年1月,2025,1月,百貨公司業,45771732
2025年1月,2025,1月,超級市場業,23887094
2025年1月,2025,1月,便利商店業,37585896
2025年1月,2025,1月,零售式量販業,27601441
2025年1月,2025,1月,其他綜合商品零售業,14698102
2025年1月,2025,1月,食品、飲料及菸草製品零售業,30878797
2025年1月,2025,1月,文教育樂用品零售業,8649260
2025年1月,2025,1月,燃料及相關產品零售業,22151427
2025年1月,2025,1月,資通訊及家電設備零售業,24102694
2025年1月,2025,1月,汽機車及其零配件、用品零售業,77742405
2025年1月,2025,1月,電子購物及郵購業,38868109
2025年1月,2025,1月,餐飲業,105612120
2025年2月,2025,2月,百貨公司業,31237619
2025年2月,2025,2月,超級市場業,19141566
2025年2月,2025,2月,便利商店業,31680173
2025年2月,2025,2月,零售式量販業,17568376
2025年2月,2025,2月,其他綜合商品零售業,12577275
2025年2月,2025,2月,食品、飲料及菸草製品零售業,22909591
2025年2月,2025,2月,文教育樂用品零售業,7030341
2025年2月,2025,2月,燃料及相關產品零售業,20102213
2025年2月,2025,2月,資通訊及家電設備零售業,21741904
2025年2月,2025,2月,汽機車及其零配件、用品零售業,61676298
2025年2月,2025,2月,電子購物及郵購業,35925211
2025年2月,2025,2月,餐飲業,82845141
2025年3月,2025,3月,百貨公司業,32334797
2025年3月,2025,3月,超級市場業,21372926
2025年3月,2025,3月,便利商店業,35129188
2025年3月,2025,3月,零售式量販業,20256043
2025年3月,2025,3月,其他綜合商品零售業,12857652
2025年3月,2025,3月,食品、飲料及菸草製品零售業,24356369
2025年3月,2025,3月,文教育樂用品零售業,6910242
2025年3月,2025,3月,燃料及相關產品零售業,22482598
2025年3月,2025,3月,資通訊及家電設備零售業,21194541
2025年3月,2025,3月,汽機車及其零配件、用品零售業,78324522
2025年3月,2025,3月,電子購物及郵購業,38644816
2025年3月,2025,3月,餐飲業,85690559
2025年4月,2025,4月,百貨公司業,36482034
2025年4月,2025,4月,超級市場業,21309258
2025年4月,2025,4月,便利商店業,35300832
2025年4月,2025,4月,零售式量販業,19540189
2025年4月,2025,4月,其他綜合商品零售業,12992865
2025年4月,2025,4月,食品、飲料及菸草製品零售業,24104676
2025年4月,2025,4月,文教育樂用品零售業,6861904
2025年4月,2025,4月,燃料及相關產品零售業,21061883
2025年4月,2025,4月,資通訊及家電設備零售業,22180958
2025年4月,2025,4月,汽機車及其零配件、用品零售業,70229695
2025年4月,2025,4月,電子購物及郵購業,36191103
2025年4月,2025,4月,餐飲業,81542478
2025年5月,2025,5月,百貨公司業,36295886
2025年5月,2025,5月,超級市場業,22008490
2025年5月,2025,5月,便利商店業,37835916
2025年5月,2025,5月,零售式量販業,20821107
2025年5月,2025,5月,其他綜合商品零售業,13870062
2025年5月,2025,5月,食品、飲料及菸草製品零售業,25674200
2025年5月,2025,5月,文教育樂用品零售業,6746479
2025年5月,2025,5月,燃料及相關產品零售業,20663355
2025年5月,2025,5月,資通訊及家電設備零售業,23531022
2025年5月,2025,5月,汽機車及其零配件、用品零售業,69922619
2025年5月,2025,5月,電子購物及郵購業,38165120
2025年5月,2025,5月,餐飲業,90416966
