月,年,月2,行業別,營業額(千元)
2018年11月,2018,11月,便利商店業,25983485
2018年11月,2018,11月,零售式量販業,14904578
2018年11月,2018,11月,其他綜合商品零售業,13365160
2018年11月,2018,11月,食品、飲料及菸草製品零售業,22397766
2018年11月,2018,11月,文教育樂用品零售業,6500235
2018年11月,2018,11月,燃料及相關產品零售業,22479494
2018年11月,2018,11月,資通訊及家電設備零售業,20862614
2018年11月,2018,11月,汽機車及其零配件、用品零售業,53761054
2018年11月,2018,11月,電子購物及郵購業,23709989
2018年11月,2018,11月,餐飲業,59298991
2018年12月,2018,12月,百貨公司業,32625935
2018年12月,2018,12月,超級市場業,17161073
2018年12月,2018,12月,便利商店業,26410554
2018年12月,2018,12月,零售式量販業,16863382
2018年12月,2018,12月,其他綜合商品零售業,14795950
2018年12月,2018,12月,食品、飲料及菸草製品零售業,24533062
2018年12月,2018,12月,文教育樂用品零售業,7505486
2018年12月,2018,12月,燃料及相關產品零售業,22309445
2018年12月,2018,12月,資通訊及家電設備零售業,20122788
2018年12月,2018,12月,汽機車及其零配件、用品零售業,60707808
2018年12月,2018,12月,電子購物及郵購業,21528659
2018年12月,2018,12月,餐飲業,69641669
2019年1月,2019,1月,百貨公司業,27765234
2019年1月,2019,1月,超級市場業,16086420
2019年1月,2019,1月,便利商店業,28307520
2019年1月,2019,1月,零售式量販業,20890281
2019年1月,2019,1月,其他綜合商品零售業,14034844
2019年1月,2019,1月,食品、飲料及菸草製品零售業,27973444
2019年1月,2019,1月,文教育樂用品零售業,7277465
2019年1月,2019,1月,燃料及相關產品零售業,21600400
2019年1月,2019,1月,資通訊及家電設備零售業,23266079
2019年1月,2019,1月,汽機車及其零配件、用品零售業,66510812
2019年1月,2019,1月,電子購物及郵購業,23039172
2019年1月,2019,1月,餐飲業,68296842
2019年2月,2019,2月,百貨公司業,28401199
2019年2月,2019,2月,超級市場業,15312662
2019年2月,2019,2月,便利商店業,25710829
2019年2月,2019,2月,零售式量販業,16388909
2019年2月,2019,2月,其他綜合商品零售業,14405847
2019年2月,2019,2月,食品、飲料及菸草製品零售業,21059668
2019年2月,2019,2月,文教育樂用品零售業,6416481
2019年2月,2019,2月,燃料及相關產品零售業,19315045
2019年2月,2019,2月,資通訊及家電設備零售業,18316346
2019年2月,2019,2月,汽機車及其零配件、用品零售業,31368290
2019年2月,2019,2月,電子購物及郵購業,17932705
2019年2月,2019,2月,餐飲業,68054323
2019年3月,2019,3月,百貨公司業,24722761
2019年3月,2019,3月,超級市場業,15698595
2019年3月,2019,3月,便利商店業,26322232
