西元年,縣市別,生活用水量(立方公尺),年中供水人數(人)
2023,金門縣,5806337,132096
2023,連江縣,838994,11552
2024,新北市,438772501,3921865
2024,臺北市,321445396,2651244.5
2024,桃園市,210430599,2137012
2024,臺中市,278789657,2695331
2024,臺南市,185397452,1864897
2024,高雄市,270495729,2666350
2024,宜蘭縣,44187513,434090
2024,新竹縣,46936629,488313
2024,苗栗縣,42631956,452544
2024,彰化縣,98372481,1198832
2024,南投縣,38380080,398993
2024,雲林縣,63396257,646148
2024,嘉義縣,43669428,459156
2024,屏東縣,41235203,442917
2024,臺東縣,18107679,179181
2024,花蓮縣,29768674,286101
2024,澎湖縣,8453874,98025
2024,基隆市,39778423,367382
2024,新竹市,50254359,443073
2024,嘉義市,28439590,267806
2024,金門縣,5806337,132096
2024,連江縣,838994,11552
2025,新北市,438772501,3921865
2025,臺北市,321445396,2651244.5
2025,桃園市,210430599,2137012
2025,臺中市,278789657,2695331
2025,臺南市,185397452,1864897
2025,高雄市,270495729,2666350
2025,宜蘭縣,44187513,434090
2025,新竹縣,46936629,488313
2025,苗栗縣,42631956,452544
2025,彰化縣,98372481,1198832
2025,南投縣,38380080,398993
2025,雲林縣,63396257,646148
2025,嘉義縣,43669428,459156
2025,屏東縣,41235203,442917
2025,臺東縣,18107679,179181
2025,花蓮縣,29768674,286101
2025,澎湖縣,8453874,98025
2025,基隆市,39778423,367382
2025,新竹市,50254359,443073
2025,嘉義市,28439590,267806
2025,金門縣,5806337,132096
2025,連江縣,838994,11552
