年月,年,月,行業別,用電量
2018年6月,2018,6,全國用電量,22868181.28
2018年6月,2018,6,工業用電,12620899.56
2018年6月,2018,6,紡織成衣及服飾品製造業,528474.489
2018年6月,2018,6,紙漿、紙及紙製品製造業,307930.287
2018年6月,2018,6,化學材料及肥料製造業,2654389.775
2018年6月,2018,6,塑膠製品製造業,466885.119
2018年6月,2018,6,非金屬礦物製品製造業,476186.377
2018年6月,2018,6,基本金屬製造業,1627284.421
2018年6月,2018,6,金屬製品製造業,601146.0304
2018年6月,2018,6,電子產品及電力設備製造業,4351302.052
2018年6月,2018,6,住宅用電,3883662.203
2018年6月,2018,6,服務業用電,4280540.677
2018年6月,2018,6,運輸及倉儲業,259882.28
2018年6月,2018,6,住宿及餐飲業,650794.401
2018年6月,2018,6,出版影音及資通訊業,288517.6277
2018年6月,2018,6,金融及保險業,172102.232
2018年6月,2018,6,不動產業,136138.62
2018年6月,2018,6,醫療保健及社會工作服務業,307707.9673
2018年6月,2018,6,藝術、娛樂及休閒服務業,116172.525
2018年6月,2018,6,運輸用電,128227.802
2018年6月,2018,6,公路,3924.927
2018年6月,2018,6,鐵路,121224.637
2018年6月,2018,6,管線運輸,3078.238
2018年6月,2018,6,能源部門自用,1677729.828
2018年6月,2018,6,農業部門,277121.2146
2018年7月,2018,7,全國用電量,24636526.01
2018年7月,2018,7,工業用電,13117855.74
2018年7月,2018,7,紡織成衣及服飾品製造業,551367.711
2018年7月,2018,7,紙漿、紙及紙製品製造業,319194.768
2018年7月,2018,7,化學材料及肥料製造業,2672333.057
2018年7月,2018,7,塑膠製品製造業,480712.262
2018年7月,2018,7,非金屬礦物製品製造業,496106.595
2018年7月,2018,7,基本金屬製造業,1671098.987
2018年7月,2018,7,金屬製品製造業,608218.5432
2018年7月,2018,7,電子產品及電力設備製造業,4605928.126
2018年7月,2018,7,住宅用電,4727219.726
2018年7月,2018,7,服務業用電,4571666.708
2018年7月,2018,7,運輸及倉儲業,280115.544
2018年7月,2018,7,住宿及餐飲業,721933.969
2018年7月,2018,7,出版影音及資通訊業,312272.0265
2018年7月,2018,7,金融及保險業,193906.856
2018年7月,2018,7,不動產業,151780.62
2018年7月,2018,7,醫療保健及社會工作服務業,327958.5288
2018年7月,2018,7,藝術、娛樂及休閒服務業,128426.393
2018年7月,2018,7,運輸用電,132746.301
2018年7月,2018,7,公路,4069.409
2018年7月,2018,7,鐵路,125506.807
2018年7月,2018,7,管線運輸,3170.085
2018年7月,2018,7,能源部門自用,1811981.909
2018年7月,2018,7,農業部門,275055.6235
2018年8月,2018,8,全國用電量,24914489.6
2018年8月,2018,8,工業用電,13237600.75
2018年8月,2018,8,紡織成衣及服飾品製造業,556747.734
2018年8月,2018,8,紙漿、紙及紙製品製造業,316405.35
2018年8月,2018,8,化學材料及肥料製造業,2777750.321
2018年8月,2018,8,塑膠製品製造業,487919.946
2018年8月,2018,8,非金屬礦物製品製造業,488952.273
2018年8月,2018,8,基本金屬製造業,1680616.057
2018年8月,2018,8,金屬製品製造業,631512.5954
2018年8月,2018,8,電子產品及電力設備製造業,4584118.943
2018年8月,2018,8,住宅用電,4953074.015
2018年8月,2018,8,服務業用電,4547502.987
2018年8月,2018,8,運輸及倉儲業,283621.108
2018年8月,2018,8,住宿及餐飲業,727925.796
2018年8月,2018,8,出版影音及資通訊業,307199.2698
2018年8月,2018,8,金融及保險業,190422.815
2018年8月,2018,8,不動產業,150440.587
2018年8月,2018,8,醫療保健及社會工作服務業,330165.7093
2018年8月,2018,8,藝術、娛樂及休閒服務業,130293.918
2018年8月,2018,8,運輸用電,132572.428
2018年8月,2018,8,公路,4179.597
2018年8月,2018,8,鐵路,125164.457
2018年8月,2018,8,管線運輸,3228.374
2018年8月,2018,8,能源部門自用,1756871.58
2018年8月,2018,8,農業部門,286867.8377
2018年9月,2018,9,全國用電量,24444133.24
2018年9月,2018,9,工業用電,12687501.1
2018年9月,2018,9,紡織成衣及服飾品製造業,528506.651
2018年9月,2018,9,紙漿、紙及紙製品製造業,304691.791
2018年9月,2018,9,化學材料及肥料製造業,2727279.696
2018年9月,2018,9,塑膠製品製造業,447922.114
2018年9月,2018,9,非金屬礦物製品製造業,475399.159
2018年9月,2018,9,基本金屬製造業,1605666.772
2018年9月,2018,9,金屬製品製造業,589883.2329
2018年9月,2018,9,電子產品及電力設備製造業,4382827.517
2018年9月,2018,9,住宅用電,5132590.73
2018年9月,2018,9,服務業用電,4570528.145
2018年9月,2018,9,運輸及倉儲業,272674.319
2018年9月,2018,9,住宿及餐飲業,733448.525
2018年9月,2018,9,出版影音及資通訊業,307935.0397
2018年9月,2018,9,金融及保險業,185538.487
2018年9月,2018,9,不動產業,148794.7573
2018年9月,2018,9,醫療保健及社會工作服務業,309789.1024
2018年9月,2018,9,藝術、娛樂及休閒服務業,125610.263
2018年9月,2018,9,運輸用電,127524.73
2018年9月,2018,9,公路,4343.845
2018年9月,2018,9,鐵路,120033.538
2018年9月,2018,9,管線運輸,3147.347
2018年9月,2018,9,能源部門自用,1653337.555
2018年9月,2018,9,農業部門,272650.9796
2018年10月,2018,10,全國用電量,23385080.49
2018年10月,2018,10,工業用電,12735885.01
2018年10月,2018,10,紡織成衣及服飾品製造業,523653.107
2018年10月,2018,10,紙漿、紙及紙製品製造業,317419.007
2018年10月,2018,10,化學材料及肥料製造業,2725695.835
2018年10月,2018,10,塑膠製品製造業,452761.936
2018年10月,2018,10,非金屬礦物製品製造業,504216.033
2018年10月,2018,10,基本金屬製造業,1679798.376
2018年10月,2018,10,金屬製品製造業,599287.7153
2018年10月,2018,10,電子產品及電力設備製造業,4336802.264
2018年10月,2018,10,住宅用電,4476331.735
2018年10月,2018,10,服務業用電,4156956.265
2018年10月,2018,10,運輸及倉儲業,251834.323
2018年10月,2018,10,住宿及餐飲業,654137.403
2018年10月,2018,10,出版影音及資通訊業,287280.6861
2018年10月,2018,10,金融及保險業,164982.66
2018年10月,2018,10,不動產業,131793.6872
2018年10月,2018,10,醫療保健及社會工作服務業,281168.2065
2018年10月,2018,10,藝術、娛樂及休閒服務業,113772.86
2018年10月,2018,10,運輸用電,127367.736
2018年10月,2018,10,公路,4620.665
2018年10月,2018,10,鐵路,119587.921
2018年10月,2018,10,管線運輸,3159.15
2018年10月,2018,10,能源部門自用,1628670.454
2018年10月,2018,10,農業部門,259869.2928
2018年11月,2018,11,全國用電量,21949102.24
2018年11月,2018,11,工業用電,12257271.74
2018年11月,2018,11,紡織成衣及服飾品製造業,488956.551
2018年11月,2018,11,紙漿、紙及紙製品製造業,302697.08
2018年11月,2018,11,化學材料及肥料製造業,2654706.326
2018年11月,2018,11,塑膠製品製造業,438379.209
2018年11月,2018,11,非金屬礦物製品製造業,491327.329
2018年11月,2018,11,基本金屬製造業,1593923.643
2018年11月,2018,11,金屬製品製造業,581794.3729
2018年11月,2018,11,電子產品及電力設備製造業,4175069.732
2018年11月,2018,11,住宅用電,3846694.489
2018年11月,2018,11,服務業用電,3932057.894
2018年11月,2018,11,運輸及倉儲業,234731.032
2018年11月,2018,11,住宿及餐飲業,600940.235
2018年11月,2018,11,出版影音及資通訊業,284745.1771
2018年11月,2018,11,金融及保險業,157230.61
2018年11月,2018,11,不動產業,124448.7761
2018年11月,2018,11,醫療保健及社會工作服務業,260297.5594
2018年11月,2018,11,藝術、娛樂及休閒服務業,103792.818
2018年11月,2018,11,運輸用電,126706.625
2018年11月,2018,11,公路,5038.334
2018年11月,2018,11,鐵路,118681.565
2018年11月,2018,11,管線運輸,2986.726
2018年11月,2018,11,能源部門自用,1541948.082
2018年11月,2018,11,農業部門,244423.4081
2018年12月,2018,12,全國用電量,20775686.18
2018年12月,2018,12,工業用電,12213413.53
2018年12月,2018,12,紡織成衣及服飾品製造業,481942.113
2018年12月,2018,12,紙漿、紙及紙製品製造業,302887.491
2018年12月,2018,12,化學材料及肥料製造業,2674833.989
2018年12月,2018,12,塑膠製品製造業,437295.488
