時間,名稱,人口數,占總人口比率(%)
_2021,屏東縣 Pingtung County,804440,3.44
_2021,臺東縣 Taitung County,213386,0.91
_2021,花蓮縣 Hualien County,321358,1.37
_2021,澎湖縣 Penghu County,106340,0.45
_2021,基隆市 Keelung City,363977,1.56
_2021,新竹市 Hsinchu City,452640,1.94
_2021,嘉義市 Chiayi City,264727,1.13
_2021,金門縣 Kinmen County,141539,0.61
_2021,連江縣 Lienchiang County,13645,0.06
_2020,新 北 市 New Taipei City,4030954,17.11
_2020,臺 北 市 Taipei City,2602418,11.05
_2020,桃 園 市 Taoyuan City,2268807,9.63
_2020,臺 中 市 Taichung City,2820787,11.97
_2020,臺 南 市 Tainan City,1874917,7.96
_2020,高 雄 市 Kaohsiung City,2765932,11.74
_2020,宜蘭縣 Yilan County,453087,1.92
_2020,新竹縣 Hsinchu County,570775,2.42
_2020,苗栗縣 Miaoli County,542590,2.3
_2020,彰化縣 Changhua County,1266670,5.38
_2020,南投縣 Nantou County,490832,2.08
_2020,雲林縣 Yunlin County,676873,2.87
_2020,嘉義縣 Chiayi County,499481,2.12
_2020,屏東縣 Pingtung County,812658,3.45
_2020,臺東縣 Taitung County,215261,0.91
_2020,花蓮縣 Hualien County,324372,1.38
_2020,澎湖縣 Penghu County,105952,0.45
_2020,基隆市 Keelung City,367577,1.56
_2020,新竹市 Hsinchu City,451412,1.92
_2020,嘉義市 Chiayi City,266005,1.13
_2020,金門縣 Kinmen County,140597,0.6
_2020,連江縣 Lienchiang County,13279,0.06
_2019,新 北 市 New Taipei City,4018696,17.03
_2019,臺 北 市 Taipei City,2645041,11.21
_2019,桃 園 市 Taoyuan City,2249037,9.53
_2019,臺 中 市 Taichung City,2815261,11.93
_2019,臺 南 市 Tainan City,1880906,7.97
_2019,高 雄 市 Kaohsiung City,2773198,11.75
_2019,宜蘭縣 Yilan County,454178,1.92
_2019,新竹縣 Hsinchu County,563933,2.39
_2019,苗栗縣 Miaoli County,545459,2.31
_2019,彰化縣 Changhua County,1272802,5.39
_2019,南投縣 Nantou County,494112,2.09
_2019,雲林縣 Yunlin County,681306,2.89
_2019,嘉義縣 Chiayi County,503113,2.13
_2019,屏東縣 Pingtung County,819184,3.47
_2019,臺東縣 Taitung County,216781,0.92
_2019,花蓮縣 Hualien County,326247,1.38
_2019,澎湖縣 Penghu County,105207,0.45
_2019,基隆市 Keelung City,368893,1.56
_2019,新竹市 Hsinchu City,448803,1.9
_2019,嘉義市 Chiayi City,267690,1.13
_2019,金門縣 Kinmen County,140185,0.59
_2019,連江縣 Lienchiang County,13089,0.06
_2018,新 北 市 New Taipei City,3995717,16.94
_2018,臺 北 市 Taipei City,2668572,11.31
_2018,桃 園 市 Taoyuan City,2220872,9.41
_2018,臺 中 市 Taichung City,2803894,11.89
_2018,臺 南 市 Tainan City,1883831,7.99
_2018,高 雄 市 Kaohsiung City,2773533,11.76
_2018,宜蘭縣 Yilan County,455221,1.93
_2018,新竹縣 Hsinchu County,557010,2.36
_2018,苗栗縣 Miaoli County,548863,2.33
_2018,彰化縣 Changhua County,1277824,5.42
_2018,南投縣 Nantou County,497031,2.11
_2018,雲林縣 Yunlin County,686022,2.91
_2018,嘉義縣 Chiayi County,507068,2.15
_2018,屏東縣 Pingtung County,825406,3.5
_2018,臺東縣 Taitung County,218919,0.93
_2018,花蓮縣 Hualien County,327968,1.39
_2018,澎湖縣 Penghu County,104440,0.44
_2018,基隆市 Keelung City,370155,1.57
_2018,新竹市 Hsinchu City,445635,1.89
_2018,嘉義市 Chiayi City,268622,1.14
_2018,金門縣 Kinmen County,139273,0.59
_2018,連江縣 Lienchiang County,13056,0.06
_2017,新 北 市 New Taipei City,3986689,16.91
_2017,臺 北 市 Taipei City,2683257,11.38
_2017,桃 園 市 Taoyuan City,2188017,9.28
_2017,臺 中 市 Taichung City,2787070,11.82
_2017,臺 南 市 Tainan City,1886522,8
_2017,高 雄 市 Kaohsiung City,2776912,11.78
_2017,宜蘭縣 Yilan County,456607,1.94
_2017,新竹縣 Hsinchu County,552169,2.34
_2017,苗栗縣 Miaoli County,553807,2.35
_2017,彰化縣 Changhua County,1282458,5.44
_2017,南投縣 Nantou County,501051,2.13
_2017,雲林縣 Yunlin County,690373,2.93
_2017,嘉義縣 Chiayi County,511182,2.17
_2017,屏東縣 Pingtung County,829939,3.52
_2017,臺東縣 Taitung County,219540,0.93
_2017,花蓮縣 Hualien County,329237,1.4
_2017,澎湖縣 Penghu County,104073,0.44
_2017,基隆市 Keelung City,371458,1.58
_2017,新竹市 Hsinchu City,441132,1.87
_2017,嘉義市 Chiayi City,269398,1.14
_2017,金門縣 Kinmen County,137456,0.58
_2017,連江縣 Lienchiang County,12880,0.05
